.HEADER
..NAMES
Time,V U1.AE16
.DATA
2.26651e-008,1.0937
2.27018e-008,1.0744
2.27385e-008,1.0499
2.27752e-008,1.0291
2.28119e-008,1.0208
2.28485e-008,1.0253
2.28852e-008,1.0346
2.29219e-008,1.0394
2.29586e-008,1.0365
2.29952e-008,1.0288
2.30319e-008,1.0212
2.30686e-008,1.0168
2.31052e-008,1.0166
2.31419e-008,1.0197
2.31786e-008,1.0238
2.32153e-008,1.0264
2.32519e-008,1.0261
2.32886e-008,1.0233
2.33253e-008,1.0195
2.33620e-008,1.0163
2.33987e-008,1.0154
2.34353e-008,1.0170
2.34720e-008,1.0203
2.35087e-008,1.0236
2.35454e-008,1.0252
2.35820e-008,1.0277
2.36187e-008,1.0313
2.36554e-008,1.0270
2.36920e-008,0.9991
2.37287e-008,0.9250
2.37654e-008,0.8115
2.38021e-008,0.6894
2.38387e-008,0.5776
2.38754e-008,0.4888
2.39121e-008,0.4269
2.39488e-008,0.3874
2.39855e-008,0.3603
2.40221e-008,0.3416
2.40588e-008,0.3269
2.40955e-008,0.3155
2.41322e-008,0.3068
2.41688e-008,0.3010
2.42055e-008,0.2976
2.42422e-008,0.2959
2.42788e-008,0.2951
2.43155e-008,0.2952
2.43522e-008,0.2961
2.43889e-008,0.2981
2.44255e-008,0.3009
2.44622e-008,0.3039
2.44989e-008,0.3076
2.45356e-008,0.3204
2.45723e-008,0.3551
2.46089e-008,0.4325
2.46456e-008,0.5606
2.46823e-008,0.7190
2.47190e-008,0.8669
2.47556e-008,0.9652
2.47923e-008,1.0238
2.48290e-008,1.0607
2.48657e-008,1.0895
2.49023e-008,1.1170
2.49390e-008,1.1429
2.49757e-008,1.1634
2.50123e-008,1.1770
2.50490e-008,1.1840
2.50857e-008,1.1867
2.51224e-008,1.1877
2.51590e-008,1.1890
2.51957e-008,1.1912
2.52324e-008,1.1937
2.52691e-008,1.1950
2.53058e-008,1.1934
2.53424e-008,1.1891
2.53791e-008,1.1849
2.54158e-008,1.1810
2.54525e-008,1.1781
2.54891e-008,1.1734
2.55258e-008,1.1549
2.55625e-008,1.1082
2.55991e-008,1.0121
2.56358e-008,0.8694
2.56725e-008,0.7195
2.57092e-008,0.5878
2.57458e-008,0.4817
2.57825e-008,0.4011
2.58192e-008,0.3435
2.58559e-008,0.3034
2.58926e-008,0.2765
2.59292e-008,0.2600
2.59659e-008,0.2511
2.60026e-008,0.2466
2.60393e-008,0.2430
2.60759e-008,0.2382
2.61126e-008,0.2318
2.61493e-008,0.2250
2.61859e-008,0.2196
2.62226e-008,0.2180
2.62593e-008,0.2215
2.62960e-008,0.2285
2.63326e-008,0.2352
2.63693e-008,0.2376
2.64060e-008,0.2413
2.64427e-008,0.2595
2.64794e-008,0.3152
2.65160e-008,0.4289
2.65527e-008,0.5946
2.65894e-008,0.7734
2.66261e-008,0.9051
2.66627e-008,0.9853
2.66994e-008,1.0317
2.67361e-008,1.0641
2.67727e-008,1.0935
2.68094e-008,1.1223
2.68461e-008,1.1470
