.HEADER
..NAMES
Time,V U1.W14
.DATA
1.79341e-008,1.0066
1.79708e-008,1.0182
1.80074e-008,1.0248
1.80441e-008,1.0132
1.80808e-008,0.9623
1.81175e-008,0.8614
1.81541e-008,0.7399
1.81908e-008,0.6277
1.82275e-008,0.5361
1.82641e-008,0.4668
1.83008e-008,0.4176
1.83375e-008,0.3825
1.83742e-008,0.3570
1.84108e-008,0.3371
1.84475e-008,0.3218
1.84842e-008,0.3107
1.85209e-008,0.3042
1.85576e-008,0.3019
1.85942e-008,0.3027
1.86309e-008,0.3050
1.86676e-008,0.3075
1.87043e-008,0.3091
1.87409e-008,0.3096
1.87776e-008,0.3091
1.88143e-008,0.3095
1.88509e-008,0.3132
1.88876e-008,0.3267
1.89243e-008,0.3617
1.89610e-008,0.4325
1.89976e-008,0.5547
1.90343e-008,0.7088
1.90710e-008,0.8626
1.91077e-008,0.9682
1.91444e-008,1.0248
1.91810e-008,1.0584
1.92177e-008,1.0879
1.92544e-008,1.1201
1.92911e-008,1.1508
1.93277e-008,1.1745
1.93644e-008,1.1889
1.94011e-008,1.1950
1.94377e-008,1.1960
1.94744e-008,1.1951
1.95111e-008,1.1947
1.95478e-008,1.1956
1.95844e-008,1.1978
1.96211e-008,1.1998
1.96578e-008,1.2006
1.96945e-008,1.1994
1.97312e-008,1.1955
1.97678e-008,1.1870
1.98045e-008,1.1709
1.98412e-008,1.1485
1.98779e-008,1.1177
1.99145e-008,1.0737
1.99512e-008,1.0044
1.99879e-008,0.8956
2.00245e-008,0.7691
2.00612e-008,0.6492
2.00979e-008,0.5388
2.01346e-008,0.4388
2.01712e-008,0.3542
2.02079e-008,0.2915
2.02446e-008,0.2540
2.02813e-008,0.2385
2.03179e-008,0.2381
2.03546e-008,0.2430
2.03913e-008,0.2454
2.04280e-008,0.2421
2.04647e-008,0.2340
2.05013e-008,0.2242
2.05380e-008,0.2157
2.05747e-008,0.2106
2.06114e-008,0.2088
2.06480e-008,0.2100
2.06847e-008,0.2145
2.07214e-008,0.2238
2.07580e-008,0.2398
2.07947e-008,0.2740
2.08314e-008,0.3375
2.08681e-008,0.4463
2.09047e-008,0.5927
2.09414e-008,0.7516
2.09781e-008,0.8795
2.10148e-008,0.9618
2.10515e-008,1.0192
2.10881e-008,1.0678
2.11248e-008,1.1128
2.11615e-008,1.1499
2.11982e-008,1.1731
2.12348e-008,1.1823
2.12715e-008,1.1822
2.13082e-008,1.1794
2.13448e-008,1.1792
2.13815e-008,1.1838
2.14182e-008,1.1920
2.14549e-008,1.2009
2.14915e-008,1.2080
2.15282e-008,1.2116
2.15649e-008,1.2109
2.16016e-008,1.2056
2.16383e-008,1.1958
2.16749e-008,1.1799
2.17116e-008,1.1598
2.17483e-008,1.1337
2.17850e-008,1.0953
2.18216e-008,1.0327
2.18583e-008,0.9283
2.18950e-008,0.7975
2.19316e-008,0.6699
2.19683e-008,0.5535
2.20050e-008,0.4501
2.20417e-008,0.3625
2.20783e-008,0.2958
2.21150e-008,0.2522
2.21517e-008,0.2313
2.21884e-008,0.2273
2.22251e-008,0.2318
2.22617e-008,0.2360
2.22984e-008,0.2347
2.23351e-008,0.2272
2.23718e-008,0.2160
2.24084e-008,0.2044
2.24451e-008,0.1952
2.24818e-008,0.1902
2.25184e-008,0.1904
2.25551e-008,0.1963
2.25918e-008,0.2073
2.26285e-008,0.2225
2.26651e-008,0.2515
2.27018e-008,0.3059
2.27385e-008,0.4040
2.27752e-008,0.5458
2.28119e-008,0.7096
2.28485e-008,0.8518
2.28852e-008,0.9447
2.29219e-008,1.0052
2.29586e-008,1.0527
2.29952e-008,1.0970
2.30319e-008,1.1372
2.30686e-008,1.1664
2.31052e-008,1.1818
2.31419e-008,1.1853
2.31786e-008,1.1825
2.32153e-008,1.1795
2.32519e-008,1.1803
2.32886e-008,1.1860
2.33253e-008,1.1949
2.33620e-008,1.2041
2.33987e-008,1.2108
2.34353e-008,1.2127
2.34720e-008,1.2089
2.35087e-008,1.1992
2.35454e-008,1.1835
2.35820e-008,1.1613
2.36187e-008,1.1332
2.36554e-008,1.1031
2.36920e-008,1.0784
2.37287e-008,1.0653
2.37654e-008,1.0635
2.38021e-008,1.0668
2.38387e-008,1.0667
2.38754e-008,1.0574
2.39121e-008,1.0391
2.39488e-008,1.0175
2.39855e-008,1.0010
2.40221e-008,0.9954
2.40588e-008,1.0014
2.40955e-008,1.0139
2.41322e-008,1.0259
2.41688e-008,1.0320
2.42055e-008,1.0305
2.42422e-008,1.0232
2.42788e-008,1.0136
2.43155e-008,1.0050
2.43522e-008,0.9995
2.43889e-008,0.9979
2.44255e-008,0.9999
2.44622e-008,1.0046
2.44989e-008,1.0111
2.45356e-008,1.0183
2.45723e-008,1.0254
2.46089e-008,1.0318
2.46456e-008,1.0374
2.46823e-008,1.0431
2.47190e-008,1.0500
2.47556e-008,1.0592
2.47923e-008,1.0706
2.48290e-008,1.0828
2.48657e-008,1.0937
2.49023e-008,1.1011
2.49390e-008,1.1032
2.49757e-008,1.0999
2.50123e-008,1.0933
2.50490e-008,1.0867
2.50857e-008,1.0833
2.51224e-008,1.0848
2.51590e-008,1.0902
2.51957e-008,1.0972
2.52324e-008,1.1032
2.52691e-008,1.1068
2.53058e-008,1.1073
2.53424e-008,1.1048
2.53791e-008,1.1022
2.54158e-008,1.1005
2.54525e-008,1.1024
2.54891e-008,1.1075
2.55258e-008,1.1056
2.55625e-008,1.0824
2.55991e-008,1.0153
2.56358e-008,0.9017
2.56725e-008,0.7702
2.57092e-008,0.6445
