.HEADER
..NAMES
Time,V U1.AA25&AA24
.DATA
3.70706e-008,0.4440
3.71091e-008,0.5268
3.71477e-008,0.6479
3.71863e-008,0.7820
3.72249e-008,0.8850
3.72635e-008,0.9548
3.73020e-008,1.0122
3.73406e-008,1.0560
3.73792e-008,1.0779
3.74177e-008,1.0782
3.74563e-008,1.1000
3.74949e-008,1.1102
3.75335e-008,1.0981
3.75721e-008,1.0767
3.76106e-008,1.0025
3.76492e-008,0.8780
3.76878e-008,0.7676
3.77263e-008,0.6632
3.77649e-008,0.5530
3.78035e-008,0.4708
3.78421e-008,0.4190
3.78806e-008,0.3924
3.79192e-008,0.3845
3.79578e-008,0.3944
3.79964e-008,0.4268
3.80350e-008,0.4956
3.80735e-008,0.6070
3.81121e-008,0.7399
3.81507e-008,0.8577
3.81892e-008,0.9350
3.82278e-008,0.9948
3.82664e-008,1.0442
3.83050e-008,1.0735
3.83436e-008,1.0794
3.83821e-008,1.0864
3.84207e-008,1.1075
3.84593e-008,1.1048
3.84978e-008,1.0858
3.85364e-008,1.0332
3.85750e-008,0.9190
3.86136e-008,0.7982
3.86521e-008,0.6989
3.86907e-008,0.5869
3.87293e-008,0.4924
3.87679e-008,0.4328
3.88065e-008,0.3978
3.88450e-008,0.3879
3.88836e-008,0.3892
3.89222e-008,0.4129
3.89607e-008,0.4689
3.89993e-008,0.5680
3.90379e-008,0.6971
3.90765e-008,0.8261
3.91151e-008,0.9129
3.91536e-008,0.9767
3.91922e-008,1.0305
3.92308e-008,1.0668
3.92693e-008,1.0798
3.93079e-008,1.0755
3.93465e-008,1.1041
3.93851e-008,1.1091
3.94237e-008,1.0923
3.94622e-008,1.0571
3.95008e-008,0.9594
3.95394e-008,0.8328
3.95780e-008,0.7316
3.96165e-008,0.6222
3.96551e-008,0.5184
3.96937e-008,0.4486
3.97322e-008,0.4060
3.97708e-008,0.3904
3.98094e-008,0.3852
3.98480e-008,0.4024
3.98866e-008,0.4471
3.99251e-008,0.5318
3.99637e-008,0.6548
4.00023e-008,0.7890
4.00408e-008,0.8888
4.00794e-008,0.9580
4.01180e-008,1.0150
4.01566e-008,1.0575
4.01952e-008,1.0783
4.02337e-008,1.0780
4.02723e-008,1.0992
4.03109e-008,1.1101
4.03494e-008,1.0978
4.03880e-008,1.0742
4.04266e-008,0.9968
4.04652e-008,0.8715
4.05037e-008,0.7622
4.05423e-008,0.6580
4.05809e-008,0.5482
4.06195e-008,0.4672
4.06581e-008,0.4167
4.06966e-008,0.3920
4.07352e-008,0.3854
4.07738e-008,0.3956
4.08123e-008,0.4292
4.08509e-008,0.5004
4.08895e-008,0.6136
4.09281e-008,0.7471
4.09667e-008,0.8625
4.10052e-008,0.9378
4.10438e-008,0.9975
4.10824e-008,1.0463
4.11209e-008,1.0745
4.11595e-008,1.0793
4.11981e-008,1.0912
