.HEADER
..NAMES
Time,V U1.AD12
.DATA
1.66871e-008,0.2935
1.67238e-008,0.2954
1.67605e-008,0.2991
1.67972e-008,0.3018
1.68338e-008,0.3021
1.68705e-008,0.3008
1.69072e-008,0.3001
1.69439e-008,0.3039
1.69805e-008,0.3141
1.70172e-008,0.3299
1.70539e-008,0.3501
1.70905e-008,0.3745
1.71272e-008,0.3997
1.71639e-008,0.4195
1.72006e-008,0.4285
1.72372e-008,0.4250
1.72739e-008,0.4123
1.73106e-008,0.3972
1.73473e-008,0.3874
1.73840e-008,0.3865
1.74206e-008,0.3940
1.74573e-008,0.4055
1.74940e-008,0.4150
1.75307e-008,0.4185
1.75673e-008,0.4154
1.76040e-008,0.4084
1.76407e-008,0.4016
1.76773e-008,0.3981
1.77140e-008,0.3988
1.77507e-008,0.4027
1.77874e-008,0.4082
1.78240e-008,0.4128
1.78607e-008,0.4143
1.78974e-008,0.4118
1.79341e-008,0.4087
1.79708e-008,0.4123
1.80074e-008,0.4353
1.80441e-008,0.4962
1.80808e-008,0.5950
1.81175e-008,0.7133
1.81541e-008,0.8241
1.81908e-008,0.9006
1.82275e-008,0.9516
1.82641e-008,0.9878
1.83008e-008,1.0156
1.83375e-008,1.0393
1.83742e-008,1.0600
1.84108e-008,1.0772
1.84475e-008,1.0927
1.84842e-008,1.1068
1.85209e-008,1.1186
1.85576e-008,1.1265
1.85942e-008,1.1301
1.86309e-008,1.1292
1.86676e-008,1.1249
1.87043e-008,1.1185
1.87409e-008,1.1105
1.87776e-008,1.1007
1.88143e-008,1.0888
1.88509e-008,1.0754
1.88876e-008,1.0606
1.89243e-008,1.0441
1.89610e-008,1.0262
1.89976e-008,1.0103
1.90343e-008,1.0028
1.90710e-008,1.0061
1.91077e-008,1.0166
1.91444e-008,1.0275
1.91810e-008,1.0325
1.92177e-008,1.0294
1.92544e-008,1.0207
1.92911e-008,1.0113
1.93277e-008,1.0060
1.93644e-008,1.0065
1.94011e-008,1.0114
1.94377e-008,1.0170
1.94744e-008,1.0198
1.95111e-008,1.0186
1.95478e-008,1.0149
1.95844e-008,1.0109
1.96211e-008,1.0085
1.96578e-008,1.0085
1.96945e-008,1.0108
1.97312e-008,1.0152
1.97678e-008,1.0208
1.98045e-008,1.0267
1.98412e-008,1.0329
1.98779e-008,1.0400
1.99145e-008,1.0484
1.99512e-008,1.0579
1.99879e-008,1.0673
2.00245e-008,1.0756
2.00612e-008,1.0824
2.00979e-008,1.0879
2.01346e-008,1.0925
2.01712e-008,1.0961
2.02079e-008,1.0979
2.02446e-008,1.0974
2.02813e-008,1.0944
2.03179e-008,1.0898
2.03546e-008,1.0853
2.03913e-008,1.0831
2.04280e-008,1.0844
2.04647e-008,1.0890
2.05013e-008,1.0950
2.05380e-008,1.1004
