.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
2.11777e-008,0.4510
2.12163e-008,0.4046
2.12548e-008,0.3839
2.12934e-008,0.3744
2.13320e-008,0.3820
2.13705e-008,0.4086
2.14091e-008,0.4596
2.14477e-008,0.5442
2.14863e-008,0.6789
2.15248e-008,0.8265
2.15634e-008,0.9392
2.16020e-008,1.0163
2.16406e-008,1.0595
2.16791e-008,1.0707
2.17177e-008,1.0737
2.17563e-008,1.0903
2.17949e-008,1.1116
2.18335e-008,1.1200
2.18720e-008,1.1145
2.19106e-008,1.0825
2.19492e-008,0.9829
2.19878e-008,0.8455
2.20263e-008,0.7088
2.20649e-008,0.5783
2.21035e-008,0.4745
2.21420e-008,0.4159
2.21806e-008,0.3882
2.22192e-008,0.3803
2.22578e-008,0.3770
2.22963e-008,0.3980
2.23349e-008,0.4402
2.23735e-008,0.5118
2.24121e-008,0.6319
2.24506e-008,0.7829
2.24892e-008,0.9077
2.25278e-008,0.9956
2.25664e-008,1.0497
2.26050e-008,1.0693
2.26435e-008,1.0723
2.26821e-008,1.0773
2.27207e-008,1.1079
2.27593e-008,1.1189
2.27978e-008,1.1182
2.28364e-008,1.0996
2.28750e-008,1.0208
2.29136e-008,0.8896
2.29521e-008,0.7516
2.29907e-008,0.6180
2.30293e-008,0.5028
2.30678e-008,0.4299
2.31064e-008,0.3949
2.31450e-008,0.3811
2.31836e-008,0.3736
2.32221e-008,0.3894
2.32607e-008,0.4238
2.32993e-008,0.4847
2.33379e-008,0.5887
2.33764e-008,0.7360
2.34150e-008,0.8725
2.34536e-008,0.9714
2.34922e-008,1.0364
2.35308e-008,1.0664
2.35693e-008,1.0715
2.36079e-008,1.0756
2.36465e-008,1.1009
2.36851e-008,1.1148
2.37236e-008,1.1194
2.37622e-008,1.1082
2.38008e-008,1.0538
2.38394e-008,0.9344
2.38779e-008,0.7943
2.39165e-008,0.6596
2.39551e-008,0.5359
2.39936e-008,0.4477
2.40322e-008,0.4032
2.40708e-008,0.3832
2.41094e-008,0.3731
2.41479e-008,0.3825
2.41865e-008,0.4103
2.42251e-008,0.4628
2.42637e-008,0.5502
2.43023e-008,0.6871
2.43408e-008,0.8331
2.43794e-008,0.9439
2.44180e-008,1.0194
2.44566e-008,1.0607
2.44951e-008,1.0708
2.45337e-008,1.0739
2.45723e-008,1.0906
2.46109e-008,1.1114
2.46494e-008,1.1197
2.46880e-008,1.1136
2.47266e-008,1.0793
2.47651e-008,0.9767
2.48037e-008,0.8383
2.48423e-008,0.7017
2.48809e-008,0.5722
2.49194e-008,0.4705
2.49580e-008,0.4139
2.49966e-008,0.3874
2.50352e-008,0.3775
2.50737e-008,0.3771
2.51123e-008,0.3993
2.51509e-008,0.4431
2.51895e-008,0.5168
2.52281e-008,0.6395
2.52666e-008,0.7902
2.53052e-008,0.9130
2.53438e-008,0.9993
2.53824e-008,1.0517
2.54209e-008,1.0696
2.54595e-008,1.0725
2.54981e-008,1.0775
2.55367e-008,1.1077
2.55752e-008,1.1186
2.56138e-008,1.1177
2.56524e-008,1.0972
2.56909e-008,1.0154
2.57295e-008,0.8825
2.57681e-008,0.7443
2.58067e-008,0.6114
2.58452e-008,0.4981
2.58838e-008,0.4272
2.59224e-008,0.3937
2.59610e-008,0.3807
2.59995e-008,0.3744
2.60381e-008,0.3910
2.60767e-008,0.4264
2.61153e-008,0.4891
2.61539e-008,0.5952
2.61924e-008,0.7435
2.62310e-008,0.8786
2.62696e-008,0.9755
2.63082e-008,1.0387
2.63467e-008,1.0671
2.63853e-008,1.0718
2.64239e-008,1.0760
2.64625e-008,1.1032
2.65010e-008,1.1163
2.65396e-008,1.1196
2.65782e-008,1.1077
2.66167e-008,1.0487
2.66553e-008,0.9270
2.66939e-008,0.7875
2.67325e-008,0.6529
2.67710e-008,0.5302
2.68096e-008,0.4445
2.68482e-008,0.4016
2.68868e-008,0.3827
2.69254e-008,0.3737
2.69639e-008,0.3840
2.70025e-008,0.4125
2.70411e-008,0.4665
2.70797e-008,0.5558
2.71182e-008,0.6948
2.71568e-008,0.8399
2.71954e-008,0.9486
2.72340e-008,1.0223
2.72725e-008,1.0618
2.73111e-008,1.0710
2.73497e-008,1.0742
2.73882e-008,1.0951
2.74268e-008,1.1129
2.74654e-008,1.1202
2.75040e-008,1.1129
2.75425e-008,1.0754
2.75811e-008,0.9697
2.76197e-008,0.8313
2.76583e-008,0.6951
2.76968e-008,0.5660
2.77354e-008,0.4664
2.77740e-008,0.4120
2.78126e-008,0.3867
2.78512e-008,0.3780
2.78897e-008,0.3785
