.HEADER
..NAMES
Time,V U1.AA25&AA24
.DATA
2.83526e-008,1.2050
2.83912e-008,1.1969
2.84298e-008,1.1774
2.84683e-008,1.1982
2.85069e-008,1.2021
2.85455e-008,1.1826
2.85841e-008,1.1190
2.86226e-008,0.9851
2.86612e-008,0.8052
2.86998e-008,0.6273
2.87384e-008,0.4714
2.87770e-008,0.3620
2.88155e-008,0.2993
2.88541e-008,0.2813
2.88927e-008,0.2952
2.89313e-008,0.2997
2.89698e-008,0.3160
2.90084e-008,0.3651
2.90470e-008,0.4645
2.90855e-008,0.6189
2.91241e-008,0.8096
2.91627e-008,0.9798
2.92013e-008,1.0998
2.92398e-008,1.1718
2.92784e-008,1.2026
2.93170e-008,1.2015
2.93556e-008,1.1839
2.93941e-008,1.1891
2.94327e-008,1.2022
2.94713e-008,1.1919
2.95099e-008,1.1459
2.95485e-008,1.0346
2.95870e-008,0.8633
2.96256e-008,0.6832
2.96642e-008,0.5167
2.97028e-008,0.3914
2.97413e-008,0.3138
2.97799e-008,0.2824
2.98185e-008,0.2894
2.98570e-008,0.2999
2.98956e-008,0.3077
2.99342e-008,0.3450
2.99728e-008,0.4267
3.00113e-008,0.5650
3.00499e-008,0.7473
3.00885e-008,0.9313
3.01271e-008,1.0672
3.01657e-008,1.1537
3.02042e-008,1.1969
3.02428e-008,1.2044
3.02814e-008,1.1904
3.03199e-008,1.1777
3.03585e-008,1.2010
3.03971e-008,1.1980
3.04357e-008,1.1661
3.04743e-008,1.0780
3.05128e-008,0.9209
3.05514e-008,0.7388
3.05900e-008,0.5660
3.06285e-008,0.4257
3.06671e-008,0.3333
3.07057e-008,0.2875
3.07443e-008,0.2841
3.07829e-008,0.3028
3.08214e-008,0.3023
3.08600e-008,0.3293
3.08986e-008,0.3947
3.09372e-008,0.5154
3.09757e-008,0.6862
3.10143e-008,0.8780
3.10529e-008,1.0298
3.10914e-008,1.1315
3.11300e-008,1.1875
3.11686e-008,1.2051
3.12072e-008,1.1961
3.12458e-008,1.1763
3.12843e-008,1.1978
3.13229e-008,1.2015
3.13615e-008,1.1806
3.14000e-008,1.1139
3.14386e-008,0.9764
3.14772e-008,0.7955
3.15158e-008,0.6190
3.15544e-008,0.4648
