.HEADER
..NAMES
Time,V U1.AE7
.DATA
2.88927e-008,0.3188
2.89313e-008,0.3375
2.89698e-008,0.3537
2.90084e-008,0.3596
2.90470e-008,0.3576
2.90855e-008,0.3520
2.91241e-008,0.3431
2.91627e-008,0.3317
2.92013e-008,0.3225
2.92398e-008,0.3185
2.92784e-008,0.3166
2.93170e-008,0.3155
2.93556e-008,0.3158
2.93941e-008,0.3168
2.94327e-008,0.3169
2.94713e-008,0.3163
2.95099e-008,0.3158
2.95485e-008,0.3162
2.95870e-008,0.3223
2.96256e-008,0.3463
2.96642e-008,0.4083
2.97028e-008,0.5188
2.97413e-008,0.6680
2.97799e-008,0.8220
2.98185e-008,0.9347
2.98570e-008,1.0077
2.98956e-008,1.0539
2.99342e-008,1.0866
2.99728e-008,1.1164
3.00113e-008,1.1443
3.00499e-008,1.1653
3.00885e-008,1.1789
3.01271e-008,1.1857
3.01657e-008,1.1869
3.02042e-008,1.1814
3.02428e-008,1.1728
3.02814e-008,1.1622
3.03199e-008,1.1514
3.03585e-008,1.1443
3.03971e-008,1.1448
3.04357e-008,1.1519
3.04743e-008,1.1601
3.05128e-008,1.1675
3.05514e-008,1.1738
3.05900e-008,1.1785
3.06285e-008,1.1803
3.06671e-008,1.1807
3.07057e-008,1.1810
3.07443e-008,1.1815
3.07829e-008,1.1821
3.08214e-008,1.1824
3.08600e-008,1.1828
3.08986e-008,1.1831
3.09372e-008,1.1838
3.09757e-008,1.1849
3.10143e-008,1.1856
3.10529e-008,1.1854
3.10914e-008,1.1850
3.11300e-008,1.1848
3.11686e-008,1.1846
3.12072e-008,1.1843
3.12458e-008,1.1841
3.12843e-008,1.1844
3.13229e-008,1.1846
3.13615e-008,1.1846
3.14000e-008,1.1845
3.14386e-008,1.1846
3.14772e-008,1.1846
3.15158e-008,1.1846
3.15544e-008,1.1847
3.15929e-008,1.1846
3.16315e-008,1.1845
3.16701e-008,1.1845
3.17087e-008,1.1845
3.17472e-008,1.1845
3.17858e-008,1.1845
3.18244e-008,1.1845
3.18629e-008,1.1846
3.19015e-008,1.1871
3.19401e-008,1.1923
3.19787e-008,1.1901
3.20173e-008,1.1612
3.20558e-008,1.0765
3.20944e-008,0.9363
3.21330e-008,0.7835
3.21715e-008,0.6402
3.22101e-008,0.5213
3.22487e-008,0.4367
3.22873e-008,0.3834
3.23259e-008,0.3503
3.23644e-008,0.3301
3.24030e-008,0.3162
3.24416e-008,0.3042
3.24801e-008,0.2942
3.25187e-008,0.2905
3.25573e-008,0.2939
3.25959e-008,0.3026
3.26344e-008,0.3171
3.26730e-008,0.3353
3.27116e-008,0.3505
3.27502e-008,0.3573
3.27888e-008,0.3572
3.28273e-008,0.3530
3.28659e-008,0.3506
3.29045e-008,0.3637
3.29430e-008,0.4136
3.29816e-008,0.5150
3.30202e-008,0.6582
3.30588e-008,0.8124
3.30974e-008,0.9270
3.31359e-008,1.0033
3.31745e-008,1.0520
3.32131e-008,1.0861
3.32516e-008,1.1152
3.32902e-008,1.1428
3.33288e-008,1.1633
3.33674e-008,1.1766
3.34060e-008,1.1837
3.34445e-008,1.1855
3.34831e-008,1.1806
3.35217e-008,1.1725
3.35603e-008,1.1629
3.35988e-008,1.1525
3.36374e-008,1.1448
3.36760e-008,1.1444
3.37145e-008,1.1512
3.37531e-008,1.1593
3.37917e-008,1.1738
3.38303e-008,1.1844
3.38689e-008,1.1793
3.39074e-008,1.1342
3.39460e-008,1.0254
3.39846e-008,0.8741
3.40231e-008,0.7247
3.40617e-008,0.5889
3.41003e-008,0.4830
3.41389e-008,0.4119
3.41775e-008,0.3678
3.42160e-008,0.3406
3.42546e-008,0.3244
3.42932e-008,0.3124
3.43318e-008,0.3008
3.43703e-008,0.2920
3.44089e-008,0.2910
3.44475e-008,0.2965
3.44860e-008,0.3072
3.45246e-008,0.3235
3.45632e-008,0.3418
3.46018e-008,0.3544
3.46404e-008,0.3580
3.46789e-008,0.3560
3.47175e-008,0.3498
3.47561e-008,0.3399
3.47946e-008,0.3294
3.48332e-008,0.3221
3.48718e-008,0.3184
3.49104e-008,0.3165
3.49490e-008,0.3159
3.49875e-008,0.3163
3.50261e-008,0.3163
3.50647e-008,0.3162
3.51032e-008,0.3161
3.51418e-008,0.3157
3.51804e-008,0.3144
3.52190e-008,0.3132
3.52575e-008,0.3127
3.52961e-008,0.3127
3.53347e-008,0.3127
3.53733e-008,0.3129
3.54119e-008,0.3137
3.54504e-008,0.3143
3.54890e-008,0.3143
3.55276e-008,0.3142
3.55661e-008,0.3141
