.HEADER
..NAMES
Time,V U4.P8
.DATA
3.44012e-008,0.4236
3.44378e-008,0.4143
3.44745e-008,0.4061
3.45112e-008,0.4094
3.45478e-008,0.4348
3.45845e-008,0.4873
3.46212e-008,0.5643
3.46579e-008,0.6585
3.46946e-008,0.7603
3.47312e-008,0.8564
3.47679e-008,0.9316
3.48046e-008,0.9757
3.48412e-008,0.9893
3.48779e-008,0.9807
3.49146e-008,0.9617
3.49513e-008,0.9433
3.49879e-008,0.9330
3.50246e-008,0.9336
3.50613e-008,0.9438
3.50980e-008,0.9597
3.51347e-008,0.9763
3.51713e-008,0.9888
3.52080e-008,0.9953
3.52447e-008,0.9972
3.52813e-008,0.9988
3.53180e-008,1.0050
3.53547e-008,1.0183
3.53914e-008,1.0377
3.54281e-008,1.0569
3.54647e-008,1.0645
3.55014e-008,1.0481
3.55381e-008,1.0017
3.55748e-008,0.9275
3.56114e-008,0.8317
3.56481e-008,0.7237
3.56848e-008,0.6173
3.57214e-008,0.5288
3.57581e-008,0.4697
3.57948e-008,0.4420
3.58315e-008,0.4397
3.58682e-008,0.4521
3.59048e-008,0.4678
3.59415e-008,0.4782
3.59782e-008,0.4800
3.60148e-008,0.4734
3.60515e-008,0.4612
3.60882e-008,0.4476
3.61249e-008,0.4367
3.61615e-008,0.4310
3.61982e-008,0.4296
3.62349e-008,0.4289
3.62716e-008,0.4242
3.63083e-008,0.4123
3.63449e-008,0.3928
3.63816e-008,0.3685
3.64183e-008,0.3440
3.64549e-008,0.3244
3.64916e-008,0.3138
3.65283e-008,0.3129
3.65650e-008,0.3198
3.66017e-008,0.3310
3.66383e-008,0.3421
3.66750e-008,0.3493
3.67117e-008,0.3501
3.67484e-008,0.3443
3.67850e-008,0.3337
3.68217e-008,0.3222
3.68584e-008,0.3133
3.68950e-008,0.3093
3.69317e-008,0.3101
3.69684e-008,0.3139
3.70051e-008,0.3188
3.70418e-008,0.3229
3.70784e-008,0.3249
3.71151e-008,0.3245
3.71518e-008,0.3219
3.71884e-008,0.3183
3.72251e-008,0.3151
3.72618e-008,0.3134
3.72985e-008,0.3139
3.73351e-008,0.3163
3.73718e-008,0.3196
3.74085e-008,0.3230
3.74452e-008,0.3254
3.74819e-008,0.3264
3.75185e-008,0.3261
3.75552e-008,0.3253
3.75919e-008,0.3242
3.76285e-008,0.3230
3.76652e-008,0.3218
3.77019e-008,0.3210
3.77386e-008,0.3211
3.77753e-008,0.3218
3.78119e-008,0.3228
3.78486e-008,0.3236
3.78853e-008,0.3241
3.79220e-008,0.3244
3.79586e-008,0.3246
3.79953e-008,0.3248
3.80320e-008,0.3251
3.80686e-008,0.3252
3.81053e-008,0.3253
3.81420e-008,0.3265
3.81787e-008,0.3308
3.82154e-008,0.3422
3.82520e-008,0.3661
3.82887e-008,0.4073
3.83254e-008,0.4672
3.83620e-008,0.5425
3.83987e-008,0.6271
3.84354e-008,0.7143
3.84721e-008,0.7965
3.85088e-008,0.8650
3.85454e-008,0.9129
3.85821e-008,0.9398
3.86188e-008,0.9508
3.86555e-008,0.9529
3.86921e-008,0.9520
3.87288e-008,0.9521
3.87655e-008,0.9552
3.88021e-008,0.9614
3.88388e-008,0.9700
3.88755e-008,0.9793
3.89122e-008,0.9874
3.89489e-008,0.9934
3.89855e-008,0.9983
3.90222e-008,1.0044
3.90589e-008,1.0140
3.90955e-008,1.0279
3.91322e-008,1.0450
3.91689e-008,1.0627
3.92056e-008,1.0781
