.HEADER
..NAMES
Time,V U4.P3
.DATA
1.75673e-008,1.0566
1.76040e-008,1.0721
1.76407e-008,1.0879
1.76773e-008,1.1002
1.77140e-008,1.1057
1.77507e-008,1.1030
1.77874e-008,1.0938
1.78240e-008,1.0817
1.78607e-008,1.0711
1.78974e-008,1.0661
1.79341e-008,1.0685
1.79708e-008,1.0777
1.80074e-008,1.0912
1.80441e-008,1.1051
1.80808e-008,1.1158
1.81175e-008,1.1206
1.81541e-008,1.1190
1.81908e-008,1.1121
1.82275e-008,1.1023
1.82641e-008,1.0929
1.83008e-008,1.0863
1.83375e-008,1.0841
1.83742e-008,1.0866
1.84108e-008,1.0924
1.84475e-008,1.0994
1.84842e-008,1.1055
1.85209e-008,1.1074
1.85576e-008,1.1004
1.85942e-008,1.0781
1.86309e-008,1.0342
1.86676e-008,0.9673
1.87043e-008,0.8804
1.87409e-008,0.7799
1.87776e-008,0.6763
1.88143e-008,0.5823
1.88509e-008,0.5072
1.88876e-008,0.4565
1.89243e-008,0.4322
1.89610e-008,0.4314
1.89976e-008,0.4459
1.90343e-008,0.4653
1.90710e-008,0.4795
1.91077e-008,0.4819
1.91444e-008,0.4719
1.91810e-008,0.4532
1.92177e-008,0.4317
1.92544e-008,0.4130
1.92911e-008,0.4002
1.93277e-008,0.3933
1.93644e-008,0.3898
1.94011e-008,0.3862
1.94377e-008,0.3792
1.94744e-008,0.3671
1.95111e-008,0.3504
1.95478e-008,0.3319
1.95844e-008,0.3162
1.96211e-008,0.3075
1.96578e-008,0.3082
1.96945e-008,0.3177
1.97312e-008,0.3326
1.97678e-008,0.3475
1.98045e-008,0.3573
1.98412e-008,0.3586
1.98779e-008,0.3507
1.99145e-008,0.3360
1.99512e-008,0.3187
1.99879e-008,0.3038
2.00245e-008,0.2952
2.00612e-008,0.2948
2.00979e-008,0.3019
2.01346e-008,0.3134
2.01712e-008,0.3256
2.02079e-008,0.3346
2.02446e-008,0.3382
2.02813e-008,0.3360
2.03179e-008,0.3296
2.03546e-008,0.3219
2.03913e-008,0.3158
2.04280e-008,0.3135
2.04647e-008,0.3158
2.05013e-008,0.3219
2.05380e-008,0.3297
2.05747e-008,0.3368
2.06114e-008,0.3411
2.06480e-008,0.3415
2.06847e-008,0.3381
2.07214e-008,0.3322
2.07580e-008,0.3256
2.07947e-008,0.3200
2.08314e-008,0.3169
2.08681e-008,0.3167
2.09047e-008,0.3191
2.09414e-008,0.3232
2.09781e-008,0.3277
2.10148e-008,0.3313
2.10515e-008,0.3333
2.10881e-008,0.3334
2.11248e-008,0.3321
2.11615e-008,0.3298
2.11982e-008,0.3273
2.12348e-008,0.3256
2.12715e-008,0.3256
2.13082e-008,0.3299
2.13448e-008,0.3430
2.13815e-008,0.3713
2.14182e-008,0.4199
2.14549e-008,0.4899
2.14915e-008,0.5765
2.15282e-008,0.6712
2.15649e-008,0.7642
2.16016e-008,0.8460
2.16383e-008,0.9083
2.16749e-008,0.9481
2.17116e-008,0.9661
2.17483e-008,0.9661
2.17850e-008,0.9554
2.18216e-008,0.9435
2.18583e-008,0.9382
2.18950e-008,0.9432
2.19316e-008,0.9573
2.19683e-008,0.9755
2.20050e-008,0.9929
2.20417e-008,1.0065
2.20783e-008,1.0156
2.21150e-008,1.0218
2.21517e-008,1.0277
2.21884e-008,1.0355
2.22251e-008,1.0465
2.22617e-008,1.0608
2.22984e-008,1.0769
2.23351e-008,1.0919
2.23718e-008,1.1023
2.24084e-008,1.1055
2.24451e-008,1.1009
2.24818e-008,1.0906
2.25184e-008,1.0786
2.25551e-008,1.0692
2.25918e-008,1.0660
2.26285e-008,1.0701
2.26651e-008,1.0805
2.27018e-008,1.0940
2.27385e-008,1.1070
2.27752e-008,1.1160
2.28119e-008,1.1190
2.28485e-008,1.1159
2.28852e-008,1.1084
2.29219e-008,1.0994
2.29586e-008,1.0917
2.29952e-008,1.0874
2.30319e-008,1.0873
2.30686e-008,1.0908
2.31052e-008,1.0961
2.31419e-008,1.1009
2.31786e-008,1.1032
2.32153e-008,1.1022
2.32519e-008,1.0981
2.32886e-008,1.0922
2.33253e-008,1.0864
2.33620e-008,1.0823
2.33987e-008,1.0809
2.34353e-008,1.0822
2.34720e-008,1.0858
2.35087e-008,1.0904
2.35454e-008,1.0947
2.35820e-008,1.0978
2.36187e-008,1.0990
2.36554e-008,1.0983
2.36920e-008,1.0960
2.37287e-008,1.0930
2.37654e-008,1.0902
