.HEADER
..NAMES
Time,V U3.E7
.DATA
1.80531e-008,0.8349
1.80917e-008,0.7247
1.81302e-008,0.6227
1.81688e-008,0.5356
1.82074e-008,0.4677
1.82460e-008,0.4174
1.82846e-008,0.3802
1.83231e-008,0.3617
1.83617e-008,0.3746
1.84003e-008,0.4253
1.84389e-008,0.5170
1.84774e-008,0.6370
1.85160e-008,0.7553
1.85546e-008,0.8539
1.85932e-008,0.9317
1.86317e-008,0.9936
1.86703e-008,1.0438
1.87089e-008,1.0821
1.87474e-008,1.1085
1.87860e-008,1.1280
1.88246e-008,1.1435
1.88632e-008,1.1547
1.89017e-008,1.1620
1.89403e-008,1.1662
1.89789e-008,1.1672
1.90175e-008,1.1664
1.90560e-008,1.1658
1.90946e-008,1.1668
1.91332e-008,1.1691
1.91718e-008,1.1716
1.92104e-008,1.1754
1.92489e-008,1.1796
1.92875e-008,1.1773
1.93261e-008,1.1548
1.93647e-008,1.0957
1.94032e-008,1.0004
1.94418e-008,0.8888
1.94804e-008,0.7765
1.95190e-008,0.6698
1.95575e-008,0.5750
1.95961e-008,0.4975
1.96347e-008,0.4405
1.96732e-008,0.4015
1.97118e-008,0.3734
1.97504e-008,0.3524
1.97890e-008,0.3379
1.98275e-008,0.3278
1.98661e-008,0.3211
1.99047e-008,0.3186
1.99433e-008,0.3196
1.99819e-008,0.3222
2.00204e-008,0.3244
2.00590e-008,0.3253
2.00976e-008,0.3260
2.01362e-008,0.3265
2.01747e-008,0.3262
2.02133e-008,0.3251
2.02519e-008,0.3243
2.02905e-008,0.3239
2.03290e-008,0.3236
2.03676e-008,0.3233
2.04062e-008,0.3230
2.04447e-008,0.3225
2.04833e-008,0.3219
2.05219e-008,0.3213
2.05605e-008,0.3210
2.05990e-008,0.3217
2.06376e-008,0.3262
2.06762e-008,0.3412
2.07148e-008,0.3785
2.07533e-008,0.4481
2.07919e-008,0.5494
2.08305e-008,0.6651
2.08691e-008,0.7711
2.09077e-008,0.8575
2.09462e-008,0.9297
2.09848e-008,0.9910
2.10234e-008,1.0407
2.10620e-008,1.0781
2.11005e-008,1.1049
2.11391e-008,1.1252
2.11777e-008,1.1411
2.12163e-008,1.1522
2.12548e-008,1.1596
2.12934e-008,1.1639
2.13320e-008,1.1653
2.13705e-008,1.1652
2.14091e-008,1.1658
2.14477e-008,1.1678
2.14863e-008,1.1701
2.15248e-008,1.1724
2.15634e-008,1.1762
2.16020e-008,1.1800
2.16406e-008,1.1748
2.16791e-008,1.1457
2.17177e-008,1.0782
2.17563e-008,0.9777
2.17949e-008,0.8649
2.18335e-008,0.7533
2.18720e-008,0.6485
2.19106e-008,0.5570
2.19492e-008,0.4836
2.19878e-008,0.4309
2.20263e-008,0.3948
2.20649e-008,0.3684
2.21035e-008,0.3489
2.21420e-008,0.3355
2.21806e-008,0.3260
2.22192e-008,0.3202
2.22578e-008,0.3186
2.22963e-008,0.3201
2.23349e-008,0.3228
2.23735e-008,0.3246
2.24121e-008,0.3255
2.24506e-008,0.3262
2.24892e-008,0.3265
2.25278e-008,0.3260
2.25664e-008,0.3249
2.26050e-008,0.3242
2.26435e-008,0.3238
2.26821e-008,0.3235
2.27207e-008,0.3233
2.27593e-008,0.3229
2.27978e-008,0.3224
2.28364e-008,0.3217
2.28750e-008,0.3212
2.29136e-008,0.3210
2.29521e-008,0.3210
2.29907e-008,0.3209
2.30293e-008,0.3209
2.30678e-008,0.3209
2.31064e-008,0.3209
2.31450e-008,0.3209
2.31836e-008,0.3209
2.32221e-008,0.3208
2.32607e-008,0.3208
2.32993e-008,0.3208
2.33379e-008,0.3208
2.33764e-008,0.3208
2.34150e-008,0.3209
2.34536e-008,0.3209
2.34922e-008,0.3208
2.35308e-008,0.3208
2.35693e-008,0.3208
2.36079e-008,0.3208
2.36465e-008,0.3208
2.36851e-008,0.3208
2.37236e-008,0.3208
2.37622e-008,0.3208
2.38008e-008,0.3208
2.38394e-008,0.3208
2.38779e-008,0.3214
2.39165e-008,0.3252
2.39551e-008,0.3386
2.39936e-008,0.3730
2.40322e-008,0.4389
2.40708e-008,0.5372
2.41094e-008,0.6527
2.41479e-008,0.7607
2.41865e-008,0.8491
2.42251e-008,0.9225
2.42637e-008,0.9849
2.43023e-008,1.0359
2.43408e-008,1.0795
2.43794e-008,1.1230
2.44180e-008,1.1570
2.44566e-008,1.1663
2.44951e-008,1.1436
2.45337e-008,1.0738
2.45723e-008,0.9658
2.46109e-008,0.8466
2.46494e-008,0.7308
2.46880e-008,0.6272
2.47266e-008,0.5412
2.47651e-008,0.4721
2.48037e-008,0.4223
2.48423e-008,0.3888
2.48809e-008,0.3635
2.49194e-008,0.3444
2.49580e-008,0.3314
2.49966e-008,0.3224
2.50352e-008,0.3177
2.50737e-008,0.3175
2.51123e-008,0.3198
2.51509e-008,0.3231
2.51895e-008,0.3254
2.52281e-008,0.3259
2.52666e-008,0.3261
2.53052e-008,0.3276
2.53438e-008,0.3346
2.53824e-008,0.3570
2.54209e-008,0.4077
2.54595e-008,0.4920
2.54981e-008,0.6023
2.55367e-008,0.7153
2.55752e-008,0.8119
2.56138e-008,0.8904
2.56524e-008,0.9570
2.56909e-008,1.0133
2.57295e-008,1.0583
2.57681e-008,1.1030
2.58067e-008,1.1424
2.58452e-008,1.1651
2.58838e-008,1.1599
2.59224e-008,1.1126
2.59610e-008,1.0200
2.59995e-008,0.9031
2.60381e-008,0.7846
2.60767e-008,0.6745
2.61153e-008,0.5800
2.61539e-008,0.5029
2.61924e-008,0.4437
2.62310e-008,0.4033
2.62696e-008,0.3749
2.63082e-008,0.3527
2.63467e-008,0.3370
2.63853e-008,0.3262
2.64239e-008,0.3193
2.64625e-008,0.3172
2.65010e-008,0.3186
2.65396e-008,0.3216
2.65782e-008,0.3245
2.66167e-008,0.3258
2.66553e-008,0.3259
2.66939e-008,0.3261
2.67325e-008,0.3259
2.67710e-008,0.3251
2.68096e-008,0.3243
2.68482e-008,0.3238
2.68868e-008,0.3236
2.69254e-008,0.3234
2.69639e-008,0.3231
2.70025e-008,0.3225
2.70411e-008,0.3218
2.70797e-008,0.3213
2.71182e-008,0.3209
2.71568e-008,0.3208
2.71954e-008,0.3209
2.72340e-008,0.3209
2.72725e-008,0.3209
2.73111e-008,0.3209
2.73497e-008,0.3209
2.73882e-008,0.3209
2.74268e-008,0.3208
2.74654e-008,0.3208
2.75040e-008,0.3208
2.75425e-008,0.3208
2.75811e-008,0.3208
2.76197e-008,0.3208
2.76583e-008,0.3209
2.76968e-008,0.3208
2.77354e-008,0.3208
2.77740e-008,0.3208
2.78126e-008,0.3208
2.78512e-008,0.3208
2.78897e-008,0.3208
2.79283e-008,0.3208
2.79669e-008,0.3208
2.80055e-008,0.3208
2.80440e-008,0.3208
2.80826e-008,0.3208
2.81212e-008,0.3208
2.81598e-008,0.3208
2.81983e-008,0.3208
2.82369e-008,0.3208
2.82755e-008,0.3208
2.83140e-008,0.3208
2.83526e-008,0.3208
2.83912e-008,0.3208
2.84298e-008,0.3208
2.84683e-008,0.3208
2.85069e-008,0.3208
2.85455e-008,0.3208
2.85841e-008,0.3208
2.86226e-008,0.3208
2.86612e-008,0.3208
2.86998e-008,0.3208
2.87384e-008,0.3208
2.87770e-008,0.3208
2.88155e-008,0.3208
2.88541e-008,0.3208
2.88927e-008,0.3208
2.89313e-008,0.3208
2.89698e-008,0.3208
2.90084e-008,0.3208
2.90470e-008,0.3219
2.90855e-008,0.3273
2.91241e-008,0.3450
2.91627e-008,0.3869
2.92013e-008,0.4617
2.92398e-008,0.5667
2.92784e-008,0.6824
2.93170e-008,0.7857
2.93556e-008,0.8694
2.93941e-008,0.9398
2.94327e-008,0.9994
2.94713e-008,1.0473
2.95099e-008,1.0922
2.95485e-008,1.1336
2.95870e-008,1.1622
2.96256e-008,1.1645
2.96642e-008,1.1300
2.97028e-008,1.0485
2.97413e-008,0.9352
2.97799e-008,0.8158
2.98185e-008,0.7024
2.98570e-008,0.6032
2.98956e-008,0.5216
2.99342e-008,0.4572
2.99728e-008,0.4123
3.00113e-008,0.3817
3.00499e-008,0.3578
3.00885e-008,0.3404
3.01271e-008,0.3287
3.01657e-008,0.3207
3.02042e-008,0.3173
3.02428e-008,0.3179
3.02814e-008,0.3206
3.03199e-008,0.3239
3.03585e-008,0.3256
3.03971e-008,0.3259
3.04357e-008,0.3262
3.04743e-008,0.3285
3.05128e-008,0.3384
3.05514e-008,0.3671
3.05900e-008,0.4264
3.06285e-008,0.5189
3.06671e-008,0.6326
3.07057e-008,0.7425
3.07443e-008,0.8337
3.07829e-008,0.9088
3.08214e-008,0.9728
3.08600e-008,1.0260
3.08986e-008,1.0699
3.09372e-008,1.1147
3.09757e-008,1.1516
3.10143e-008,1.1666
3.10529e-008,1.1524
3.10914e-008,1.0926
3.11300e-008,0.9907
3.11686e-008,0.8721
3.12072e-008,0.7548
3.12458e-008,0.6482
3.12843e-008,0.5584
3.13229e-008,0.4855
3.13615e-008,0.4310
3.14000e-008,0.3902
3.14386e-008,0.3635
3.14772e-008,0.3605
3.15158e-008,0.3931
3.15544e-008,0.4683
3.15929e-008,0.5817
3.16315e-008,0.7070
3.16701e-008,0.8162
3.17087e-008,0.9022
3.17472e-008,0.9701
3.17858e-008,1.0244
3.18244e-008,1.0672
3.18629e-008,1.0981
3.19015e-008,1.1198
3.19401e-008,1.1371
3.19787e-008,1.1504
3.20173e-008,1.1593
3.20558e-008,1.1650
3.20944e-008,1.1673
3.21330e-008,1.1668
3.21715e-008,1.1656
3.22101e-008,1.1658
3.22487e-008,1.1678
3.22873e-008,1.1704
3.23259e-008,1.1736
3.23644e-008,1.1779
3.24030e-008,1.1799
3.24416e-008,1.1681
3.24801e-008,1.1259
3.25187e-008,1.0445
3.25573e-008,0.9373
3.25959e-008,0.8241
3.26344e-008,0.7145
3.26730e-008,0.6137
3.27116e-008,0.5283
3.27502e-008,0.4624
3.27888e-008,0.4165
3.28273e-008,0.3845
3.28659e-008,0.3605
3.29045e-008,0.3434
