.HEADER
..NAMES
Time,V U3.H7
.DATA
2.57681e-008,1.0886
2.58067e-008,1.1112
2.58452e-008,1.1295
2.58838e-008,1.1443
2.59224e-008,1.1552
2.59610e-008,1.1628
2.59995e-008,1.1666
2.60381e-008,1.1670
2.60767e-008,1.1665
2.61153e-008,1.1670
2.61539e-008,1.1685
2.61924e-008,1.1703
2.62310e-008,1.1715
2.62696e-008,1.1725
2.63082e-008,1.1736
2.63467e-008,1.1745
2.63853e-008,1.1750
2.64239e-008,1.1752
2.64625e-008,1.1754
2.65010e-008,1.1757
2.65396e-008,1.1762
2.65782e-008,1.1768
2.66167e-008,1.1772
2.66553e-008,1.1774
2.66939e-008,1.1781
2.67325e-008,1.1803
2.67710e-008,1.1818
2.68096e-008,1.1734
2.68482e-008,1.1396
2.68868e-008,1.0679
2.69254e-008,0.9655
2.69639e-008,0.8505
2.70025e-008,0.7354
2.70411e-008,0.6281
2.70797e-008,0.5373
2.71182e-008,0.4673
2.71568e-008,0.4164
2.71954e-008,0.3800
2.72340e-008,0.3616
2.72725e-008,0.3717
2.73111e-008,0.4166
2.73497e-008,0.5022
2.73882e-008,0.6201
2.74268e-008,0.7422
2.74654e-008,0.8479
2.75040e-008,0.9325
2.75425e-008,0.9975
2.75811e-008,1.0467
2.76197e-008,1.0824
2.76583e-008,1.1065
2.76968e-008,1.1244
2.77354e-008,1.1398
2.77740e-008,1.1520
2.78126e-008,1.1612
2.78512e-008,1.1673
2.78897e-008,1.1694
2.79283e-008,1.1685
2.79669e-008,1.1673
2.80055e-008,1.1671
2.80440e-008,1.1684
2.80826e-008,1.1704
2.81212e-008,1.1741
2.81598e-008,1.1787
2.81983e-008,1.1778
2.82369e-008,1.1586
2.82755e-008,1.1049
2.83140e-008,1.0143
2.83526e-008,0.9034
2.83912e-008,0.7879
2.84298e-008,0.6763
2.84683e-008,0.5777
2.85069e-008,0.4980
2.85455e-008,0.4397
2.85841e-008,0.4004
2.86226e-008,0.3735
2.86612e-008,0.3539
2.86998e-008,0.3401
2.87384e-008,0.3293
2.87770e-008,0.3211
2.88155e-008,0.3170
2.88541e-008,0.3168
2.88927e-008,0.3187
2.89313e-008,0.3212
2.89698e-008,0.3232
2.90084e-008,0.3247
2.90470e-008,0.3257
2.90855e-008,0.3255
2.91241e-008,0.3245
2.91627e-008,0.3235
2.92013e-008,0.3229
2.92398e-008,0.3225
2.92784e-008,0.3225
2.93170e-008,0.3225
2.93556e-008,0.3222
2.93941e-008,0.3218
2.94327e-008,0.3212
2.94713e-008,0.3209
2.95099e-008,0.3207
2.95485e-008,0.3205
2.95870e-008,0.3205
2.96256e-008,0.3205
2.96642e-008,0.3206
2.97028e-008,0.3207
2.97413e-008,0.3207
2.97799e-008,0.3207
2.98185e-008,0.3206
2.98570e-008,0.3206
2.98956e-008,0.3206
2.99342e-008,0.3206
2.99728e-008,0.3206
3.00113e-008,0.3207
3.00499e-008,0.3206
3.00885e-008,0.3206
3.01271e-008,0.3206
3.01657e-008,0.3206
