.HEADER
..NAMES
Time,V U3.J3
.DATA
3.46946e-008,1.0935
3.47312e-008,1.0915
3.47679e-008,1.0878
3.48046e-008,1.0847
3.48412e-008,1.0839
3.48779e-008,1.0860
3.49146e-008,1.0904
3.49513e-008,1.0955
3.49879e-008,1.0996
3.50246e-008,1.1016
3.50613e-008,1.1014
3.50980e-008,1.0996
3.51347e-008,1.0976
3.51713e-008,1.0967
3.52080e-008,1.0972
3.52447e-008,1.0991
3.52813e-008,1.1015
3.53180e-008,1.1033
3.53547e-008,1.1039
3.53914e-008,1.1032
3.54281e-008,1.1015
3.54647e-008,1.0993
3.55014e-008,1.0971
3.55381e-008,1.0953
3.55748e-008,1.0940
3.56114e-008,1.0931
3.56481e-008,1.0925
3.56848e-008,1.0919
3.57214e-008,1.0913
3.57581e-008,1.0907
3.57948e-008,1.0904
3.58315e-008,1.0904
3.58682e-008,1.0908
3.59048e-008,1.0915
3.59415e-008,1.0922
3.59782e-008,1.0926
3.60148e-008,1.0926
3.60515e-008,1.0921
3.60882e-008,1.0914
3.61249e-008,1.0906
3.61615e-008,1.0901
3.61982e-008,1.0901
3.62349e-008,1.0904
3.62716e-008,1.0910
3.63083e-008,1.0916
3.63449e-008,1.0919
3.63816e-008,1.0923
3.64183e-008,1.0928
3.64549e-008,1.0929
3.64916e-008,1.0898
3.65283e-008,1.0785
3.65650e-008,1.0517
3.66017e-008,1.0035
3.66383e-008,0.9315
3.66750e-008,0.8392
3.67117e-008,0.7362
3.67484e-008,0.6360
3.67850e-008,0.5514
3.68217e-008,0.4914
3.68584e-008,0.4588
3.68950e-008,0.4491
3.69317e-008,0.4528
3.69684e-008,0.4590
3.70051e-008,0.4592
3.70418e-008,0.4492
3.70784e-008,0.4298
3.71151e-008,0.4059
3.71518e-008,0.3832
3.71884e-008,0.3663
3.72251e-008,0.3571
3.72618e-008,0.3547
3.72985e-008,0.3559
3.73351e-008,0.3570
3.73718e-008,0.3553
3.74085e-008,0.3497
3.74452e-008,0.3414
3.74819e-008,0.3330
3.75185e-008,0.3273
3.75552e-008,0.3259
3.75919e-008,0.3287
3.76285e-008,0.3337
3.76652e-008,0.3383
3.77019e-008,0.3401
3.77386e-008,0.3383
3.77753e-008,0.3334
3.78119e-008,0.3272
3.78486e-008,0.3220
3.78853e-008,0.3192
3.79220e-008,0.3194
3.79586e-008,0.3217
3.79953e-008,0.3245
3.80320e-008,0.3263
3.80686e-008,0.3261
3.81053e-008,0.3242
3.81420e-008,0.3215
3.81787e-008,0.3190
3.82154e-008,0.3180
