.HEADER
..NAMES
Time,V U5.K9
.DATA
3.01835e-008,0.9579
3.02202e-008,0.9703
3.02569e-008,0.9787
3.02935e-008,0.9824
3.03302e-008,0.9825
3.03669e-008,0.9811
3.04036e-008,0.9802
3.04403e-008,0.9813
3.04769e-008,0.9852
3.05136e-008,0.9916
3.05503e-008,1.0004
3.05869e-008,1.0113
3.06236e-008,1.0210
3.06603e-008,1.0207
3.06970e-008,0.9968
3.07336e-008,0.9382
3.07703e-008,0.8497
3.08070e-008,0.7474
3.08437e-008,0.6464
3.08804e-008,0.5602
3.09170e-008,0.5010
3.09537e-008,0.4727
3.09904e-008,0.4677
3.10270e-008,0.4728
3.10637e-008,0.4761
3.11004e-008,0.4717
3.11371e-008,0.4604
3.11738e-008,0.4477
3.12104e-008,0.4388
3.12471e-008,0.4357
3.12838e-008,0.4376
3.13205e-008,0.4418
3.13571e-008,0.4454
3.13938e-008,0.4462
3.14305e-008,0.4436
3.14671e-008,0.4374
3.15038e-008,0.4283
3.15405e-008,0.4171
3.15772e-008,0.4055
3.16139e-008,0.3957
3.16505e-008,0.3890
3.16872e-008,0.3852
3.17239e-008,0.3823
3.17605e-008,0.3777
3.17972e-008,0.3690
3.18339e-008,0.3559
3.18706e-008,0.3409
3.19072e-008,0.3269
3.19439e-008,0.3171
3.19806e-008,0.3138
3.20173e-008,0.3173
3.20540e-008,0.3253
3.20906e-008,0.3332
3.21273e-008,0.3370
3.21640e-008,0.3350
3.22006e-008,0.3288
3.22373e-008,0.3212
3.22740e-008,0.3151
3.23107e-008,0.3124
3.23474e-008,0.3135
3.23840e-008,0.3175
3.24207e-008,0.3226
3.24574e-008,0.3270
3.24941e-008,0.3297
3.25307e-008,0.3302
3.25674e-008,0.3290
3.26041e-008,0.3273
3.26407e-008,0.3260
3.26774e-008,0.3257
3.27141e-008,0.3266
3.27508e-008,0.3284
3.27875e-008,0.3307
3.28241e-008,0.3324
3.28608e-008,0.3326
3.28975e-008,0.3306
3.29341e-008,0.3272
3.29708e-008,0.3235
3.30075e-008,0.3209
3.30442e-008,0.3203
3.30808e-008,0.3218
3.31175e-008,0.3249
3.31542e-008,0.3282
3.31909e-008,0.3303
3.32276e-008,0.3306
3.32642e-008,0.3292
3.33009e-008,0.3267
3.33376e-008,0.3245
3.33742e-008,0.3247
3.34109e-008,0.3309
3.34476e-008,0.3495
3.34843e-008,0.3889
3.35210e-008,0.4537
3.35576e-008,0.5414
3.35943e-008,0.6401
3.36310e-008,0.7343
3.36677e-008,0.8137
3.37043e-008,0.8721
3.37410e-008,0.9066
3.37777e-008,0.9217
3.38143e-008,0.9274
3.38510e-008,0.9325
3.38877e-008,0.9415
3.39244e-008,0.9539
3.39611e-008,0.9664
3.39977e-008,0.9760
3.40344e-008,0.9811
3.40711e-008,0.9824
3.41077e-008,0.9817
3.41444e-008,0.9809
3.41811e-008,0.9815
3.42178e-008,0.9842
3.42545e-008,0.9888
3.42911e-008,0.9954
3.43278e-008,1.0035
3.43645e-008,1.0120
3.44012e-008,1.0198
3.44378e-008,1.0257
3.44745e-008,1.0301
3.45112e-008,1.0344
3.45478e-008,1.0404
3.45845e-008,1.0494
3.46212e-008,1.0612
3.46579e-008,1.0743
3.46946e-008,1.0860
3.47312e-008,1.0943
3.47679e-008,1.0978
3.48046e-008,1.0965
3.48412e-008,1.0919
3.48779e-008,1.0870
3.49146e-008,1.0848
3.49513e-008,1.0865
3.49879e-008,1.0912
3.50246e-008,1.0967
3.50613e-008,1.1009
3.50980e-008,1.1027
3.51347e-008,1.1020
3.51713e-008,1.0996
3.52080e-008,1.0968
3.52447e-008,1.0948
3.52813e-008,1.0948
3.53180e-008,1.0940
3.53547e-008,1.0847
3.53914e-008,1.0547
3.54281e-008,0.9936
3.54647e-008,0.9040
3.55014e-008,0.7979
3.55381e-008,0.6885
3.55748e-008,0.5906
3.56114e-008,0.5187
3.56481e-008,0.4787
3.56848e-008,0.4656
3.57214e-008,0.4684
3.57581e-008,0.4750
3.57948e-008,0.4766
3.58315e-008,0.4699
3.58682e-008,0.4573
3.59048e-008,0.4435
3.59415e-008,0.4326
3.59782e-008,0.4273
3.60148e-008,0.4273
3.60515e-008,0.4306
3.60882e-008,0.4344
3.61249e-008,0.4364
3.61615e-008,0.4347
3.61982e-008,0.4286
3.62349e-008,0.4184
3.62716e-008,0.4064
3.63083e-008,0.3954
3.63449e-008,0.3877
3.63816e-008,0.3836
3.64183e-008,0.3814
3.64549e-008,0.3783
3.64916e-008,0.3716
3.65283e-008,0.3606
3.65650e-008,0.3465
3.66017e-008,0.3318
3.66383e-008,0.3196
3.66750e-008,0.3131
3.67117e-008,0.3137
3.67484e-008,0.3197
3.67850e-008,0.3276
3.68217e-008,0.3332
3.68584e-008,0.3342
3.68950e-008,0.3305
3.69317e-008,0.3241
3.69684e-008,0.3174
3.70051e-008,0.3128
3.70418e-008,0.3116
3.70784e-008,0.3140
3.71151e-008,0.3188
3.71518e-008,0.3243
3.71884e-008,0.3288
3.72251e-008,0.3311
3.72618e-008,0.3312
3.72985e-008,0.3297
3.73351e-008,0.3277
3.73718e-008,0.3262
3.74085e-008,0.3260
3.74452e-008,0.3271
3.74819e-008,0.3293
3.75185e-008,0.3315
3.75552e-008,0.3324
3.75919e-008,0.3315
3.76285e-008,0.3288
3.76652e-008,0.3253
3.77019e-008,0.3222
3.77386e-008,0.3208
3.77753e-008,0.3214
3.78119e-008,0.3237
3.78486e-008,0.3269
3.78853e-008,0.3295
3.79220e-008,0.3306
3.79586e-008,0.3300
