.HEADER
..NAMES
Time,V U4.B8
.DATA
1.99819e-008,0.6907
2.00204e-008,0.5852
2.00590e-008,0.5057
2.00976e-008,0.4534
2.01362e-008,0.4163
2.01747e-008,0.3813
2.02133e-008,0.3704
2.02519e-008,0.3932
2.02905e-008,0.4451
2.03290e-008,0.5376
2.03676e-008,0.6564
2.04062e-008,0.7686
2.04447e-008,0.8516
2.04833e-008,0.9214
2.05219e-008,0.9830
2.05605e-008,1.0336
2.05990e-008,1.0718
2.06376e-008,1.0977
2.06762e-008,1.1132
2.07148e-008,1.1244
2.07533e-008,1.1349
2.07919e-008,1.1445
2.08305e-008,1.1561
2.08691e-008,1.1680
2.09077e-008,1.1735
2.09462e-008,1.1716
2.09848e-008,1.1702
2.10234e-008,1.1715
2.10620e-008,1.1732
2.11005e-008,1.1770
2.11391e-008,1.1836
2.11777e-008,1.1805
2.12163e-008,1.1534
2.12548e-008,1.0814
2.12934e-008,0.9634
2.13320e-008,0.8391
2.13705e-008,0.7289
2.14091e-008,0.6260
2.14477e-008,0.5377
2.14863e-008,0.4731
2.15248e-008,0.4317
2.15634e-008,0.4021
2.16020e-008,0.3797
2.16406e-008,0.3656
2.16791e-008,0.3571
2.17177e-008,0.3502
2.17563e-008,0.3396
2.17949e-008,0.3266
2.18335e-008,0.3196
2.18720e-008,0.3189
2.19106e-008,0.3186
2.19492e-008,0.3182
2.19878e-008,0.3200
2.20263e-008,0.3231
2.20649e-008,0.3241
2.21035e-008,0.3236
2.21420e-008,0.3236
2.21806e-008,0.3239
2.22192e-008,0.3237
2.22578e-008,0.3222
2.22963e-008,0.3205
2.23349e-008,0.3203
2.23735e-008,0.3211
2.24121e-008,0.3215
2.24506e-008,0.3213
2.24892e-008,0.3218
2.25278e-008,0.3266
2.25664e-008,0.3428
2.26050e-008,0.3850
2.26435e-008,0.4685
2.26821e-008,0.5879
2.27207e-008,0.7192
2.27593e-008,0.8231
2.27978e-008,0.8933
2.28364e-008,0.9541
2.28750e-008,1.0077
2.29136e-008,1.0505
2.29521e-008,1.0802
2.29907e-008,1.1016
2.30293e-008,1.1162
2.30678e-008,1.1252
2.31064e-008,1.1343
2.31450e-008,1.1467
2.31836e-008,1.1611
2.32221e-008,1.1720
2.32607e-008,1.1734
2.32993e-008,1.1696
2.33379e-008,1.1687
2.33764e-008,1.1707
2.34150e-008,1.1725
2.34536e-008,1.1731
2.34922e-008,1.1738
2.35308e-008,1.1740
2.35693e-008,1.1735
2.36079e-008,1.1738
2.36465e-008,1.1753
2.36851e-008,1.1774
2.37236e-008,1.1785
2.37622e-008,1.1774
2.38008e-008,1.1757
2.38394e-008,1.1757
2.38779e-008,1.1767
2.39165e-008,1.1793
2.39551e-008,1.1840
2.39936e-008,1.1815
2.40322e-008,1.1536
2.40708e-008,1.0780
2.41094e-008,0.9573
2.41479e-008,0.8326
2.41865e-008,0.7224
2.42251e-008,0.6208
2.42637e-008,0.5349
2.43023e-008,0.4715
2.43408e-008,0.4301
2.43794e-008,0.3952
2.44180e-008,0.3675
2.44566e-008,0.3776
2.44951e-008,0.4224
2.45337e-008,0.5008
2.45723e-008,0.6064
2.46109e-008,0.7224
2.46494e-008,0.8201
2.46880e-008,0.8971
2.47266e-008,0.9628
2.47651e-008,1.0165
2.48037e-008,1.0582
2.48423e-008,1.0886
2.48809e-008,1.1077
2.49194e-008,1.1190
2.49580e-008,1.1303
