.HEADER
..NAMES
Time,V U5.T7
.DATA
3.64916e-008,0.8820
3.65283e-008,0.9122
3.65650e-008,0.9216
3.66017e-008,0.9226
3.66383e-008,0.9258
3.66750e-008,0.9354
3.67117e-008,0.9495
3.67484e-008,0.9639
3.67850e-008,0.9751
3.68217e-008,0.9815
3.68584e-008,0.9836
3.68950e-008,0.9828
3.69317e-008,0.9812
3.69684e-008,0.9810
3.70051e-008,0.9834
3.70418e-008,0.9886
3.70784e-008,0.9963
3.71151e-008,1.0054
3.71518e-008,1.0139
3.71884e-008,1.0198
3.72251e-008,1.0225
3.72618e-008,1.0236
3.72985e-008,1.0263
3.73351e-008,1.0332
3.73718e-008,1.0458
3.74085e-008,1.0630
3.74452e-008,1.0810
3.74819e-008,1.0955
3.75185e-008,1.1034
3.75552e-008,1.1041
3.75919e-008,1.0993
3.76285e-008,1.0927
3.76652e-008,1.0881
3.77019e-008,1.0878
3.77386e-008,1.0920
3.77753e-008,1.0982
3.78119e-008,1.1037
3.78486e-008,1.1069
3.78853e-008,1.1073
3.79220e-008,1.1056
3.79586e-008,1.1023
3.79953e-008,1.0986
3.80320e-008,1.0953
3.80686e-008,1.0932
3.81053e-008,1.0926
3.81420e-008,1.0932
3.81787e-008,1.0940
3.82154e-008,1.0942
3.82520e-008,1.0933
3.82887e-008,1.0914
3.83254e-008,1.0893
3.83620e-008,1.0880
3.83987e-008,1.0881
3.84354e-008,1.0901
3.84721e-008,1.0932
3.85088e-008,1.0965
3.85454e-008,1.0985
3.85821e-008,1.0987
3.86188e-008,1.0970
3.86555e-008,1.0945
3.86921e-008,1.0922
3.87288e-008,1.0910
3.87655e-008,1.0913
3.88021e-008,1.0926
3.88388e-008,1.0942
3.88755e-008,1.0953
3.89122e-008,1.0957
3.89489e-008,1.0957
3.89855e-008,1.0959
3.90222e-008,1.0970
3.90589e-008,1.0971
3.90955e-008,1.0901
3.91322e-008,1.0648
3.91689e-008,1.0100
3.92056e-008,0.9248
