.HEADER
..NAMES
Time,V U2.C8
.DATA
3.28273e-008,1.0839
3.28659e-008,1.1052
3.29045e-008,1.1225
3.29430e-008,1.1352
3.29816e-008,1.1439
3.30202e-008,1.1510
3.30588e-008,1.1590
3.30974e-008,1.1676
3.31359e-008,1.1740
3.31745e-008,1.1754
3.32131e-008,1.1728
3.32516e-008,1.1708
3.32902e-008,1.1730
3.33288e-008,1.1787
3.33674e-008,1.1817
3.34060e-008,1.1716
3.34445e-008,1.1310
3.34831e-008,1.0457
3.35217e-008,0.9269
3.35603e-008,0.8040
3.35988e-008,0.6934
3.36374e-008,0.5957
3.36760e-008,0.5145
3.37145e-008,0.4563
3.37531e-008,0.4185
3.37917e-008,0.3916
3.38303e-008,0.3704
3.38689e-008,0.3553
3.39074e-008,0.3464
3.39460e-008,0.3406
3.39846e-008,0.3347
3.40231e-008,0.3275
3.40617e-008,0.3204
3.41003e-008,0.3167
3.41389e-008,0.3176
3.41775e-008,0.3199
3.42160e-008,0.3212
3.42546e-008,0.3226
3.42932e-008,0.3249
3.43318e-008,0.3260
3.43703e-008,0.3249
3.44089e-008,0.3234
3.44475e-008,0.3232
3.44860e-008,0.3234
3.45246e-008,0.3230
3.45632e-008,0.3220
3.46018e-008,0.3213
3.46404e-008,0.3215
3.46789e-008,0.3220
3.47175e-008,0.3223
3.47561e-008,0.3221
3.47946e-008,0.3218
3.48332e-008,0.3218
3.48718e-008,0.3218
3.49104e-008,0.3215
3.49490e-008,0.3211
3.49875e-008,0.3212
3.50261e-008,0.3215
3.50647e-008,0.3216
3.51032e-008,0.3213
3.51418e-008,0.3213
3.51804e-008,0.3228
3.52190e-008,0.3297
3.52575e-008,0.3511
3.52961e-008,0.4009
3.53347e-008,0.4885
3.53733e-008,0.6076
3.54119e-008,0.7314
3.54504e-008,0.8323
3.54890e-008,0.9062
3.55276e-008,0.9660
3.55661e-008,1.0174
3.56047e-008,1.0563
3.56433e-008,1.0837
3.56819e-008,1.1050
3.57205e-008,1.1227
3.57590e-008,1.1354
3.57976e-008,1.1437
3.58362e-008,1.1508
3.58747e-008,1.1594
3.59133e-008,1.1682
3.59519e-008,1.1742
3.59905e-008,1.1751
3.60290e-008,1.1724
3.60676e-008,1.1708
3.61062e-008,1.1732
3.61448e-008,1.1788
3.61834e-008,1.1814
3.62219e-008,1.1702
3.62605e-008,1.1278
3.62991e-008,1.0403
3.63376e-008,0.9205
3.63762e-008,0.7979
3.64148e-008,0.6881
3.64534e-008,0.5911
3.64920e-008,0.5110
3.65305e-008,0.4538
3.65691e-008,0.4168
3.66077e-008,0.3903
3.66462e-008,0.3694
3.66848e-008,0.3546
3.67234e-008,0.3460
3.67620e-008,0.3403
3.68006e-008,0.3344
3.68391e-008,0.3271
3.68777e-008,0.3200
3.69163e-008,0.3166
3.69549e-008,0.3177
3.69934e-008,0.3200
3.70320e-008,0.3212
3.70706e-008,0.3227
3.71091e-008,0.3250
3.71477e-008,0.3260
3.71863e-008,0.3248
3.72249e-008,0.3233
3.72635e-008,0.3231
3.73020e-008,0.3234
3.73406e-008,0.3229
3.73792e-008,0.3219
3.74177e-008,0.3213
3.74563e-008,0.3214
3.74949e-008,0.3220
3.75335e-008,0.3223
3.75721e-008,0.3220
3.76106e-008,0.3217
3.76492e-008,0.3217
3.76878e-008,0.3218
3.77263e-008,0.3214
3.77649e-008,0.3210
3.78035e-008,0.3211
3.78421e-008,0.3215
3.78806e-008,0.3216
3.79192e-008,0.3213
3.79578e-008,0.3212
3.79964e-008,0.3213
3.80350e-008,0.3215
3.80735e-008,0.3214
3.81121e-008,0.3213
3.81507e-008,0.3213
3.81892e-008,0.3213
3.82278e-008,0.3213
3.82664e-008,0.3213
3.83050e-008,0.3212
3.83436e-008,0.3212
3.83821e-008,0.3213
3.84207e-008,0.3213
3.84593e-008,0.3212
3.84978e-008,0.3212
3.85364e-008,0.3212
3.85750e-008,0.3213
3.86136e-008,0.3213
3.86521e-008,0.3212
3.86907e-008,0.3212
3.87293e-008,0.3212
3.87679e-008,0.3213
3.88065e-008,0.3212
3.88450e-008,0.3212
3.88836e-008,0.3212
3.89222e-008,0.3220
3.89607e-008,0.3267
3.89993e-008,0.3430
3.90379e-008,0.3841
3.90765e-008,0.4617
3.91151e-008,0.5742
3.91536e-008,0.7001
3.91922e-008,0.8085
3.92308e-008,0.8886
3.92693e-008,0.9510
3.93079e-008,1.0048
3.93465e-008,1.0472
3.93851e-008,1.0772
3.94237e-008,1.0997
3.94622e-008,1.1184
3.95008e-008,1.1324
3.95394e-008,1.1417
3.95780e-008,1.1489
3.96165e-008,1.1570
3.96551e-008,1.1660
3.96937e-008,1.1730
3.97322e-008,1.1753
3.97708e-008,1.1732
3.98094e-008,1.1709
3.98480e-008,1.1720
3.98866e-008,1.1772
3.99251e-008,1.1814
3.99637e-008,1.1754
4.00023e-008,1.1432
4.00408e-008,1.0677
4.00794e-008,0.9537
4.01180e-008,0.8294
4.01566e-008,0.7159
4.01952e-008,0.6156
4.02337e-008,0.5301
4.02723e-008,0.4667
4.03109e-008,0.4243
4.03494e-008,0.3904
4.03880e-008,0.3694
4.04266e-008,0.3774
4.04652e-008,0.4253
4.05037e-008,0.5096
4.05423e-008,0.6236
4.05809e-008,0.7415
4.06195e-008,0.8375
4.06581e-008,0.9102
4.06966e-008,0.9733
4.07352e-008,1.0271
4.07738e-008,1.0663
4.08123e-008,1.1063
4.08509e-008,1.1454
4.08895e-008,1.1652
4.09281e-008,1.1495
4.09667e-008,1.0975
4.10052e-008,1.0046
4.10438e-008,0.8843
4.10824e-008,0.7624
4.11209e-008,0.6540
4.11595e-008,0.5600
4.11981e-008,0.4848
4.12367e-008,0.4346
