.HEADER
..NAMES
Time,V U5.P7
.DATA
2.60759e-008,0.8415
2.61126e-008,0.7205
2.61493e-008,0.5999
2.61859e-008,0.5060
2.62226e-008,0.4557
2.62593e-008,0.4472
2.62960e-008,0.4651
2.63326e-008,0.4889
2.63693e-008,0.5015
2.64060e-008,0.4966
2.64427e-008,0.4770
2.64794e-008,0.4512
2.65160e-008,0.4294
2.65527e-008,0.4182
2.65894e-008,0.4186
2.66261e-008,0.4271
2.66627e-008,0.4378
2.66994e-008,0.4459
2.67361e-008,0.4484
2.67727e-008,0.4432
2.68094e-008,0.4303
2.68461e-008,0.4127
2.68828e-008,0.3942
2.69194e-008,0.3786
2.69561e-008,0.3694
2.69928e-008,0.3672
2.70295e-008,0.3695
2.70662e-008,0.3713
2.71028e-008,0.3673
2.71395e-008,0.3552
2.71762e-008,0.3364
2.72129e-008,0.3162
2.72495e-008,0.3011
2.72862e-008,0.2957
2.73229e-008,0.3008
2.73595e-008,0.3136
2.73962e-008,0.3284
2.74329e-008,0.3395
2.74696e-008,0.3432
2.75062e-008,0.3392
2.75429e-008,0.3299
2.75796e-008,0.3194
2.76163e-008,0.3116
2.76530e-008,0.3087
2.76896e-008,0.3107
2.77263e-008,0.3174
2.77630e-008,0.3294
2.77997e-008,0.3510
2.78363e-008,0.3909
2.78730e-008,0.4565
2.79097e-008,0.5485
2.79463e-008,0.6587
2.79830e-008,0.7686
2.80197e-008,0.8601
2.80564e-008,0.9204
2.80930e-008,0.9453
2.81297e-008,0.9438
2.81664e-008,0.9320
2.82031e-008,0.9230
2.82398e-008,0.9245
2.82764e-008,0.9372
2.83131e-008,0.9562
2.83498e-008,0.9760
2.83865e-008,0.9918
2.84231e-008,1.0006
2.84598e-008,1.0028
2.84965e-008,1.0002
2.85331e-008,0.9954
2.85698e-008,0.9914
2.86065e-008,0.9910
2.86432e-008,0.9959
2.86798e-008,1.0074
2.87165e-008,1.0230
2.87532e-008,1.0353
2.87899e-008,1.0322
2.88266e-008,0.9978
2.88632e-008,0.9230
2.88999e-008,0.8153
2.89366e-008,0.6915
2.89733e-008,0.5749
2.90099e-008,0.4907
2.90466e-008,0.4513
2.90833e-008,0.4502
2.91199e-008,0.4707
2.91566e-008,0.4922
2.91933e-008,0.5004
2.92300e-008,0.4915
2.92666e-008,0.4699
2.93033e-008,0.4446
2.93400e-008,0.4253
2.93767e-008,0.4171
2.94133e-008,0.4199
2.94500e-008,0.4296
2.94867e-008,0.4404
2.95234e-008,0.4477
2.95601e-008,0.4486
2.95967e-008,0.4411
2.96334e-008,0.4281
