.HEADER
..NAMES
Time,V U2.G2
.DATA
2.49966e-008,0.3245
2.50352e-008,0.3240
2.50737e-008,0.3242
2.51123e-008,0.3246
2.51509e-008,0.3239
2.51895e-008,0.3228
2.52281e-008,0.3219
2.52666e-008,0.3215
2.53052e-008,0.3214
2.53438e-008,0.3223
2.53824e-008,0.3278
2.54209e-008,0.3451
2.54595e-008,0.3880
2.54981e-008,0.4679
2.55367e-008,0.5784
2.55752e-008,0.6996
2.56138e-008,0.7988
2.56524e-008,0.8783
2.56909e-008,0.9488
2.57295e-008,1.0075
2.57681e-008,1.0512
2.58067e-008,1.0849
2.58452e-008,1.1305
2.58838e-008,1.1519
2.59224e-008,1.1478
2.59610e-008,1.1207
2.59995e-008,1.0513
2.60381e-008,0.9512
2.60767e-008,0.8439
2.61153e-008,0.7323
2.61539e-008,0.6260
2.61924e-008,0.5338
2.62310e-008,0.4671
2.62696e-008,0.4234
2.63082e-008,0.3842
2.63467e-008,0.3672
2.63853e-008,0.3864
2.64239e-008,0.4385
2.64625e-008,0.5213
2.65010e-008,0.6306
2.65396e-008,0.7372
2.65782e-008,0.8226
2.66167e-008,0.8996
2.66553e-008,0.9683
2.66939e-008,1.0229
2.67325e-008,1.0611
2.67710e-008,1.0880
2.68096e-008,1.1104
2.68482e-008,1.1252
2.68868e-008,1.1329
2.69254e-008,1.1412
2.69639e-008,1.1511
2.70025e-008,1.1599
2.70411e-008,1.1680
2.70797e-008,1.1741
2.71182e-008,1.1751
2.71568e-008,1.1738
2.71954e-008,1.1741
2.72340e-008,1.1752
2.72725e-008,1.1754
2.73111e-008,1.1744
2.73497e-008,1.1742
2.73882e-008,1.1751
2.74268e-008,1.1750
2.74654e-008,1.1748
2.75040e-008,1.1758
2.75425e-008,1.1771
2.75811e-008,1.1775
2.76197e-008,1.1776
2.76583e-008,1.1773
2.76968e-008,1.1766
2.77354e-008,1.1764
2.77740e-008,1.1767
2.78126e-008,1.1771
2.78512e-008,1.1770
2.78897e-008,1.1768
2.79283e-008,1.1769
2.79669e-008,1.1771
2.80055e-008,1.1770
2.80440e-008,1.1770
2.80826e-008,1.1772
2.81212e-008,1.1773
2.81598e-008,1.1771
2.81983e-008,1.1770
2.82369e-008,1.1770
2.82755e-008,1.1769
2.83140e-008,1.1770
2.83526e-008,1.1771
2.83912e-008,1.1771
2.84298e-008,1.1770
2.84683e-008,1.1770
2.85069e-008,1.1771
2.85455e-008,1.1771
2.85841e-008,1.1770
2.86226e-008,1.1771
2.86612e-008,1.1771
2.86998e-008,1.1771
2.87384e-008,1.1771
2.87770e-008,1.1770
2.88155e-008,1.1771
2.88541e-008,1.1771
2.88927e-008,1.1771
2.89313e-008,1.1771
2.89698e-008,1.1771
2.90084e-008,1.1771
2.90470e-008,1.1771
2.90855e-008,1.1774
2.91241e-008,1.1804
2.91627e-008,1.1837
2.92013e-008,1.1756
2.92398e-008,1.1387
2.92784e-008,1.0561
2.93170e-008,0.9431
2.93556e-008,0.8314
2.93941e-008,0.7219
2.94327e-008,0.6186
2.94713e-008,0.5316
2.95099e-008,0.4673
2.95485e-008,0.4248
2.95870e-008,0.3946
2.96256e-008,0.3726
2.96642e-008,0.3594
2.97028e-008,0.3526
2.97413e-008,0.3484
2.97799e-008,0.3438
2.98185e-008,0.3359
2.98570e-008,0.3256
2.98956e-008,0.3194
2.99342e-008,0.3181
2.99728e-008,0.3178
3.00113e-008,0.3179
3.00499e-008,0.3191
3.00885e-008,0.3218
3.01271e-008,0.3241
3.01657e-008,0.3244
3.02042e-008,0.3241
3.02428e-008,0.3243
3.02814e-008,0.3244
3.03199e-008,0.3240
3.03585e-008,0.3228
3.03971e-008,0.3215
3.04357e-008,0.3210
3.04743e-008,0.3216
3.05128e-008,0.3235
3.05514e-008,0.3310
3.05900e-008,0.3530
3.06285e-008,0.4050
3.06671e-008,0.4940
3.07057e-008,0.6098
3.07443e-008,0.7283
3.07829e-008,0.8205
3.08214e-008,0.8975
3.08600e-008,0.9653
3.08986e-008,1.0204
3.09372e-008,1.0601
3.09757e-008,1.0867
3.10143e-008,1.1058
3.10529e-008,1.1200
3.10914e-008,1.1296
3.11300e-008,1.1372
3.11686e-008,1.1454
3.12072e-008,1.1554
3.12458e-008,1.1657
3.12843e-008,1.1737
3.13229e-008,1.1756
3.13615e-008,1.1735
3.14000e-008,1.1730
3.14386e-008,1.1752
3.14772e-008,1.1814
3.15158e-008,1.1826
3.15544e-008,1.1687
3.15929e-008,1.1231
3.16315e-008,1.0319
3.16701e-008,0.9177
3.17087e-008,0.8075
3.17472e-008,0.6991
3.17858e-008,0.5992
3.18244e-008,0.5169
3.18629e-008,0.4572
3.19015e-008,0.4171
3.19401e-008,0.3883
3.19787e-008,0.3685
3.20173e-008,0.3577
3.20558e-008,0.3518
3.20944e-008,0.3472
3.21330e-008,0.3421
3.21715e-008,0.3336
3.22101e-008,0.3238
3.22487e-008,0.3189
3.22873e-008,0.3181
3.23259e-008,0.3179
3.23644e-008,0.3181
3.24030e-008,0.3195
3.24416e-008,0.3222
3.24801e-008,0.3241
3.25187e-008,0.3242
3.25573e-008,0.3242
3.25959e-008,0.3245
3.26344e-008,0.3243
3.26730e-008,0.3236
3.27116e-008,0.3224
3.27502e-008,0.3213
3.27888e-008,0.3210
3.28273e-008,0.3217
3.28659e-008,0.3223
3.29045e-008,0.3224
3.29430e-008,0.3222
3.29816e-008,0.3223
3.30202e-008,0.3225
3.30588e-008,0.3223
3.30974e-008,0.3219
3.31359e-008,0.3219
3.31745e-008,0.3220
3.32131e-008,0.3220
3.32516e-008,0.3218
3.32902e-008,0.3218
3.33288e-008,0.3232
3.33674e-008,0.3311
3.34060e-008,0.3546
3.34445e-008,0.4085
3.34831e-008,0.4991
3.35217e-008,0.6164
3.35603e-008,0.7345
3.35988e-008,0.8254
3.36374e-008,0.9015
3.36760e-008,0.9686
3.37145e-008,1.0231
3.37531e-008,1.0622
3.37917e-008,1.0978
3.38303e-008,1.1418
3.38689e-008,1.1519
3.39074e-008,1.1430
3.39460e-008,1.1037
3.39846e-008,1.0220
3.40231e-008,0.9182
3.40617e-008,0.8094
3.41003e-008,0.6982
3.41389e-008,0.5953
3.41775e-008,0.5099
3.42160e-008,0.4516
3.42546e-008,0.4112
3.42932e-008,0.3750
3.43318e-008,0.3697
3.43703e-008,0.3990
3.44089e-008,0.4612
3.44475e-008,0.5533
3.44860e-008,0.6660
3.45246e-008,0.7655
3.45632e-008,0.8472
3.46018e-008,0.9221
3.46404e-008,0.9871
3.46789e-008,1.0365
3.47175e-008,1.0739
3.47561e-008,1.1219
3.47946e-008,1.1488
3.48332e-008,1.1482
3.48718e-008,1.1225
3.49104e-008,1.0561
3.49490e-008,0.9564
3.49875e-008,0.8468
3.50261e-008,0.7341
3.50647e-008,0.6286
3.51032e-008,0.5369
3.51418e-008,0.4695
3.51804e-008,0.4262
3.52190e-008,0.3954
3.52575e-008,0.3716
3.52961e-008,0.3590
3.53347e-008,0.3541
3.53733e-008,0.3479
3.54119e-008,0.3416
3.54504e-008,0.3350
3.54890e-008,0.3270
3.55276e-008,0.3208
3.55661e-008,0.3175
3.56047e-008,0.3165
3.56433e-008,0.3169
3.56819e-008,0.3181
3.57205e-008,0.3212
3.57590e-008,0.3240
3.57976e-008,0.3243
3.58362e-008,0.3239
3.58747e-008,0.3244
3.59133e-008,0.3245
3.59519e-008,0.3236
3.59905e-008,0.3224
3.60290e-008,0.3217
3.60676e-008,0.3214
3.61062e-008,0.3215
3.61448e-008,0.3234
3.61834e-008,0.3321
3.62219e-008,0.3568
3.62605e-008,0.4126
3.62991e-008,0.5051
3.63376e-008,0.6227
3.63762e-008,0.7392
3.64148e-008,0.8288
3.64534e-008,0.9050
3.64920e-008,0.9716
3.65305e-008,1.0252
3.65691e-008,1.0634
3.66077e-008,1.0890
3.66462e-008,1.1075
3.66848e-008,1.1211
3.67234e-008,1.1303
3.67620e-008,1.1380
3.68006e-008,1.1464
3.68391e-008,1.1564
3.68777e-008,1.1667
3.69163e-008,1.1741
3.69549e-008,1.1754
3.69934e-008,1.1733
3.70320e-008,1.1730
3.70706e-008,1.1756
3.71091e-008,1.1819
3.71477e-008,1.1820
3.71863e-008,1.1659
3.72249e-008,1.1158
3.72635e-008,1.0206
3.73020e-008,0.9062
3.73406e-008,0.7964
3.73792e-008,0.6883
3.74177e-008,0.5899
3.74563e-008,0.5097
3.74949e-008,0.4523
3.75335e-008,0.4113
3.75721e-008,0.3749
3.76106e-008,0.3689
3.76492e-008,0.3951
3.76878e-008,0.4546
3.77263e-008,0.5473
3.77649e-008,0.6597
3.78035e-008,0.7588
3.78421e-008,0.8396
3.78806e-008,0.9159
3.79192e-008,0.9837
3.79578e-008,1.0347
3.79964e-008,1.0719
3.80350e-008,1.1189
3.80735e-008,1.1487
3.81121e-008,1.1490
3.81507e-008,1.1269
3.81892e-008,1.0653
3.82278e-008,0.9676
3.82664e-008,0.8588
3.83050e-008,0.7463
3.83436e-008,0.6390
3.83821e-008,0.5450
3.84207e-008,0.4749
3.84593e-008,0.4294
3.84978e-008,0.3897
3.85364e-008,0.3683
3.85750e-008,0.3827
3.86136e-008,0.4305
3.86521e-008,0.5102
3.86907e-008,0.6171
3.87293e-008,0.7260
3.87679e-008,0.8133
3.88065e-008,0.8907
3.88450e-008,0.9604
3.88836e-008,1.0172
3.89222e-008,1.0581
3.89607e-008,1.1015
3.89993e-008,1.1425
3.90379e-008,1.1505
3.90765e-008,1.1378
3.91151e-008,1.0895
3.91536e-008,1.0009
3.91922e-008,0.8938
3.92308e-008,0.7817
3.92693e-008,0.6720
3.93079e-008,0.5735
3.93465e-008,0.4947
3.93851e-008,0.4421
3.94237e-008,0.4029
3.94622e-008,0.3715
3.95008e-008,0.3748
3.95394e-008,0.4120
3.95780e-008,0.4820
3.96165e-008,0.5813
3.96551e-008,0.6936
3.96937e-008,0.7871
3.97322e-008,0.8668
3.97708e-008,0.9394
3.98094e-008,1.0009
3.98480e-008,1.0465
3.98866e-008,1.0774
3.99251e-008,1.1014
3.99637e-008,1.1200
4.00023e-008,1.1300
4.00408e-008,1.1373
4.00794e-008,1.1467
4.01180e-008,1.1562
4.01566e-008,1.1647
4.01952e-008,1.1721
4.02337e-008,1.1753
4.02723e-008,1.1743
4.03109e-008,1.1737
4.03494e-008,1.1747
4.03880e-008,1.1756
4.04266e-008,1.1750
4.04652e-008,1.1742
4.05037e-008,1.1747
4.05423e-008,1.1752
4.05809e-008,1.1748
4.06195e-008,1.1753
4.06581e-008,1.1767
4.06966e-008,1.1774
4.07352e-008,1.1776
4.07738e-008,1.1775
4.08123e-008,1.1769
4.08509e-008,1.1764
4.08895e-008,1.1766
4.09281e-008,1.1770
4.09667e-008,1.1771
4.10052e-008,1.1769
4.10438e-008,1.1768
4.10824e-008,1.1771
4.11209e-008,1.1771
4.11595e-008,1.1770
4.11981e-008,1.1771
4.12367e-008,1.1773
