.HEADER
..NAMES
Time,V U3.R2
.DATA
2.08314e-008,1.0916
2.08681e-008,1.0911
2.09047e-008,1.0907
2.09414e-008,1.0906
2.09781e-008,1.0907
2.10148e-008,1.0911
2.10515e-008,1.0916
2.10881e-008,1.0919
2.11248e-008,1.0921
2.11615e-008,1.0920
2.11982e-008,1.0917
2.12348e-008,1.0913
2.12715e-008,1.0910
2.13082e-008,1.0909
2.13448e-008,1.0913
2.13815e-008,1.0923
2.14182e-008,1.0935
2.14549e-008,1.0931
2.14915e-008,1.0876
2.15282e-008,1.0720
2.15649e-008,1.0418
2.16016e-008,0.9948
2.16383e-008,0.9302
2.16749e-008,0.8487
2.17116e-008,0.7557
2.17483e-008,0.6618
2.17850e-008,0.5781
2.18216e-008,0.5123
2.18583e-008,0.4686
2.18950e-008,0.4478
2.19316e-008,0.4457
2.19683e-008,0.4548
2.20050e-008,0.4660
2.20417e-008,0.4711
2.20783e-008,0.4646
2.21150e-008,0.4461
2.21517e-008,0.4198
2.21884e-008,0.3915
2.22251e-008,0.3666
2.22617e-008,0.3491
2.22984e-008,0.3410
2.23351e-008,0.3414
2.23718e-008,0.3465
2.24084e-008,0.3520
2.24451e-008,0.3545
2.24818e-008,0.3524
2.25184e-008,0.3461
2.25551e-008,0.3379
2.25918e-008,0.3310
2.26285e-008,0.3275
2.26651e-008,0.3282
2.27018e-008,0.3323
2.27385e-008,0.3374
2.27752e-008,0.3410
2.28119e-008,0.3413
2.28485e-008,0.3378
2.28852e-008,0.3310
2.29219e-008,0.3230
2.29586e-008,0.3160
2.29952e-008,0.3121
2.30319e-008,0.3122
2.30686e-008,0.3156
2.31052e-008,0.3207
2.31419e-008,0.3254
2.31786e-008,0.3282
2.32153e-008,0.3285
2.32519e-008,0.3275
2.32886e-008,0.3283
2.33253e-008,0.3366
2.33620e-008,0.3585
2.33987e-008,0.3983
2.34353e-008,0.4569
2.34720e-008,0.5320
2.35087e-008,0.6190
2.35454e-008,0.7106
2.35820e-008,0.7965
2.36187e-008,0.8661
2.36554e-008,0.9136
2.36920e-008,0.9399
2.37287e-008,0.9495
2.37654e-008,0.9482
2.38021e-008,0.9429
2.38387e-008,0.9409
2.38754e-008,0.9478
2.39121e-008,0.9653
2.39488e-008,0.9908
2.39855e-008,1.0187
2.40221e-008,1.0430
2.40588e-008,1.0604
2.40955e-008,1.0699
2.41322e-008,1.0726
2.41688e-008,1.0703
2.42055e-008,1.0665
2.42422e-008,1.0648
2.42788e-008,1.0671
2.43155e-008,1.0732
2.43522e-008,1.0812
2.43889e-008,1.0885
2.44255e-008,1.0928
2.44622e-008,1.0932
2.44989e-008,1.0903
2.45356e-008,1.0858
2.45723e-008,1.0822
2.46089e-008,1.0813
2.46456e-008,1.0839
2.46823e-008,1.0896
2.47190e-008,1.0968
2.47556e-008,1.1036
2.47923e-008,1.1083
2.48290e-008,1.1096
2.48657e-008,1.1075
2.49023e-008,1.1033
2.49390e-008,1.0988
2.49757e-008,1.0956
2.50123e-008,1.0949
2.50490e-008,1.0968
2.50857e-008,1.1004
2.51224e-008,1.1046
2.51590e-008,1.1079
2.51957e-008,1.1077
2.52324e-008,1.1004
2.52691e-008,1.0813
2.53058e-008,1.0470
2.53424e-008,0.9966
2.53791e-008,0.9306
2.54158e-008,0.8497
2.54525e-008,0.7584
2.54891e-008,0.6666
2.55258e-008,0.5851
2.55625e-008,0.5210
2.55991e-008,0.4775
2.56358e-008,0.4549
2.56725e-008,0.4504
2.57092e-008,0.4572
2.57458e-008,0.4667
2.57825e-008,0.4708
2.58192e-008,0.4641
2.58559e-008,0.4459
2.58926e-008,0.4203
2.59292e-008,0.3931
2.59659e-008,0.3689
2.60026e-008,0.3513
2.60393e-008,0.3427
2.60759e-008,0.3436
2.61126e-008,0.3529
2.61493e-008,0.3704
2.61859e-008,0.3982
2.62226e-008,0.4383
2.62593e-008,0.4920
2.62960e-008,0.5592
2.63326e-008,0.6394
2.63693e-008,0.7286
2.64060e-008,0.8163
2.64427e-008,0.8897
2.64794e-008,0.9408
2.65160e-008,0.9683
2.65527e-008,0.9750
2.65894e-008,0.9659
2.66261e-008,0.9493
2.66627e-008,0.9357
2.66994e-008,0.9338
2.67361e-008,0.9475
2.67727e-008,0.9747
2.68094e-008,1.0079
2.68461e-008,1.0384
2.68828e-008,1.0605
2.69194e-008,1.0719
2.69561e-008,1.0727
2.69928e-008,1.0658
2.70295e-008,1.0567
2.70662e-008,1.0508
2.71028e-008,1.0489
2.71395e-008,1.0460
2.71762e-008,1.0342
2.72129e-008,1.0070
2.72495e-008,0.9590
2.72862e-008,0.8868
2.73229e-008,0.7930
2.73595e-008,0.6897
2.73962e-008,0.5929
2.74329e-008,0.5153
2.74696e-008,0.4637
2.75062e-008,0.4400
2.75429e-008,0.4409
2.75796e-008,0.4573
2.76163e-008,0.4770
2.76530e-008,0.4888
2.76896e-008,0.4854
2.77263e-008,0.4658
2.77630e-008,0.4357
2.77997e-008,0.4033
2.78363e-008,0.3755
2.78730e-008,0.3568
2.79097e-008,0.3493
2.79463e-008,0.3518
2.79830e-008,0.3592
2.80197e-008,0.3653
2.80564e-008,0.3661
2.80930e-008,0.3601
2.81297e-008,0.3488
2.81664e-008,0.3356
2.82031e-008,0.3248
2.82398e-008,0.3197
2.82764e-008,0.3214
2.83131e-008,0.3283
2.83498e-008,0.3372
2.83865e-008,0.3444
2.84231e-008,0.3470
2.84598e-008,0.3439
2.84965e-008,0.3363
2.85331e-008,0.3264
2.85698e-008,0.3172
2.86065e-008,0.3113
2.86432e-008,0.3100
2.86798e-008,0.3130
2.87165e-008,0.3186
2.87532e-008,0.3244
2.87899e-008,0.3283
2.88266e-008,0.3291
2.88632e-008,0.3276
2.88999e-008,0.3264
2.89366e-008,0.3304
2.89733e-008,0.3457
2.90099e-008,0.3776
2.90466e-008,0.4284
2.90833e-008,0.4968
