.HEADER
..NAMES
Time,V U2.N3
.DATA
2.75796e-008,0.3260
2.76163e-008,0.3300
2.76530e-008,0.3328
2.76896e-008,0.3332
2.77263e-008,0.3304
2.77630e-008,0.3247
2.77997e-008,0.3177
2.78363e-008,0.3118
2.78730e-008,0.3087
2.79097e-008,0.3093
2.79463e-008,0.3132
2.79830e-008,0.3192
2.80197e-008,0.3261
2.80564e-008,0.3334
2.80930e-008,0.3424
2.81297e-008,0.3561
2.81664e-008,0.3782
2.82031e-008,0.4125
2.82398e-008,0.4618
2.82764e-008,0.5274
2.83131e-008,0.6084
2.83498e-008,0.7003
2.83865e-008,0.7953
2.84231e-008,0.8842
2.84598e-008,0.9589
2.84965e-008,1.0139
2.85331e-008,1.0470
2.85698e-008,1.0603
2.86065e-008,1.0585
2.86432e-008,1.0479
2.86798e-008,1.0354
2.87165e-008,1.0275
2.87532e-008,1.0283
2.87899e-008,1.0382
2.88266e-008,1.0544
2.88632e-008,1.0720
2.88999e-008,1.0869
2.89366e-008,1.0964
2.89733e-008,1.0999
2.90099e-008,1.0979
2.90466e-008,1.0920
2.90833e-008,1.0849
2.91199e-008,1.0793
2.91566e-008,1.0775
2.91933e-008,1.0799
2.92300e-008,1.0854
2.92666e-008,1.0916
2.93033e-008,1.0963
2.93400e-008,1.0985
2.93767e-008,1.0984
2.94133e-008,1.0969
2.94500e-008,1.0952
2.94867e-008,1.0942
2.95234e-008,1.0947
2.95601e-008,1.0971
2.95967e-008,1.1010
2.96334e-008,1.1056
2.96701e-008,1.1092
2.97068e-008,1.1106
2.97434e-008,1.1094
2.97801e-008,1.1059
2.98168e-008,1.1016
2.98534e-008,1.0976
2.98901e-008,1.0949
2.99268e-008,1.0941
2.99635e-008,1.0944
3.00002e-008,1.0936
3.00368e-008,1.0880
3.00735e-008,1.0730
3.01102e-008,1.0448
3.01469e-008,1.0005
3.01835e-008,0.9381
3.02202e-008,0.8582
3.02569e-008,0.7652
3.02935e-008,0.6660
3.03302e-008,0.5688
3.03669e-008,0.4826
3.04036e-008,0.4144
3.04403e-008,0.3678
3.04769e-008,0.3432
3.05136e-008,0.3380
3.05503e-008,0.3468
3.05869e-008,0.3627
3.06236e-008,0.3781
3.06603e-008,0.3870
3.06970e-008,0.3865
3.07336e-008,0.3777
3.07703e-008,0.3636
3.08070e-008,0.3483
3.08437e-008,0.3356
3.08804e-008,0.3293
3.09170e-008,0.3330
3.09537e-008,0.3500
3.09904e-008,0.3824
3.10270e-008,0.4306
3.10637e-008,0.4931
3.11004e-008,0.5685
3.11371e-008,0.6549
3.11738e-008,0.7479
3.12104e-008,0.8405
3.12471e-008,0.9249
3.12838e-008,0.9939
3.13205e-008,1.0421
3.13571e-008,1.0682
3.13938e-008,1.0743
3.14305e-008,1.0652
3.14671e-008,1.0468
3.15038e-008,1.0269
3.15405e-008,1.0129
3.15772e-008,1.0098
3.16139e-008,1.0186
3.16505e-008,1.0360
3.16872e-008,1.0566
3.17239e-008,1.0753
3.17605e-008,1.0889
3.17972e-008,1.0961
3.18339e-008,1.0966
3.18706e-008,1.0903
3.19072e-008,1.0769
3.19439e-008,1.0562
3.19806e-008,1.0276
3.20173e-008,0.9896
3.20540e-008,0.9380
3.20906e-008,0.8689
3.21273e-008,0.7829
3.21640e-008,0.6853
3.22006e-008,0.5845
3.22373e-008,0.4910
3.22740e-008,0.4143
3.23107e-008,0.3604
3.23474e-008,0.3317
3.23840e-008,0.3272
3.24207e-008,0.3419
3.24574e-008,0.3671
3.24941e-008,0.3924
3.25307e-008,0.4085
3.25674e-008,0.4108
3.26041e-008,0.4002
3.26407e-008,0.3813
3.26774e-008,0.3595
3.27141e-008,0.3401
3.27508e-008,0.3275
3.27875e-008,0.3261
3.28241e-008,0.3393
3.28608e-008,0.3690
3.28975e-008,0.4146
3.29341e-008,0.4739
3.29708e-008,0.5450
3.30075e-008,0.6268
3.30442e-008,0.7165
3.30808e-008,0.8087
3.31175e-008,0.8961
3.31542e-008,0.9713
3.31909e-008,1.0279
3.32276e-008,1.0630
3.32642e-008,1.0774
3.33009e-008,1.0744
3.33376e-008,1.0588
3.33742e-008,1.0379
3.34109e-008,1.0195
3.34476e-008,1.0105
3.34843e-008,1.0135
3.35210e-008,1.0270
3.35576e-008,1.0462
3.35943e-008,1.0660
3.36310e-008,1.0827
3.36677e-008,1.0940
3.37043e-008,1.0986
3.37410e-008,1.0957
3.37777e-008,1.0844
3.38143e-008,1.0643
3.38510e-008,1.0354
3.38877e-008,0.9970
3.39244e-008,0.9458
3.39611e-008,0.8781
3.39977e-008,0.7941
3.40344e-008,0.6985
3.40711e-008,0.5989
3.41077e-008,0.5051
3.41444e-008,0.4265
3.41811e-008,0.3693
3.42178e-008,0.3363
3.42545e-008,0.3272
3.42911e-008,0.3381
3.43278e-008,0.3612
3.43645e-008,0.3864
3.44012e-008,0.4045
3.44378e-008,0.4099
3.44745e-008,0.4024
3.45112e-008,0.3858
3.45478e-008,0.3653
3.45845e-008,0.3455
3.46212e-008,0.3312
3.46579e-008,0.3269
3.46946e-008,0.3364
3.47312e-008,0.3624
3.47679e-008,0.4050
3.48046e-008,0.4621
3.48412e-008,0.5317
3.48779e-008,0.6125
3.49146e-008,0.7021
3.49513e-008,0.7949
3.49879e-008,0.8837
3.50246e-008,0.9609
3.50613e-008,1.0201
3.50980e-008,1.0580
3.51347e-008,1.0752
3.51713e-008,1.0746
3.52080e-008,1.0610
3.52447e-008,1.0410
3.52813e-008,1.0225
3.53180e-008,1.0123
3.53547e-008,1.0137
3.53914e-008,1.0257
3.54281e-008,1.0437
3.54647e-008,1.0629
3.55014e-008,1.0792
3.55381e-008,1.0905
3.55748e-008,1.0956
3.56114e-008,1.0946
3.56481e-008,1.0893
3.56848e-008,1.0829
3.57214e-008,1.0787
3.57581e-008,1.0789
3.57948e-008,1.0833
3.58315e-008,1.0899
3.58682e-008,1.0961
3.59048e-008,1.1003
3.59415e-008,1.1022
3.59782e-008,1.1021
3.60148e-008,1.1005
3.60515e-008,1.0981
3.60882e-008,1.0958
3.61249e-008,1.0949
3.61615e-008,1.0961
3.61982e-008,1.0993
3.62349e-008,1.1031
3.62716e-008,1.1063
3.63083e-008,1.1077
3.63449e-008,1.1072
3.63816e-008,1.1055
3.64183e-008,1.1029
3.64549e-008,1.1000
3.64916e-008,1.0971
3.65283e-008,1.0944
3.65650e-008,1.0923
3.66017e-008,1.0909
3.66383e-008,1.0899
3.66750e-008,1.0890
3.67117e-008,1.0881
3.67484e-008,1.0872
3.67850e-008,1.0865
3.68217e-008,1.0863
3.68584e-008,1.0868
3.68950e-008,1.0881
3.69317e-008,1.0898
3.69684e-008,1.0917
3.70051e-008,1.0935
3.70418e-008,1.0947
3.70784e-008,1.0952
3.71151e-008,1.0949
3.71518e-008,1.0939
3.71884e-008,1.0923
3.72251e-008,1.0905
3.72618e-008,1.0889
3.72985e-008,1.0877
3.73351e-008,1.0874
3.73718e-008,1.0881
3.74085e-008,1.0897
3.74452e-008,1.0918
3.74819e-008,1.0932
3.75185e-008,1.0915
3.75552e-008,1.0834
3.75919e-008,1.0651
3.76285e-008,1.0334
3.76652e-008,0.9857
3.77019e-008,0.9202
3.77386e-008,0.8381
3.77753e-008,0.7437
3.78119e-008,0.6439
3.78486e-008,0.5472
3.78853e-008,0.4626
