.HEADER
..NAMES
Time,V U3.R3
.DATA
2.16749e-008,0.8568
2.17116e-008,0.7780
2.17483e-008,0.6887
2.17850e-008,0.5974
2.18216e-008,0.5132
2.18583e-008,0.4462
2.18950e-008,0.4053
2.19316e-008,0.3928
2.19683e-008,0.4042
2.20050e-008,0.4295
2.20417e-008,0.4561
2.20783e-008,0.4723
2.21150e-008,0.4714
2.21517e-008,0.4519
2.21884e-008,0.4170
2.22251e-008,0.3745
2.22617e-008,0.3350
2.22984e-008,0.3077
2.23351e-008,0.2975
2.23718e-008,0.3047
2.24084e-008,0.3247
2.24451e-008,0.3495
2.24818e-008,0.3701
2.25184e-008,0.3798
2.25551e-008,0.3763
2.25918e-008,0.3616
2.26285e-008,0.3408
2.26651e-008,0.3206
2.27018e-008,0.3068
2.27385e-008,0.3026
2.27752e-008,0.3083
2.28119e-008,0.3210
2.28485e-008,0.3358
2.28852e-008,0.3474
2.29219e-008,0.3519
2.29586e-008,0.3478
2.29952e-008,0.3366
2.30319e-008,0.3220
2.30686e-008,0.3086
2.31052e-008,0.3006
2.31419e-008,0.2999
2.31786e-008,0.3063
2.32153e-008,0.3172
2.32519e-008,0.3291
2.32886e-008,0.3384
2.33253e-008,0.3429
2.33620e-008,0.3420
2.33987e-008,0.3368
2.34353e-008,0.3295
2.34720e-008,0.3228
2.35087e-008,0.3191
2.35454e-008,0.3197
2.35820e-008,0.3243
2.36187e-008,0.3313
2.36554e-008,0.3384
2.36920e-008,0.3432
2.37287e-008,0.3443
2.37654e-008,0.3416
2.38021e-008,0.3361
2.38387e-008,0.3295
2.38754e-008,0.3238
2.39121e-008,0.3205
2.39488e-008,0.3202
2.39855e-008,0.3228
2.40221e-008,0.3275
2.40588e-008,0.3329
2.40955e-008,0.3374
2.41322e-008,0.3398
2.41688e-008,0.3398
2.42055e-008,0.3374
2.42422e-008,0.3336
2.42788e-008,0.3296
2.43155e-008,0.3264
2.43522e-008,0.3247
2.43889e-008,0.3248
2.44255e-008,0.3265
2.44622e-008,0.3290
2.44989e-008,0.3318
2.45356e-008,0.3341
2.45723e-008,0.3354
2.46089e-008,0.3355
2.46456e-008,0.3345
2.46823e-008,0.3327
2.47190e-008,0.3307
2.47556e-008,0.3290
2.47923e-008,0.3280
2.48290e-008,0.3279
2.48657e-008,0.3287
2.49023e-008,0.3300
2.49390e-008,0.3315
2.49757e-008,0.3328
2.50123e-008,0.3335
2.50490e-008,0.3335
2.50857e-008,0.3328
2.51224e-008,0.3316
2.51590e-008,0.3301
2.51957e-008,0.3289
2.52324e-008,0.3282
2.52691e-008,0.3283
2.53058e-008,0.3290
2.53424e-008,0.3303
2.53791e-008,0.3316
2.54158e-008,0.3327
2.54525e-008,0.3332
2.54891e-008,0.3329
2.55258e-008,0.3321
2.55625e-008,0.3308
2.55991e-008,0.3296
2.56358e-008,0.3287
2.56725e-008,0.3285
2.57092e-008,0.3290
2.57458e-008,0.3300
2.57825e-008,0.3312
2.58192e-008,0.3323
2.58559e-008,0.3328
2.58926e-008,0.3328
2.59292e-008,0.3320
2.59659e-008,0.3309
2.60026e-008,0.3298
2.60393e-008,0.3289
2.60759e-008,0.3286
2.61126e-008,0.3290
2.61493e-008,0.3299
2.61859e-008,0.3310
2.62226e-008,0.3320
2.62593e-008,0.3326
2.62960e-008,0.3326
2.63326e-008,0.3320
2.63693e-008,0.3311
2.64060e-008,0.3300
2.64427e-008,0.3292
2.64794e-008,0.3289
2.65160e-008,0.3291
