.HEADER
..NAMES
Time,V U5.T3
.DATA
2.68461e-008,0.4282
2.68828e-008,0.4386
2.69194e-008,0.4749
2.69561e-008,0.5450
2.69928e-008,0.6440
2.70295e-008,0.7525
2.70662e-008,0.8489
2.71028e-008,0.9189
2.71395e-008,0.9553
2.71762e-008,0.9591
2.72129e-008,0.9433
2.72495e-008,0.9259
2.72862e-008,0.9204
2.73229e-008,0.9303
2.73595e-008,0.9508
2.73962e-008,0.9728
2.74329e-008,0.9881
2.74696e-008,0.9930
2.75062e-008,0.9885
2.75429e-008,0.9787
2.75796e-008,0.9691
2.76163e-008,0.9641
2.76530e-008,0.9653
2.76896e-008,0.9724
2.77263e-008,0.9840
2.77630e-008,0.9978
2.77997e-008,1.0107
2.78363e-008,1.0196
2.78730e-008,1.0238
2.79097e-008,1.0253
2.79463e-008,1.0280
2.79830e-008,1.0351
2.80197e-008,1.0484
2.80564e-008,1.0668
2.80930e-008,1.0863
2.81297e-008,1.1019
2.81664e-008,1.1096
2.82031e-008,1.1083
2.82398e-008,1.0995
2.82764e-008,1.0877
2.83131e-008,1.0788
2.83498e-008,1.0771
2.83865e-008,1.0829
2.84231e-008,1.0931
2.84598e-008,1.1030
2.84965e-008,1.1093
2.85331e-008,1.1106
2.85698e-008,1.1072
2.86065e-008,1.1012
2.86432e-008,1.0952
2.86798e-008,1.0917
2.87165e-008,1.0921
2.87532e-008,1.0927
2.87899e-008,1.0843
2.88266e-008,1.0531
2.88632e-008,0.9889
2.88999e-008,0.8960
2.89366e-008,0.7871
2.89733e-008,0.6765
2.90099e-008,0.5801
2.90466e-008,0.5131
2.90833e-008,0.4793
2.91199e-008,0.4712
2.91566e-008,0.4758
2.91933e-008,0.4811
2.92300e-008,0.4791
2.92666e-008,0.4687
2.93033e-008,0.4532
2.93400e-008,0.4380
2.93767e-008,0.4279
2.94133e-008,0.4252
2.94500e-008,0.4285
2.94867e-008,0.4344
2.95234e-008,0.4392
2.95601e-008,0.4407
2.95967e-008,0.4373
2.96334e-008,0.4308
2.96701e-008,0.4281
2.97068e-008,0.4422
2.97434e-008,0.4878
2.97801e-008,0.5690
2.98168e-008,0.6754
2.98534e-008,0.7836
2.98901e-008,0.8735
2.99268e-008,0.9328
2.99635e-008,0.9571
3.00002e-008,0.9514
3.00368e-008,0.9325
3.00735e-008,0.9182
3.01102e-008,0.9192
3.01469e-008,0.9356
3.01835e-008,0.9596
3.02202e-008,0.9811
3.02569e-008,0.9929
3.02935e-008,0.9934
3.03302e-008,0.9851
3.03669e-008,0.9737
3.04036e-008,0.9645
3.04403e-008,0.9615
3.04769e-008,0.9654
3.05136e-008,0.9754
3.05503e-008,0.9893
3.05869e-008,1.0042
3.06236e-008,1.0162
3.06603e-008,1.0230
3.06970e-008,1.0249
3.07336e-008,1.0253
3.07703e-008,1.0283
3.08070e-008,1.0371
3.08437e-008,1.0527
3.08804e-008,1.0728
3.09170e-008,1.0923
3.09537e-008,1.1060
3.09904e-008,1.1107
3.10270e-008,1.1061
3.10637e-008,1.0950
3.11004e-008,1.0831
3.11371e-008,1.0762
3.11738e-008,1.0775
3.12104e-008,1.0859
3.12471e-008,1.0971
3.12838e-008,1.1065
3.13205e-008,1.1111
3.13571e-008,1.1104
3.13938e-008,1.1054
3.14305e-008,1.0986
3.14671e-008,1.0929
3.15038e-008,1.0907
3.15405e-008,1.0922
3.15772e-008,1.0921
3.16139e-008,1.0794
3.16505e-008,1.0398
3.16872e-008,0.9668
3.17239e-008,0.8678
3.17605e-008,0.7565
3.17972e-008,0.6477
3.18339e-008,0.5580
3.18706e-008,0.5004
3.19072e-008,0.4751
3.19439e-008,0.4721
3.19806e-008,0.4782
3.20173e-008,0.4820
3.20540e-008,0.4774
3.20906e-008,0.4647
3.21273e-008,0.4484
3.21640e-008,0.4341
3.22006e-008,0.4260
3.22373e-008,0.4255
3.22740e-008,0.4302
3.23107e-008,0.4363
3.23474e-008,0.4405
3.23840e-008,0.4406
3.24207e-008,0.4355
3.24574e-008,0.4259
3.24941e-008,0.4140
3.25307e-008,0.4034
3.25674e-008,0.3967
3.26041e-008,0.3943
