.HEADER
..NAMES
Time,V U4.M2
.DATA
3.27875e-008,0.3294
3.28241e-008,0.3285
3.28608e-008,0.3285
3.28975e-008,0.3293
3.29341e-008,0.3304
3.29708e-008,0.3310
3.30075e-008,0.3306
3.30442e-008,0.3292
3.30808e-008,0.3273
3.31175e-008,0.3254
3.31542e-008,0.3244
3.31909e-008,0.3246
3.32276e-008,0.3261
3.32642e-008,0.3281
3.33009e-008,0.3299
3.33376e-008,0.3309
3.33742e-008,0.3308
3.34109e-008,0.3300
3.34476e-008,0.3290
3.34843e-008,0.3284
3.35210e-008,0.3283
3.35576e-008,0.3289
3.35943e-008,0.3297
3.36310e-008,0.3303
3.36677e-008,0.3304
3.37043e-008,0.3299
3.37410e-008,0.3290
3.37777e-008,0.3283
3.38143e-008,0.3279
3.38510e-008,0.3281
3.38877e-008,0.3287
3.39244e-008,0.3295
3.39611e-008,0.3303
3.39977e-008,0.3307
3.40344e-008,0.3306
3.40711e-008,0.3301
3.41077e-008,0.3294
3.41444e-008,0.3287
3.41811e-008,0.3284
3.42178e-008,0.3285
3.42545e-008,0.3289
3.42911e-008,0.3296
3.43278e-008,0.3301
3.43645e-008,0.3304
3.44012e-008,0.3301
3.44378e-008,0.3296
3.44745e-008,0.3289
3.45112e-008,0.3284
3.45478e-008,0.3282
3.45845e-008,0.3285
3.46212e-008,0.3291
3.46579e-008,0.3297
3.46946e-008,0.3302
3.47312e-008,0.3303
3.47679e-008,0.3300
3.48046e-008,0.3295
3.48412e-008,0.3290
3.48779e-008,0.3287
3.49146e-008,0.3288
3.49513e-008,0.3291
3.49879e-008,0.3295
3.50246e-008,0.3298
3.50613e-008,0.3300
3.50980e-008,0.3299
3.51347e-008,0.3296
3.51713e-008,0.3293
3.52080e-008,0.3290
3.52447e-008,0.3289
3.52813e-008,0.3290
3.53180e-008,0.3294
3.53547e-008,0.3310
3.53914e-008,0.3361
3.54281e-008,0.3497
3.54647e-008,0.3786
3.55014e-008,0.4281
3.55381e-008,0.4993
3.55748e-008,0.5870
3.56114e-008,0.6816
3.56481e-008,0.7722
3.56848e-008,0.8477
3.57214e-008,0.9001
3.57581e-008,0.9289
3.57948e-008,0.9406
3.58315e-008,0.9432
3.58682e-008,0.9436
3.59048e-008,0.9467
3.59415e-008,0.9548
3.59782e-008,0.9658
3.60148e-008,0.9764
3.60515e-008,0.9838
3.60882e-008,0.9874
3.61249e-008,0.9891
3.61615e-008,0.9914
3.61982e-008,0.9972
3.62349e-008,1.0080
3.62716e-008,1.0242
3.63083e-008,1.0438
3.63449e-008,1.0636
3.63816e-008,1.0797
3.64183e-008,1.0890
3.64549e-008,1.0909
3.64916e-008,1.0870
3.65283e-008,1.0802
3.65650e-008,1.0743
3.66017e-008,1.0725
3.66383e-008,1.0760
3.66750e-008,1.0841
3.67117e-008,1.0938
3.67484e-008,1.1019
3.67850e-008,1.1059
3.68217e-008,1.1053
3.68584e-008,1.1015
3.68950e-008,1.0967
3.69317e-008,1.0934
3.69684e-008,1.0932
3.70051e-008,1.0962
3.70418e-008,1.1010
3.70784e-008,1.1055
3.71151e-008,1.1080
3.71518e-008,1.1078
3.71884e-008,1.1051
3.72251e-008,1.1009
3.72618e-008,1.0964
3.72985e-008,1.0930
3.73351e-008,1.0914
3.73718e-008,1.0914
3.74085e-008,1.0925
3.74452e-008,1.0936
3.74819e-008,1.0942
3.75185e-008,1.0939
3.75552e-008,1.0929
3.75919e-008,1.0916
3.76285e-008,1.0906
3.76652e-008,1.0906
3.77019e-008,1.0916
3.77386e-008,1.0933
3.77753e-008,1.0952
3.78119e-008,1.0964
3.78486e-008,1.0964
3.78853e-008,1.0954
3.79220e-008,1.0936
3.79586e-008,1.0917
3.79953e-008,1.0906
3.80320e-008,1.0903
3.80686e-008,1.0910
3.81053e-008,1.0922
3.81420e-008,1.0936
3.81787e-008,1.0951
3.82154e-008,1.0962
3.82520e-008,1.0942
3.82887e-008,1.0836
3.83254e-008,1.0562
3.83620e-008,1.0061
3.83987e-008,0.9324
3.84354e-008,0.8388
3.84721e-008,0.7341
3.85088e-008,0.6325
3.85454e-008,0.5489
3.85821e-008,0.4914
3.86188e-008,0.4610
3.86555e-008,0.4527
3.86921e-008,0.4577
3.87288e-008,0.4659
3.87655e-008,0.4696
3.88021e-008,0.4660
3.88388e-008,0.4568
3.88755e-008,0.4459
3.89122e-008,0.4369
3.89489e-008,0.4318
3.89855e-008,0.4298
3.90222e-008,0.4284
3.90589e-008,0.4242
3.90955e-008,0.4151
3.91322e-008,0.4022
3.91689e-008,0.3917
3.92056e-008,0.3950
