.HEADER
..NAMES
Time,V U4.C3
.DATA
1.80917e-008,0.8680
1.81302e-008,0.9407
1.81688e-008,1.0014
1.82074e-008,1.0467
1.82460e-008,1.0791
1.82846e-008,1.1027
1.83231e-008,1.1202
1.83617e-008,1.1354
1.84003e-008,1.1493
1.84389e-008,1.1609
1.84774e-008,1.1672
1.85160e-008,1.1669
1.85546e-008,1.1664
1.85932e-008,1.1683
1.86317e-008,1.1704
1.86703e-008,1.1712
1.87089e-008,1.1723
1.87474e-008,1.1773
1.87860e-008,1.1823
1.88246e-008,1.1773
1.88632e-008,1.1478
1.89017e-008,1.0743
1.89403e-008,0.9655
1.89789e-008,0.8539
1.90175e-008,0.7438
1.90560e-008,0.6378
1.90946e-008,0.5469
1.91332e-008,0.4777
1.91718e-008,0.4289
1.92104e-008,0.3893
1.92489e-008,0.3660
1.92875e-008,0.3755
1.93261e-008,0.4125
1.93647e-008,0.4865
1.94032e-008,0.5999
1.94418e-008,0.7241
1.94804e-008,0.8219
1.95190e-008,0.9046
1.95575e-008,0.9752
1.95961e-008,1.0309
1.96347e-008,1.0704
1.96732e-008,1.1101
1.97118e-008,1.1513
1.97504e-008,1.1606
1.97890e-008,1.1544
1.98275e-008,1.1104
1.98661e-008,1.0173
1.99047e-008,0.8981
1.99433e-008,0.7786
1.99819e-008,0.6655
2.00204e-008,0.5689
2.00590e-008,0.4928
2.00976e-008,0.4381
2.01362e-008,0.4002
2.01747e-008,0.3685
2.02133e-008,0.3666
2.02519e-008,0.3939
2.02905e-008,0.4567
2.03290e-008,0.5570
2.03676e-008,0.6819
2.04062e-008,0.7895
2.04447e-008,0.8784
2.04833e-008,0.9545
2.05219e-008,1.0153
2.05605e-008,1.0597
2.05990e-008,1.0896
2.06376e-008,1.1103
2.06762e-008,1.1269
2.07148e-008,1.1405
2.07533e-008,1.1520
2.07919e-008,1.1631
2.08305e-008,1.1699
2.08691e-008,1.1695
2.09077e-008,1.1686
2.09462e-008,1.1696
2.09848e-008,1.1708
2.10234e-008,1.1713
2.10620e-008,1.1725
2.11005e-008,1.1785
2.11391e-008,1.1824
2.11777e-008,1.1738
2.12163e-008,1.1362
2.12548e-008,1.0536
2.12934e-008,0.9421
2.13320e-008,0.8310
2.13705e-008,0.7205
2.14091e-008,0.6170
2.14477e-008,0.5304
2.14863e-008,0.4659
2.15248e-008,0.4201
2.15634e-008,0.3804
2.16020e-008,0.3659
2.16406e-008,0.3803
2.16791e-008,0.4244
2.17177e-008,0.5069
2.17563e-008,0.6269
2.17949e-008,0.7464
2.18335e-008,0.8400
2.18720e-008,0.9205
2.19106e-008,0.9882
2.19492e-008,1.0405
2.19878e-008,1.0772
2.20263e-008,1.1203
2.20649e-008,1.1552
2.21035e-008,1.1611
2.21420e-008,1.1490
2.21806e-008,1.0948
2.22192e-008,0.9931
2.22578e-008,0.8728
2.22963e-008,0.7540
2.23349e-008,0.6437
2.23735e-008,0.5512
2.24121e-008,0.4795
2.24506e-008,0.4294
2.24892e-008,0.3926
2.25278e-008,0.3655
2.25664e-008,0.3698
2.26050e-008,0.4040
2.26435e-008,0.4746
2.26821e-008,0.5824
2.27207e-008,0.7068
2.27593e-008,0.8091
2.27978e-008,0.8954
2.28364e-008,0.9686
2.28750e-008,1.0260
2.29136e-008,1.0672
2.29521e-008,1.1056
2.29907e-008,1.1487
2.30293e-008,1.1597
2.30678e-008,1.1566
2.31064e-008,1.1178
2.31450e-008,1.0290
2.31836e-008,0.9110
2.32221e-008,0.7918
2.32607e-008,0.6774
2.32993e-008,0.5783
2.33379e-008,0.4998
2.33764e-008,0.4428
2.34150e-008,0.4040
2.34536e-008,0.3705
2.34922e-008,0.3654
2.35308e-008,0.3895
2.35693e-008,0.4483
2.36079e-008,0.5444
2.36465e-008,0.6688
2.36851e-008,0.7792
2.37236e-008,0.8693
2.37622e-008,0.9469
2.38008e-008,1.0096
2.38394e-008,1.0557
2.38779e-008,1.0917
2.39165e-008,1.1384
2.39551e-008,1.1580
2.39936e-008,1.1601
2.40322e-008,1.1354
2.40708e-008,1.0620
2.41094e-008,0.9492
2.41479e-008,0.8294
2.41865e-008,0.7124
2.42251e-008,0.6075
2.42637e-008,0.5224
2.43023e-008,0.4585
2.43408e-008,0.4165
2.43794e-008,0.3887
2.44180e-008,0.3659
2.44566e-008,0.3509
2.44951e-008,0.3397
2.45337e-008,0.3275
2.45723e-008,0.3189
2.46109e-008,0.3171
2.46494e-008,0.3178
2.46880e-008,0.3193
2.47266e-008,0.3215
2.47651e-008,0.3236
2.48037e-008,0.3253
2.48423e-008,0.3268
2.48809e-008,0.3353
2.49194e-008,0.3635
2.49580e-008,0.4240
2.49966e-008,0.5191
2.50352e-008,0.6382
2.50737e-008,0.7513
2.51123e-008,0.8389
2.51509e-008,0.9152
2.51895e-008,0.9805
2.52281e-008,1.0316
2.52666e-008,1.0687
2.53052e-008,1.1122
2.53438e-008,1.1509
2.53824e-008,1.1580
2.54209e-008,1.1510
2.54595e-008,1.1019
2.54981e-008,1.0012
2.55367e-008,0.8804
2.55752e-008,0.7635
2.56138e-008,0.6537
2.56524e-008,0.5598
2.56909e-008,0.4861
2.57295e-008,0.4341
2.57681e-008,0.3970
2.58067e-008,0.3669
2.58452e-008,0.3680
2.58838e-008,0.3989
2.59224e-008,0.4651
2.59610e-008,0.5687
2.59995e-008,0.6944
2.60381e-008,0.8000
2.60767e-008,0.8873
2.61153e-008,0.9615
2.61539e-008,1.0206
2.61924e-008,1.0633
2.62310e-008,1.0920
2.62696e-008,1.1120
2.63082e-008,1.1284
2.63467e-008,1.1418
2.63853e-008,1.1531
2.64239e-008,1.1641
2.64625e-008,1.1703
2.65010e-008,1.1695
2.65396e-008,1.1685
2.65782e-008,1.1697
2.66167e-008,1.1708
2.66553e-008,1.1714
2.66939e-008,1.1720
2.67325e-008,1.1730
2.67710e-008,1.1742
2.68096e-008,1.1752
2.68482e-008,1.1762
2.68868e-008,1.1770
2.69254e-008,1.1767
2.69639e-008,1.1761
2.70025e-008,1.1767
2.70411e-008,1.1776
2.70797e-008,1.1778
2.71182e-008,1.1779
2.71568e-008,1.1783
2.71954e-008,1.1815
2.72340e-008,1.1845
2.72725e-008,1.1765
2.73111e-008,1.1405
2.73497e-008,1.0600
2.73882e-008,0.9500
2.74268e-008,0.8396
2.74654e-008,0.7285
2.75040e-008,0.6233
2.75425e-008,0.5351
2.75811e-008,0.4693
2.76197e-008,0.4226
2.76583e-008,0.3828
2.76968e-008,0.3658
2.77354e-008,0.3791
2.77740e-008,0.4213
2.78126e-008,0.5015
2.78512e-008,0.6199
2.78897e-008,0.7407
2.79283e-008,0.8349
2.79669e-008,0.9160
2.80055e-008,0.9847
2.80440e-008,1.0380
2.80826e-008,1.0747
2.81212e-008,1.0997
2.81598e-008,1.1191
2.81983e-008,1.1341
2.82369e-008,1.1458
2.82755e-008,1.1573
2.83140e-008,1.1677
2.83526e-008,1.1704
2.83912e-008,1.1684
2.84298e-008,1.1686
2.84683e-008,1.1703
2.85069e-008,1.1712
2.85455e-008,1.1716
2.85841e-008,1.1725
2.86226e-008,1.1737
2.86612e-008,1.1746
2.86998e-008,1.1754
2.87384e-008,1.1767
2.87770e-008,1.1772
2.88155e-008,1.1763
2.88541e-008,1.1761
2.88927e-008,1.1772
2.89313e-008,1.1778
2.89698e-008,1.1779
2.90084e-008,1.1780
2.90470e-008,1.1791
2.90855e-008,1.1831
2.91241e-008,1.1836
2.91627e-008,1.1677
2.92013e-008,1.1163
2.92398e-008,1.0211
2.92784e-008,0.9089
2.93170e-008,0.7989
2.93556e-008,0.6885
2.93941e-008,0.5884
2.94327e-008,0.5083
2.94713e-008,0.4503
2.95099e-008,0.4103
2.95485e-008,0.3830
2.95870e-008,0.3640
2.96256e-008,0.3498
2.96642e-008,0.3363
2.97028e-008,0.3248
2.97413e-008,0.3201
2.97799e-008,0.3197
2.98185e-008,0.3193
2.98570e-008,0.3198
2.98956e-008,0.3219
2.99342e-008,0.3239
2.99728e-008,0.3250
3.00113e-008,0.3280
3.00499e-008,0.3409
3.00885e-008,0.3758
3.01271e-008,0.4454
3.01657e-008,0.5486
3.02042e-008,0.6703
3.02428e-008,0.7757
3.02814e-008,0.8592
3.03199e-008,0.9331
3.03585e-008,0.9953
3.03971e-008,1.0423
3.04357e-008,1.0759
3.04743e-008,1.1005
3.05128e-008,1.1185
3.05514e-008,1.1338
3.05900e-008,1.1478
3.06285e-008,1.1598
3.06671e-008,1.1669
3.07057e-008,1.1671
3.07443e-008,1.1663
3.07829e-008,1.1681
3.08214e-008,1.1702
3.08600e-008,1.1712
3.08986e-008,1.1722
3.09372e-008,1.1766
3.09757e-008,1.1821
3.10143e-008,1.1787
3.10529e-008,1.1530
3.10914e-008,1.0848
3.11300e-008,0.9782
3.11686e-008,0.8660
3.12072e-008,0.7561
3.12458e-008,0.6490
3.12843e-008,0.5561
3.13229e-008,0.4843
3.13615e-008,0.4336
3.14000e-008,0.3991
3.14386e-008,0.3752
3.14772e-008,0.3583
3.15158e-008,0.3448
3.15544e-008,0.3314
3.15929e-008,0.3219
3.16315e-008,0.3196
3.16701e-008,0.3196
3.17087e-008,0.3194
3.17472e-008,0.3205
3.17858e-008,0.3226
3.18244e-008,0.3244
3.18629e-008,0.3250
3.19015e-008,0.3248
3.19401e-008,0.3242
3.19787e-008,0.3232
3.20173e-008,0.3220
3.20558e-008,0.3220
3.20944e-008,0.3227
3.21330e-008,0.3227
3.21715e-008,0.3219
3.22101e-008,0.3216
3.22487e-008,0.3215
3.22873e-008,0.3213
3.23259e-008,0.3215
3.23644e-008,0.3263
3.24030e-008,0.3429
3.24416e-008,0.3847
3.24801e-008,0.4628
3.25187e-008,0.5712
3.25573e-008,0.6916
3.25959e-008,0.7911
3.26344e-008,0.8733
3.26730e-008,0.9458
3.27116e-008,1.0055
3.27502e-008,1.0497
3.27888e-008,1.0865
3.28273e-008,1.1362
3.28659e-008,1.1555
3.29045e-008,1.1582
3.29430e-008,1.1348
3.29816e-008,1.0599
3.30202e-008,0.9441
3.30588e-008,0.8251
3.30974e-008,0.7107
3.31359e-008,0.6074
3.31745e-008,0.5226
3.32131e-008,0.4589
3.32516e-008,0.4173
3.32902e-008,0.3894
3.33288e-008,0.3660
3.33674e-008,0.3510
3.34060e-008,0.3399
3.34445e-008,0.3272
3.34831e-008,0.3183
3.35217e-008,0.3172
3.35603e-008,0.3183
3.35988e-008,0.3195
3.36374e-008,0.3215
3.36760e-008,0.3235
3.37145e-008,0.3252
3.37531e-008,0.3267
3.37917e-008,0.3351
3.38303e-008,0.3634
3.38689e-008,0.4238
3.39074e-008,0.5185
3.39460e-008,0.6376
3.39846e-008,0.7510
3.40231e-008,0.8385
3.40617e-008,0.9147
3.41003e-008,0.9801
3.41389e-008,1.0314
3.41775e-008,1.0680
3.42160e-008,1.0946
3.42546e-008,1.1140
3.42932e-008,1.1299
3.43318e-008,1.1444
3.43703e-008,1.1568
3.44089e-008,1.1656
3.44475e-008,1.1675
3.44860e-008,1.1663
3.45246e-008,1.1674
3.45632e-008,1.1697
3.46018e-008,1.1710
3.46404e-008,1.1718
3.46789e-008,1.1747
3.47175e-008,1.1811
3.47561e-008,1.1810
3.47946e-008,1.1632
3.48332e-008,1.1075
3.48718e-008,1.0083
3.49104e-008,0.8952
3.49490e-008,0.7854
3.49875e-008,0.6764
3.50261e-008,0.5788
3.50647e-008,0.5011
3.51032e-008,0.4452
3.51418e-008,0.4031
3.51804e-008,0.3698
3.52190e-008,0.3692
3.52575e-008,0.3943
3.52961e-008,0.4537
3.53347e-008,0.5531
3.53733e-008,0.6796
3.54119e-008,0.7875
3.54504e-008,0.8747
3.54890e-008,0.9501
3.55276e-008,1.0119
3.55661e-008,1.0571
3.56047e-008,1.0874
3.56433e-008,1.1093
3.56819e-008,1.1267
3.57205e-008,1.1398
3.57590e-008,1.1511
3.57976e-008,1.1628
3.58362e-008,1.1701
3.58747e-008,1.1694
3.59133e-008,1.1681
3.59519e-008,1.1693
3.59905e-008,1.1708
3.60290e-008,1.1713
3.60676e-008,1.1719
3.61062e-008,1.1730
3.61448e-008,1.1742
3.61834e-008,1.1749
3.62219e-008,1.1760
3.62605e-008,1.1771
3.62991e-008,1.1768
3.63376e-008,1.1760
3.63762e-008,1.1765
3.64148e-008,1.1775
3.64534e-008,1.1779
3.64920e-008,1.1779
3.65305e-008,1.1780
3.65691e-008,1.1781
3.66077e-008,1.1781
3.66462e-008,1.1781
3.66848e-008,1.1782
3.67234e-008,1.1782
3.67620e-008,1.1780
3.68006e-008,1.1779
3.68391e-008,1.1782
3.68777e-008,1.1783
3.69163e-008,1.1782
3.69549e-008,1.1781
3.69934e-008,1.1781
3.70320e-008,1.1781
3.70706e-008,1.1781
3.71091e-008,1.1781
3.71477e-008,1.1782
3.71863e-008,1.1781
3.72249e-008,1.1781
3.72635e-008,1.1781
3.73020e-008,1.1782
3.73406e-008,1.1782
3.73792e-008,1.1781
3.74177e-008,1.1781
3.74563e-008,1.1782
3.74949e-008,1.1782
3.75335e-008,1.1782
3.75721e-008,1.1782
3.76106e-008,1.1782
3.76492e-008,1.1781
3.76878e-008,1.1781
3.77263e-008,1.1782
3.77649e-008,1.1782
3.78035e-008,1.1782
3.78421e-008,1.1782
3.78806e-008,1.1782
3.79192e-008,1.1782
3.79578e-008,1.1791
3.79964e-008,1.1832
3.80350e-008,1.1837
3.80735e-008,1.1678
3.81121e-008,1.1166
3.81507e-008,1.0217
3.81892e-008,0.9097
3.82278e-008,0.7995
3.82664e-008,0.6887
3.83050e-008,0.5887
3.83436e-008,0.5086
3.83821e-008,0.4506
3.84207e-008,0.4105
3.84593e-008,0.3831
3.84978e-008,0.3641
3.85364e-008,0.3499
3.85750e-008,0.3364
3.86136e-008,0.3249
3.86521e-008,0.3202
3.86907e-008,0.3197
3.87293e-008,0.3192
3.87679e-008,0.3199
