.HEADER
..NAMES
Time,V U2.D3
.DATA
1.91718e-008,1.1776
1.92104e-008,1.1776
1.92489e-008,1.1777
1.92875e-008,1.1777
1.93261e-008,1.1777
1.93647e-008,1.1777
1.94032e-008,1.1777
1.94418e-008,1.1778
1.94804e-008,1.1778
1.95190e-008,1.1778
1.95575e-008,1.1778
1.95961e-008,1.1778
1.96347e-008,1.1778
1.96732e-008,1.1778
1.97118e-008,1.1778
1.97504e-008,1.1778
1.97890e-008,1.1778
1.98275e-008,1.1778
1.98661e-008,1.1778
1.99047e-008,1.1778
1.99433e-008,1.1778
1.99819e-008,1.1778
2.00204e-008,1.1778
2.00590e-008,1.1778
2.00976e-008,1.1779
2.01362e-008,1.1779
2.01747e-008,1.1779
2.02133e-008,1.1779
2.02519e-008,1.1779
2.02905e-008,1.1779
2.03290e-008,1.1779
2.03676e-008,1.1779
2.04062e-008,1.1779
2.04447e-008,1.1779
2.04833e-008,1.1779
2.05219e-008,1.1779
2.05605e-008,1.1779
2.05990e-008,1.1781
2.06376e-008,1.1800
2.06762e-008,1.1828
2.07148e-008,1.1796
2.07533e-008,1.1563
2.07919e-008,1.0964
2.08305e-008,1.0004
2.08691e-008,0.8877
2.09077e-008,0.7737
2.09462e-008,0.6649
2.09848e-008,0.5701
2.10234e-008,0.4949
2.10620e-008,0.4406
2.11005e-008,0.4038
2.11391e-008,0.3784
2.11777e-008,0.3589
2.12163e-008,0.3455
2.12548e-008,0.3363
2.12934e-008,0.3279
2.13320e-008,0.3213
2.13705e-008,0.3189
2.14091e-008,0.3201
2.14477e-008,0.3226
2.14863e-008,0.3248
2.15248e-008,0.3262
2.15634e-008,0.3273
2.16020e-008,0.3279
2.16406e-008,0.3274
2.16791e-008,0.3261
2.17177e-008,0.3251
2.17563e-008,0.3248
2.17949e-008,0.3245
2.18335e-008,0.3241
2.18720e-008,0.3238
2.19106e-008,0.3237
2.19492e-008,0.3236
2.19878e-008,0.3232
2.20263e-008,0.3226
2.20649e-008,0.3223
2.21035e-008,0.3223
2.21420e-008,0.3223
2.21806e-008,0.3221
2.22192e-008,0.3221
2.22578e-008,0.3222
2.22963e-008,0.3222
2.23349e-008,0.3221
2.23735e-008,0.3220
2.24121e-008,0.3220
2.24506e-008,0.3220
