.HEADER
..NAMES
Time,V U3.H3
.DATA
3.55661e-008,1.0416
3.56047e-008,1.0811
3.56433e-008,1.1207
3.56819e-008,1.1527
3.57205e-008,1.1626
3.57590e-008,1.1449
3.57976e-008,1.0817
3.58362e-008,0.9782
3.58747e-008,0.8567
3.59133e-008,0.7346
3.59519e-008,0.6227
3.59905e-008,0.5318
3.60290e-008,0.4635
3.60676e-008,0.4137
3.61062e-008,0.3790
3.61448e-008,0.3603
3.61834e-008,0.3660
3.62219e-008,0.4043
3.62605e-008,0.4836
3.62991e-008,0.5974
3.63376e-008,0.7217
3.63762e-008,0.8329
3.64148e-008,0.9230
3.64534e-008,0.9923
3.64920e-008,1.0432
3.65305e-008,1.0790
3.65691e-008,1.1035
3.66077e-008,1.1214
3.66462e-008,1.1362
3.66848e-008,1.1485
3.67234e-008,1.1582
3.67620e-008,1.1656
3.68006e-008,1.1697
3.68391e-008,1.1699
3.68777e-008,1.1684
3.69163e-008,1.1674
3.69549e-008,1.1679
3.69934e-008,1.1694
3.70320e-008,1.1730
3.70706e-008,1.1777
3.71091e-008,1.1783
3.71477e-008,1.1627
3.71863e-008,1.1148
3.72249e-008,1.0293
3.72635e-008,0.9201
3.73020e-008,0.8036
3.73406e-008,0.6895
3.73792e-008,0.5874
3.74177e-008,0.5051
3.74563e-008,0.4447
3.74949e-008,0.4034
3.75335e-008,0.3758
3.75721e-008,0.3564
3.76106e-008,0.3428
3.76492e-008,0.3325
3.76878e-008,0.3238
3.77263e-008,0.3181
3.77649e-008,0.3166
3.78035e-008,0.3180
3.78421e-008,0.3202
3.78806e-008,0.3225
3.79192e-008,0.3244
3.79578e-008,0.3261
3.79964e-008,0.3299
3.80350e-008,0.3428
3.80735e-008,0.3768
3.81121e-008,0.4424
3.81507e-008,0.5409
3.81892e-008,0.6572
3.82278e-008,0.7685
3.82664e-008,0.8616
3.83050e-008,0.9378
3.83436e-008,0.9980
3.83821e-008,1.0438
3.84207e-008,1.0776
3.84593e-008,1.1026
3.84978e-008,1.1219
3.85364e-008,1.1375
3.85750e-008,1.1498
3.86136e-008,1.1589
3.86521e-008,1.1652
3.86907e-008,1.1678
3.87293e-008,1.1676
3.87679e-008,1.1671
3.88065e-008,1.1678
3.88450e-008,1.1692
3.88836e-008,1.1706
3.89222e-008,1.1719
3.89607e-008,1.1730
3.89993e-008,1.1740
3.90379e-008,1.1747
3.90765e-008,1.1751
3.91151e-008,1.1753
3.91536e-008,1.1756
3.91922e-008,1.1758
3.92308e-008,1.1762
3.92693e-008,1.1766
3.93079e-008,1.1771
3.93465e-008,1.1772
3.93851e-008,1.1772
3.94237e-008,1.1771
3.94622e-008,1.1771
3.95008e-008,1.1771
3.95394e-008,1.1771
3.95780e-008,1.1770
3.96165e-008,1.1771
3.96551e-008,1.1771
3.96937e-008,1.1771
3.97322e-008,1.1771
3.97708e-008,1.1771
3.98094e-008,1.1771
3.98480e-008,1.1771
3.98866e-008,1.1771
3.99251e-008,1.1771
3.99637e-008,1.1771
4.00023e-008,1.1771
4.00408e-008,1.1771
4.00794e-008,1.1771
4.01180e-008,1.1771
4.01566e-008,1.1771
4.01952e-008,1.1771
4.02337e-008,1.1771
4.02723e-008,1.1771
4.03109e-008,1.1783
4.03494e-008,1.1808
4.03880e-008,1.1807
4.04266e-008,1.1669
4.04652e-008,1.1233
4.05037e-008,1.0420
4.05423e-008,0.9348
4.05809e-008,0.8181
4.06195e-008,0.7029
4.06581e-008,0.5984
4.06966e-008,0.5130
4.07352e-008,0.4499
4.07738e-008,0.4067
4.08123e-008,0.3781
4.08509e-008,0.3581
4.08895e-008,0.3442
4.09281e-008,0.3338
4.09667e-008,0.3249
4.10052e-008,0.3186
4.10438e-008,0.3166
4.10824e-008,0.3177
4.11209e-008,0.3199
4.11595e-008,0.3222
4.11981e-008,0.3243
4.12367e-008,0.3260
