.HEADER
..NAMES
Time,V U2.A3
.DATA
2.53438e-008,0.3797
2.53824e-008,0.3672
2.54209e-008,0.3833
2.54595e-008,0.4349
2.54981e-008,0.5282
2.55367e-008,0.6481
2.55752e-008,0.7628
2.56138e-008,0.8548
2.56524e-008,0.9294
2.56909e-008,0.9893
2.57295e-008,1.0364
2.57681e-008,1.0777
2.58067e-008,1.1222
2.58452e-008,1.1555
2.58838e-008,1.1653
2.59224e-008,1.1437
2.59610e-008,1.0778
2.59995e-008,0.9690
2.60381e-008,0.8461
2.60767e-008,0.7305
2.61153e-008,0.6236
2.61539e-008,0.5355
2.61924e-008,0.4721
2.62310e-008,0.4258
2.62696e-008,0.3880
2.63082e-008,0.3684
2.63467e-008,0.3745
2.63853e-008,0.4142
2.64239e-008,0.4944
2.64625e-008,0.6094
2.65010e-008,0.7286
2.65396e-008,0.8280
2.65782e-008,0.9074
2.66167e-008,0.9719
2.66553e-008,1.0227
2.66939e-008,1.0632
2.67325e-008,1.0951
2.67710e-008,1.1164
2.68096e-008,1.1316
2.68482e-008,1.1444
2.68868e-008,1.1533
2.69254e-008,1.1592
2.69639e-008,1.1664
2.70025e-008,1.1728
2.70411e-008,1.1748
2.70797e-008,1.1737
2.71182e-008,1.1721
2.71568e-008,1.1714
2.71954e-008,1.1744
2.72340e-008,1.1804
2.72725e-008,1.1816
2.73111e-008,1.1640
2.73497e-008,1.1111
2.73882e-008,1.0146
2.74268e-008,0.8936
2.74654e-008,0.7747
2.75040e-008,0.6686
2.75425e-008,0.5761
2.75811e-008,0.5025
2.76197e-008,0.4486
2.76583e-008,0.4112
2.76968e-008,0.3853
2.77354e-008,0.3655
2.77740e-008,0.3494
2.78126e-008,0.3388
2.78512e-008,0.3326
2.78897e-008,0.3263
2.79283e-008,0.3197
2.79669e-008,0.3163
2.80055e-008,0.3173
2.80440e-008,0.3201
2.80826e-008,0.3224
2.81212e-008,0.3241
2.81598e-008,0.3284
2.81983e-008,0.3435
2.82369e-008,0.3813
2.82755e-008,0.4528
2.83140e-008,0.5589
2.83526e-008,0.6826
2.83912e-008,0.7936
2.84298e-008,0.8761
2.84683e-008,0.9387
2.85069e-008,0.9924
