.HEADER
..NAMES
Time,V U5.N2
.DATA
1.81175e-008,0.9942
1.81541e-008,0.9868
1.81908e-008,0.9753
1.82275e-008,0.9649
1.82641e-008,0.9598
1.83008e-008,0.9619
1.83375e-008,0.9714
1.83742e-008,0.9871
1.84108e-008,1.0051
1.84475e-008,1.0175
1.84842e-008,1.0124
1.85209e-008,0.9770
1.85576e-008,0.9074
1.85942e-008,0.8141
1.86309e-008,0.7128
1.86676e-008,0.6183
1.87043e-008,0.5443
1.87409e-008,0.4994
1.87776e-008,0.4810
1.88143e-008,0.4779
1.88509e-008,0.4775
1.88876e-008,0.4718
1.89243e-008,0.4593
1.89610e-008,0.4447
1.89976e-008,0.4339
1.90343e-008,0.4304
1.90710e-008,0.4342
1.91077e-008,0.4425
1.91444e-008,0.4507
1.91810e-008,0.4552
1.92177e-008,0.4543
1.92544e-008,0.4479
1.92911e-008,0.4376
1.93277e-008,0.4257
1.93644e-008,0.4146
1.94011e-008,0.4067
1.94377e-008,0.4028
1.94744e-008,0.4019
1.95111e-008,0.4011
1.95478e-008,0.3980
1.95844e-008,0.3898
1.96211e-008,0.3752
1.96578e-008,0.3559
1.96945e-008,0.3362
1.97312e-008,0.3209
1.97678e-008,0.3132
1.98045e-008,0.3140
1.98412e-008,0.3212
1.98779e-008,0.3304
1.99145e-008,0.3370
1.99512e-008,0.3377
1.99879e-008,0.3326
2.00245e-008,0.3240
2.00612e-008,0.3156
2.00979e-008,0.3100
2.01346e-008,0.3088
2.01712e-008,0.3117
2.02079e-008,0.3173
2.02446e-008,0.3253
2.02813e-008,0.3383
2.03179e-008,0.3635
2.03546e-008,0.4110
2.03913e-008,0.4852
2.04280e-008,0.5814
2.04647e-008,0.6852
2.05013e-008,0.7809
2.05380e-008,0.8572
2.05747e-008,0.9079
2.06114e-008,0.9325
2.06480e-008,0.9380
2.06847e-008,0.9359
2.07214e-008,0.9356
2.07580e-008,0.9409
2.07947e-008,0.9512
2.08314e-008,0.9635
2.08681e-008,0.9746
2.09047e-008,0.9822
2.09414e-008,0.9860
2.09781e-008,0.9866
2.10148e-008,0.9853
2.10515e-008,0.9837
2.10881e-008,0.9834
2.11248e-008,0.9858
2.11615e-008,0.9920
2.11982e-008,1.0023
2.12348e-008,1.0137
2.12715e-008,1.0175
2.13082e-008,1.0001
2.13448e-008,0.9492
2.13815e-008,0.8659
2.14182e-008,0.7649
2.14549e-008,0.6625
2.14915e-008,0.5728
2.15282e-008,0.5088
2.15649e-008,0.4765
2.16016e-008,0.4694
2.16383e-008,0.4739
2.16749e-008,0.4776
2.17116e-008,0.4738
2.17483e-008,0.4628
2.17850e-008,0.4496
2.18216e-008,0.4393
2.18583e-008,0.4350
2.18950e-008,0.4366
2.19316e-008,0.4421
2.19683e-008,0.4481
2.20050e-008,0.4517
2.20417e-008,0.4513
2.20783e-008,0.4463
2.21150e-008,0.4374
2.21517e-008,0.4258
2.21884e-008,0.4137
2.22251e-008,0.4036
2.22617e-008,0.3972
2.22984e-008,0.3941
2.23351e-008,0.3922
2.23718e-008,0.3883
2.24084e-008,0.3797
2.24451e-008,0.3655
2.24818e-008,0.3479
2.25184e-008,0.3305
2.25551e-008,0.3173
2.25918e-008,0.3111
2.26285e-008,0.3130
2.26651e-008,0.3209
2.27018e-008,0.3302
2.27385e-008,0.3361
2.27752e-008,0.3362
2.28119e-008,0.3310
2.28485e-008,0.3231
2.28852e-008,0.3157
2.29219e-008,0.3111
2.29586e-008,0.3104
2.29952e-008,0.3135
2.30319e-008,0.3194
2.30686e-008,0.3285
2.31052e-008,0.3443
2.31419e-008,0.3749
2.31786e-008,0.4295
2.32153e-008,0.5098
2.32519e-008,0.6083
2.32886e-008,0.7096
2.33253e-008,0.7995
2.33620e-008,0.8687
2.33987e-008,0.9127
2.34353e-008,0.9323
2.34720e-008,0.9361
2.35087e-008,0.9350
2.35454e-008,0.9368
2.35820e-008,0.9439
2.36187e-008,0.9550
