.HEADER
..NAMES
Time,V U2.B8
.DATA
2.26821e-008,1.1773
2.27207e-008,1.1763
2.27593e-008,1.1757
2.27978e-008,1.1764
2.28364e-008,1.1780
2.28750e-008,1.1788
2.29136e-008,1.1783
2.29521e-008,1.1781
2.29907e-008,1.1808
2.30293e-008,1.1837
2.30678e-008,1.1756
2.31064e-008,1.1367
2.31450e-008,1.0509
2.31836e-008,0.9281
2.32221e-008,0.7985
2.32607e-008,0.6824
2.32993e-008,0.5869
2.33379e-008,0.5137
2.33764e-008,0.4608
2.34150e-008,0.4237
2.34536e-008,0.3975
2.34922e-008,0.3743
2.35308e-008,0.3537
2.35693e-008,0.3409
2.36079e-008,0.3351
2.36465e-008,0.3302
2.36851e-008,0.3243
2.37236e-008,0.3186
2.37622e-008,0.3162
2.38008e-008,0.3177
2.38394e-008,0.3203
2.38779e-008,0.3219
2.39165e-008,0.3232
2.39551e-008,0.3244
2.39936e-008,0.3242
2.40322e-008,0.3223
2.40708e-008,0.3205
2.41094e-008,0.3204
2.41479e-008,0.3213
2.41865e-008,0.3218
2.42251e-008,0.3209
2.42637e-008,0.3200
2.43023e-008,0.3200
2.43408e-008,0.3204
2.43794e-008,0.3203
2.44180e-008,0.3200
2.44566e-008,0.3200
2.44951e-008,0.3201
2.45337e-008,0.3200
2.45723e-008,0.3196
2.46109e-008,0.3193
2.46494e-008,0.3197
2.46880e-008,0.3201
2.47266e-008,0.3201
2.47651e-008,0.3198
2.48037e-008,0.3197
2.48423e-008,0.3210
2.48809e-008,0.3275
2.49194e-008,0.3481
2.49580e-008,0.3974
2.49966e-008,0.4857
2.50352e-008,0.6077
2.50737e-008,0.7367
2.51123e-008,0.8409
2.51509e-008,0.9122
2.51895e-008,0.9639
2.52281e-008,1.0072
2.52666e-008,1.0461
2.53052e-008,1.0797
2.53438e-008,1.1061
2.53824e-008,1.1260
2.54209e-008,1.1404
2.54595e-008,1.1479
2.54981e-008,1.1520
2.55367e-008,1.1587
2.55752e-008,1.1676
2.56138e-008,1.1738
2.56524e-008,1.1747
2.56909e-008,1.1720
2.57295e-008,1.1698
2.57681e-008,1.1705
2.58067e-008,1.1726
2.58452e-008,1.1743
2.58838e-008,1.1757
2.59224e-008,1.1771
2.59610e-008,1.1773
2.59995e-008,1.1764
2.60381e-008,1.1756
2.60767e-008,1.1763
2.61153e-008,1.1779
2.61539e-008,1.1788
2.61924e-008,1.1783
2.62310e-008,1.1779
2.62696e-008,1.1803
2.63082e-008,1.1837
2.63467e-008,1.1775
2.63853e-008,1.1429
2.64239e-008,1.0623
2.64625e-008,0.9421
2.65010e-008,0.8120
2.65396e-008,0.6940
2.65782e-008,0.5960
2.66167e-008,0.5205
2.66553e-008,0.4657
2.66939e-008,0.4270
2.67325e-008,0.4000
2.67710e-008,0.3767
2.68096e-008,0.3556
2.68482e-008,0.3418
2.68868e-008,0.3356
2.69254e-008,0.3308
2.69639e-008,0.3249
2.70025e-008,0.3191
2.70411e-008,0.3163
2.70797e-008,0.3175
2.71182e-008,0.3201
2.71568e-008,0.3217
2.71954e-008,0.3245
2.72340e-008,0.3341
2.72725e-008,0.3601
2.73111e-008,0.4161
2.73497e-008,0.5111
2.73882e-008,0.6374
2.74268e-008,0.7641
2.74654e-008,0.8613
2.75040e-008,0.9263
2.75425e-008,0.9742
2.75811e-008,1.0161
2.76197e-008,1.0552
2.76583e-008,1.1006
2.76968e-008,1.1451
2.77354e-008,1.1686
2.77740e-008,1.1594
2.78126e-008,1.1053
2.78512e-008,1.0009
2.78897e-008,0.8749
2.79283e-008,0.7546
2.79669e-008,0.6448
2.80055e-008,0.5540
2.80440e-008,0.4879
2.80826e-008,0.4398
2.81212e-008,0.4071
2.81598e-008,0.3854
2.81983e-008,0.3651
2.82369e-008,0.3484
2.82755e-008,0.3396
2.83140e-008,0.3327
2.83526e-008,0.3250
2.83912e-008,0.3193
2.84298e-008,0.3163
2.84683e-008,0.3164
2.85069e-008,0.3191
2.85455e-008,0.3212
2.85841e-008,0.3224
2.86226e-008,0.3279
2.86612e-008,0.3448
2.86998e-008,0.3847
2.87384e-008,0.4613
2.87770e-008,0.5756
2.88155e-008,0.7062
2.88541e-008,0.8192
2.88927e-008,0.8980
2.89313e-008,0.9525
2.89698e-008,0.9968
2.90084e-008,1.0373
2.90470e-008,1.0778
2.90855e-008,1.1243
2.91241e-008,1.1604
2.91627e-008,1.1685
2.92013e-008,1.1373
2.92398e-008,1.0558
2.92784e-008,0.9351
2.93170e-008,0.8105
2.93556e-008,0.6953
2.93941e-008,0.5939
2.94327e-008,0.5163
2.94713e-008,0.4608
2.95099e-008,0.4209
2.95485e-008,0.3952
2.95870e-008,0.3747
2.96256e-008,0.3553
2.96642e-008,0.3430
2.97028e-008,0.3362
2.97413e-008,0.3286
2.97799e-008,0.3216
2.98185e-008,0.3174
2.98570e-008,0.3160
2.98956e-008,0.3177
2.99342e-008,0.3203
2.99728e-008,0.3216
3.00113e-008,0.3226
3.00499e-008,0.3241
3.00885e-008,0.3240
3.01271e-008,0.3222
3.01657e-008,0.3210
3.02042e-008,0.3208
3.02428e-008,0.3212
3.02814e-008,0.3213
3.03199e-008,0.3206
3.03585e-008,0.3199
3.03971e-008,0.3202
3.04357e-008,0.3206
3.04743e-008,0.3203
3.05128e-008,0.3199
3.05514e-008,0.3200
3.05900e-008,0.3200
3.06285e-008,0.3199
3.06671e-008,0.3196
3.07057e-008,0.3194
3.07443e-008,0.3197
3.07829e-008,0.3201
3.08214e-008,0.3200
3.08600e-008,0.3197
3.08986e-008,0.3197
3.09372e-008,0.3209
3.09757e-008,0.3269
3.10143e-008,0.3464
3.10529e-008,0.3937
3.10914e-008,0.4798
3.11300e-008,0.6005
3.11686e-008,0.7300
3.12072e-008,0.8361
3.12458e-008,0.9090
3.12843e-008,0.9613
3.13229e-008,1.0049
3.13615e-008,1.0441
3.14000e-008,1.0864
3.14386e-008,1.1330
3.14772e-008,1.1644
3.15158e-008,1.1654
3.15544e-008,1.1247
3.15929e-008,1.0328
3.16315e-008,0.9089
3.16701e-008,0.7858
3.17087e-008,0.6724
3.17472e-008,0.5752
3.17858e-008,0.5031
3.18244e-008,0.4514
3.18629e-008,0.4145
3.19015e-008,0.3907
3.19401e-008,0.3703
3.19787e-008,0.3520
3.20173e-008,0.3414
3.20558e-008,0.3347
3.20944e-008,0.3268
3.21330e-008,0.3205
3.21715e-008,0.3169
3.22101e-008,0.3160
3.22487e-008,0.3181
3.22873e-008,0.3206
3.23259e-008,0.3219
3.23644e-008,0.3257
3.24030e-008,0.3387
3.24416e-008,0.3710
3.24801e-008,0.4370
3.25187e-008,0.5425
3.25573e-008,0.6722
3.25959e-008,0.7925
3.26344e-008,0.8802
3.26730e-008,0.9396
3.27116e-008,0.9857
3.27502e-008,1.0269
3.27888e-008,1.0639
3.28273e-008,1.0938
3.28659e-008,1.1163
3.29045e-008,1.1337
3.29430e-008,1.1448
3.29816e-008,1.1498
3.30202e-008,1.1545
3.30588e-008,1.1626
3.30974e-008,1.1710
3.31359e-008,1.1751
3.31745e-008,1.1738
3.32131e-008,1.1705
3.32516e-008,1.1698
3.32902e-008,1.1743
3.33288e-008,1.1810
3.33674e-008,1.1811
3.34060e-008,1.1602
3.34445e-008,1.0975
3.34831e-008,0.9875
3.35217e-008,0.8562
3.35603e-008,0.7329
3.35988e-008,0.6289
3.36374e-008,0.5467
3.36760e-008,0.4847
3.37145e-008,0.4390
3.37531e-008,0.4079
3.37917e-008,0.3846
3.38303e-008,0.3628
3.38689e-008,0.3459
3.39074e-008,0.3375
3.39460e-008,0.3329
3.39846e-008,0.3273
3.40231e-008,0.3209
3.40617e-008,0.3163
3.41003e-008,0.3163
3.41389e-008,0.3194
3.41775e-008,0.3217
3.42160e-008,0.3232
3.42546e-008,0.3291
3.42932e-008,0.3475
3.43318e-008,0.3909
3.43703e-008,0.4714
3.44089e-008,0.5884
3.44475e-008,0.7193
3.44860e-008,0.8296
3.45246e-008,0.9051
3.45632e-008,0.9574
3.46018e-008,1.0007
