.HEADER
..NAMES
Time,V U3.P2
.DATA
2.69194e-008,0.3280
2.69561e-008,0.3286
2.69928e-008,0.3298
2.70295e-008,0.3321
2.70662e-008,0.3374
2.71028e-008,0.3495
2.71395e-008,0.3728
2.71762e-008,0.4110
2.72129e-008,0.4655
2.72495e-008,0.5350
2.72862e-008,0.6162
2.73229e-008,0.7027
2.73595e-008,0.7849
2.73962e-008,0.8531
2.74329e-008,0.9022
2.74696e-008,0.9322
2.75062e-008,0.9460
2.75429e-008,0.9485
2.75796e-008,0.9466
2.76163e-008,0.9477
2.76530e-008,0.9565
2.76896e-008,0.9739
2.77263e-008,0.9971
2.77630e-008,1.0214
2.77997e-008,1.0423
2.78363e-008,1.0571
2.78730e-008,1.0648
2.79097e-008,1.0664
2.79463e-008,1.0642
2.79830e-008,1.0619
2.80197e-008,1.0625
2.80564e-008,1.0670
2.80930e-008,1.0742
2.81297e-008,1.0822
2.81664e-008,1.0887
2.82031e-008,1.0920
2.82398e-008,1.0913
2.82764e-008,1.0876
2.83131e-008,1.0831
2.83498e-008,1.0800
2.83865e-008,1.0801
2.84231e-008,1.0838
2.84598e-008,1.0901
2.84965e-008,1.0972
2.85331e-008,1.1032
2.85698e-008,1.1065
2.86065e-008,1.1063
2.86432e-008,1.1033
2.86798e-008,1.0990
2.87165e-008,1.0952
2.87532e-008,1.0934
2.87899e-008,1.0940
2.88266e-008,1.0968
2.88632e-008,1.1007
2.88999e-008,1.1046
2.89366e-008,1.1066
2.89733e-008,1.1040
2.90099e-008,1.0927
2.90466e-008,1.0682
2.90833e-008,1.0277
2.91199e-008,0.9708
2.91566e-008,0.8977
2.91933e-008,0.8107
2.92300e-008,0.7168
2.92666e-008,0.6277
2.93033e-008,0.5529
2.93400e-008,0.4976
2.93767e-008,0.4639
2.94133e-008,0.4510
2.94500e-008,0.4533
2.94867e-008,0.4622
2.95234e-008,0.4688
2.95601e-008,0.4665
2.95967e-008,0.4528
2.96334e-008,0.4296
2.96701e-008,0.4024
2.97068e-008,0.3764
2.97434e-008,0.3561
2.97801e-008,0.3446
2.98168e-008,0.3427
2.98534e-008,0.3488
2.98901e-008,0.3610
2.99268e-008,0.3801
2.99635e-008,0.4091
3.00002e-008,0.4514
3.00368e-008,0.5084
3.00735e-008,0.5800
3.01102e-008,0.6647
3.01469e-008,0.7561
3.01835e-008,0.8416
3.02202e-008,0.9088
3.02569e-008,0.9517
3.02935e-008,0.9706
3.03302e-008,0.9694
3.03669e-008,0.9553
3.04036e-008,0.9388
3.04403e-008,0.9304
3.04769e-008,0.9367
3.05136e-008,0.9582
3.05503e-008,0.9897
3.05869e-008,1.0227
3.06236e-008,1.0495
3.06603e-008,1.0657
3.06970e-008,1.0703
3.07336e-008,1.0649
3.07703e-008,1.0546
3.08070e-008,1.0464
3.08437e-008,1.0442
