.HEADER
..NAMES
Time,V U5.K1
.DATA
1.72006e-008,0.3305
1.72372e-008,0.3316
1.72739e-008,0.3318
1.73106e-008,0.3309
1.73473e-008,0.3294
1.73840e-008,0.3280
1.74206e-008,0.3272
1.74573e-008,0.3272
1.74940e-008,0.3280
1.75307e-008,0.3292
1.75673e-008,0.3302
1.76040e-008,0.3307
1.76407e-008,0.3305
1.76773e-008,0.3298
1.77140e-008,0.3289
1.77507e-008,0.3282
1.77874e-008,0.3279
1.78240e-008,0.3280
1.78607e-008,0.3287
1.78974e-008,0.3295
1.79341e-008,0.3303
1.79708e-008,0.3308
1.80074e-008,0.3308
1.80441e-008,0.3302
1.80808e-008,0.3293
1.81175e-008,0.3282
1.81541e-008,0.3274
1.81908e-008,0.3271
1.82275e-008,0.3276
1.82641e-008,0.3286
1.83008e-008,0.3298
1.83375e-008,0.3308
1.83742e-008,0.3327
1.84108e-008,0.3384
1.84475e-008,0.3551
1.84842e-008,0.3930
1.85209e-008,0.4585
1.85576e-008,0.5510
1.85942e-008,0.6595
1.86309e-008,0.7671
1.86676e-008,0.8599
1.87043e-008,0.9249
1.87409e-008,0.9558
1.87776e-008,0.9582
1.88143e-008,0.9461
1.88509e-008,0.9324
1.88876e-008,0.9264
1.89243e-008,0.9322
1.89610e-008,0.9475
1.89976e-008,0.9665
1.90343e-008,0.9842
1.90710e-008,0.9968
1.91077e-008,1.0026
1.91444e-008,1.0026
1.91810e-008,0.9984
1.92177e-008,0.9922
1.92544e-008,0.9871
1.92911e-008,0.9870
1.93277e-008,0.9936
1.93644e-008,1.0063
1.94011e-008,1.0230
1.94377e-008,1.0406
1.94744e-008,1.0547
1.95111e-008,1.0631
1.95478e-008,1.0664
1.95844e-008,1.0673
1.96211e-008,1.0694
1.96578e-008,1.0752
1.96945e-008,1.0855
1.97312e-008,1.0982
1.97678e-008,1.1098
1.98045e-008,1.1165
1.98412e-008,1.1161
1.98779e-008,1.1091
1.99145e-008,1.0985
1.99512e-008,1.0882
1.99879e-008,1.0816
2.00245e-008,1.0805
2.00612e-008,1.0851
2.00979e-008,1.0934
2.01346e-008,1.1026
2.01712e-008,1.1103
2.02079e-008,1.1145
2.02446e-008,1.1144
2.02813e-008,1.1109
2.03179e-008,1.1022
2.03546e-008,1.0837
2.03913e-008,1.0461
2.04280e-008,0.9812
2.04647e-008,0.8911
2.05013e-008,0.7837
2.05380e-008,0.6696
2.05747e-008,0.5658
2.06114e-008,0.4899
2.06480e-008,0.4489
2.06847e-008,0.4391
2.07214e-008,0.4512
2.07580e-008,0.4715
2.07947e-008,0.4869
2.08314e-008,0.4906
2.08681e-008,0.4821
2.09047e-008,0.4649
2.09414e-008,0.4451
2.09781e-008,0.4284
2.10148e-008,0.4177
2.10515e-008,0.4139
2.10881e-008,0.4170
2.11248e-008,0.4246
2.11615e-008,0.4323
2.11982e-008,0.4380
2.12348e-008,0.4446
2.12715e-008,0.4596
2.13082e-008,0.4956
2.13448e-008,0.5619
2.13815e-008,0.6573
2.14182e-008,0.7664
2.14549e-008,0.8711
2.14915e-008,0.9538
2.15282e-008,0.9986
2.15649e-008,1.0010
2.16016e-008,0.9731
2.16383e-008,0.9347
2.16749e-008,0.9036
2.17116e-008,0.8925
2.17483e-008,0.9045
2.17850e-008,0.9328
2.18216e-008,0.9670
2.18583e-008,0.9972
2.18950e-008,1.0160
2.19316e-008,1.0207
2.19683e-008,1.0132
2.20050e-008,0.9975
2.20417e-008,0.9793
2.20783e-008,0.9657
2.21150e-008,0.9637
2.21517e-008,0.9764
2.21884e-008,1.0005
2.22251e-008,1.0252
2.22617e-008,1.0304
2.22984e-008,0.9948
2.23351e-008,0.9137
2.23718e-008,0.7985
2.24084e-008,0.6665
2.24451e-008,0.5427
2.24818e-008,0.4550
2.25184e-008,0.4170
2.25551e-008,0.4227
2.25918e-008,0.4550
2.26285e-008,0.4915
2.26651e-008,0.5126
2.27018e-008,0.5104
2.27385e-008,0.4885
2.27752e-008,0.4567
2.28119e-008,0.4268
2.28485e-008,0.4084
2.28852e-008,0.4043
2.29219e-008,0.4122
2.29586e-008,0.4281
2.29952e-008,0.4462
2.30319e-008,0.4587
2.30686e-008,0.4600
2.31052e-008,0.4486
2.31419e-008,0.4259
2.31786e-008,0.3960
2.32153e-008,0.3666
2.32519e-008,0.3456
2.32886e-008,0.3374
2.33253e-008,0.3414
2.33620e-008,0.3524
2.33987e-008,0.3628
2.34353e-008,0.3653
2.34720e-008,0.3566
2.35087e-008,0.3381
2.35454e-008,0.3162
2.35820e-008,0.2988
2.36187e-008,0.2923
2.36554e-008,0.2981
2.36920e-008,0.3132
2.37287e-008,0.3316
2.37654e-008,0.3466
2.38021e-008,0.3533
2.38387e-008,0.3502
2.38754e-008,0.3392
2.39121e-008,0.3245
2.39488e-008,0.3108
2.39855e-008,0.3024
2.40221e-008,0.3016
2.40588e-008,0.3083
2.40955e-008,0.3202
2.41322e-008,0.3338
2.41688e-008,0.3455
2.42055e-008,0.3521
2.42422e-008,0.3521
2.42788e-008,0.3460
2.43155e-008,0.3358
2.43522e-008,0.3252
2.43889e-008,0.3174
2.44255e-008,0.3146
2.44622e-008,0.3170
2.44989e-008,0.3230
2.45356e-008,0.3298
2.45723e-008,0.3346
2.46089e-008,0.3359
2.46456e-008,0.3336
2.46823e-008,0.3291
2.47190e-008,0.3247
2.47556e-008,0.3221
2.47923e-008,0.3223
2.48290e-008,0.3250
2.48657e-008,0.3288
2.49023e-008,0.3323
2.49390e-008,0.3353
2.49757e-008,0.3407
2.50123e-008,0.3555
2.50490e-008,0.3907
2.50857e-008,0.4541
2.51224e-008,0.5460
2.51590e-008,0.6556
2.51957e-008,0.7656
2.52324e-008,0.8612
2.52691e-008,0.9285
2.53058e-008,0.9602
2.53424e-008,0.9617
2.53791e-008,0.9474
2.54158e-008,0.9312
2.54525e-008,0.9231
2.54891e-008,0.9281
2.55258e-008,0.9438
2.55625e-008,0.9644
2.55991e-008,0.9842
2.56358e-008,0.9986
2.56725e-008,1.0054
2.57092e-008,1.0053
2.57458e-008,1.0001
2.57825e-008,0.9927
2.58192e-008,0.9868
2.58559e-008,0.9866
2.58926e-008,0.9954
2.59292e-008,1.0111
2.59659e-008,1.0256
2.60026e-008,1.0233
2.60393e-008,0.9848
2.60759e-008,0.9036
2.61126e-008,0.7915
2.61493e-008,0.6651
2.61859e-008,0.5458
2.62226e-008,0.4593
2.62593e-008,0.4211
2.62960e-008,0.4259
2.63326e-008,0.4572
2.63693e-008,0.4939
2.64060e-008,0.5167
2.64427e-008,0.5163
2.64794e-008,0.4954
2.65160e-008,0.4634
2.65527e-008,0.4319
2.65894e-008,0.4106
2.66261e-008,0.4038
2.66627e-008,0.4095
2.66994e-008,0.4240
2.67361e-008,0.4423
2.67727e-008,0.4568
2.68094e-008,0.4612
2.68461e-008,0.4562
2.68828e-008,0.4487
2.69194e-008,0.4535
2.69561e-008,0.4884
2.69928e-008,0.5634
2.70295e-008,0.6712
2.70662e-008,0.7916
2.71028e-008,0.9040
2.71395e-008,0.9848
2.71762e-008,1.0174
2.72129e-008,1.0039
2.72495e-008,0.9630
2.72862e-008,0.9176
2.73229e-008,0.8879
2.73595e-008,0.8855
2.73962e-008,0.9089
2.74329e-008,0.9469
2.74696e-008,0.9866
2.75062e-008,1.0164
2.75429e-008,1.0293
2.75796e-008,1.0256
2.76163e-008,1.0092
2.76530e-008,0.9863
2.76896e-008,0.9649
2.77263e-008,0.9538
2.77630e-008,0.9582
2.77997e-008,0.9778
2.78363e-008,1.0085
2.78730e-008,1.0433
2.79097e-008,1.0729
2.79463e-008,1.0906
2.79830e-008,1.0944
2.80197e-008,1.0878
2.80564e-008,1.0773
2.80930e-008,1.0703
2.81297e-008,1.0717
2.81664e-008,1.0822
2.82031e-008,1.0980
2.82398e-008,1.1125
2.82764e-008,1.1197
2.83131e-008,1.1170
2.83498e-008,1.1059
2.83865e-008,1.0912
2.84231e-008,1.0786
2.84598e-008,1.0725
2.84965e-008,1.0750
2.85331e-008,1.0848
2.85698e-008,1.0982
2.86065e-008,1.1109
2.86432e-008,1.1193
2.86798e-008,1.1213
2.87165e-008,1.1171
2.87532e-008,1.1064
2.87899e-008,1.0863
2.88266e-008,1.0502
2.88632e-008,0.9901
2.88999e-008,0.9065
2.89366e-008,0.8058
2.89733e-008,0.6964
2.90099e-008,0.5927
2.90466e-008,0.5118
2.90833e-008,0.4624
2.91199e-008,0.4431
2.91566e-008,0.4472
2.91933e-008,0.4631
2.92300e-008,0.4782
2.92666e-008,0.4849
2.93033e-008,0.4810
2.93400e-008,0.4683
2.93767e-008,0.4515
2.94133e-008,0.4355
2.94500e-008,0.4235
2.94867e-008,0.4168
2.95234e-008,0.4164
2.95601e-008,0.4211
2.95967e-008,0.4276
2.96334e-008,0.4335
2.96701e-008,0.4409
2.97068e-008,0.4555
2.97434e-008,0.4887
2.97801e-008,0.5499
2.98168e-008,0.6401
2.98534e-008,0.7465
2.98901e-008,0.8511
2.99268e-008,0.9375
2.99635e-008,0.9896
3.00002e-008,1.0001
3.00368e-008,0.9783
3.00735e-008,0.9426
3.01102e-008,0.9109
3.01469e-008,0.8963
3.01835e-008,0.9038
3.02202e-008,0.9283
3.02569e-008,0.9603
3.02935e-008,0.9901
3.03302e-008,1.0102
3.03669e-008,1.0174
3.04036e-008,1.0130
3.04403e-008,1.0000
3.04769e-008,0.9836
3.05136e-008,0.9699
3.05503e-008,0.9658
3.05869e-008,0.9753
3.06236e-008,0.9965
3.06603e-008,1.0206
3.06970e-008,1.0298
3.07336e-008,1.0021
3.07703e-008,0.9290
3.08070e-008,0.8199
3.08437e-008,0.6907
3.08804e-008,0.5643
3.09170e-008,0.4691
3.09537e-008,0.4219
3.09904e-008,0.4200
3.10270e-008,0.4480
3.10637e-008,0.4845
3.11004e-008,0.5089
3.11371e-008,0.5109
3.11738e-008,0.4925
3.12104e-008,0.4623
3.12471e-008,0.4320
3.12838e-008,0.4115
3.13205e-008,0.4050
3.13571e-008,0.4107
3.13938e-008,0.4249
3.14305e-008,0.4425
3.14671e-008,0.4562
3.15038e-008,0.4596
3.15405e-008,0.4507
3.15772e-008,0.4302
3.16139e-008,0.4017
3.16505e-008,0.3720
3.16872e-008,0.3492
3.17239e-008,0.3384
3.17605e-008,0.3401
3.17972e-008,0.3499
3.18339e-008,0.3606
3.18706e-008,0.3648
3.19072e-008,0.3581
3.19439e-008,0.3413
3.19806e-008,0.3198
3.20173e-008,0.3014
3.20540e-008,0.2928
3.20906e-008,0.2965
3.21273e-008,0.3101
3.21640e-008,0.3281
3.22006e-008,0.3440
