.HEADER
..NAMES
Time,V U5.G2
.DATA
2.97028e-008,0.3254
2.97413e-008,0.3254
2.97799e-008,0.3248
2.98185e-008,0.3246
2.98570e-008,0.3246
2.98956e-008,0.3241
2.99342e-008,0.3235
2.99728e-008,0.3227
3.00113e-008,0.3218
3.00499e-008,0.3227
3.00885e-008,0.3294
3.01271e-008,0.3489
3.01657e-008,0.3951
3.02042e-008,0.4782
3.02428e-008,0.5911
3.02814e-008,0.7116
3.03199e-008,0.8080
3.03585e-008,0.8860
3.03971e-008,0.9544
3.04357e-008,1.0110
3.04743e-008,1.0523
3.05128e-008,1.0878
3.05514e-008,1.1340
3.05900e-008,1.1503
3.06285e-008,1.1469
3.06671e-008,1.1160
3.07057e-008,1.0416
3.07443e-008,0.9370
3.07829e-008,0.8281
3.08214e-008,0.7197
3.08600e-008,0.6172
3.08986e-008,0.5296
3.09372e-008,0.4652
3.09757e-008,0.4227
3.10143e-008,0.3939
3.10529e-008,0.3719
3.10914e-008,0.3577
3.11300e-008,0.3528
3.11686e-008,0.3480
3.12072e-008,0.3419
3.12458e-008,0.3366
3.12843e-008,0.3295
3.13229e-008,0.3221
3.13615e-008,0.3182
3.14000e-008,0.3175
3.14386e-008,0.3174
3.14772e-008,0.3180
3.15158e-008,0.3200
3.15544e-008,0.3229
3.15929e-008,0.3248
3.16315e-008,0.3246
3.16701e-008,0.3240
3.17087e-008,0.3244
3.17472e-008,0.3243
3.17858e-008,0.3231
3.18244e-008,0.3224
3.18629e-008,0.3220
3.19015e-008,0.3216
3.19401e-008,0.3216
3.19787e-008,0.3221
3.20173e-008,0.3224
3.20558e-008,0.3224
3.20944e-008,0.3224
3.21330e-008,0.3225
3.21715e-008,0.3225
3.22101e-008,0.3221
3.22487e-008,0.3218
3.22873e-008,0.3219
3.23259e-008,0.3220
3.23644e-008,0.3219
3.24030e-008,0.3218
3.24416e-008,0.3219
3.24801e-008,0.3219
3.25187e-008,0.3219
3.25573e-008,0.3220
3.25959e-008,0.3220
3.26344e-008,0.3219
3.26730e-008,0.3219
3.27116e-008,0.3219
3.27502e-008,0.3219
