.HEADER
..NAMES
Time,V U2.L3
.DATA
1.94377e-008,0.3165
1.94744e-008,0.3201
1.95111e-008,0.3241
1.95478e-008,0.3276
1.95844e-008,0.3303
1.96211e-008,0.3334
1.96578e-008,0.3395
1.96945e-008,0.3531
1.97312e-008,0.3788
1.97678e-008,0.4206
1.98045e-008,0.4803
1.98412e-008,0.5570
1.98779e-008,0.6472
1.99145e-008,0.7435
1.99512e-008,0.8367
1.99879e-008,0.9179
2.00245e-008,0.9805
2.00612e-008,1.0214
2.00979e-008,1.0419
2.01346e-008,1.0459
2.01712e-008,1.0395
2.02079e-008,1.0294
2.02446e-008,1.0224
2.02813e-008,1.0228
2.03179e-008,1.0315
2.03546e-008,1.0459
2.03913e-008,1.0617
2.04280e-008,1.0751
2.04647e-008,1.0839
2.05013e-008,1.0878
2.05380e-008,1.0876
2.05747e-008,1.0842
2.06114e-008,1.0782
2.06480e-008,1.0687
2.06847e-008,1.0531
2.07214e-008,1.0275
2.07580e-008,0.9873
2.07947e-008,0.9272
2.08314e-008,0.8457
2.08681e-008,0.7472
2.09047e-008,0.6409
2.09414e-008,0.5384
2.09781e-008,0.4509
2.10148e-008,0.3866
2.10515e-008,0.3492
2.10881e-008,0.3381
2.11248e-008,0.3485
2.11615e-008,0.3711
2.11982e-008,0.3948
2.12348e-008,0.4099
2.12715e-008,0.4114
2.13082e-008,0.4003
2.13448e-008,0.3816
2.13815e-008,0.3613
2.14182e-008,0.3440
2.14549e-008,0.3329
2.14915e-008,0.3304
2.15282e-008,0.3381
2.15649e-008,0.3571
2.16016e-008,0.3876
2.16383e-008,0.4292
2.16749e-008,0.4820
2.17116e-008,0.5481
2.17483e-008,0.6293
2.17850e-008,0.7230
2.18216e-008,0.8211
2.18583e-008,0.9126
2.18950e-008,0.9874
2.19316e-008,1.0393
2.19683e-008,1.0666
2.20050e-008,1.0714
2.20417e-008,1.0582
2.20783e-008,1.0348
2.21150e-008,1.0118
2.21517e-008,0.9989
2.21884e-008,1.0010
2.22251e-008,1.0165
2.22617e-008,1.0389
2.22984e-008,1.0608
2.23351e-008,1.0774
2.23718e-008,1.0869
2.24084e-008,1.0892
2.24451e-008,1.0851
2.24818e-008,1.0762
2.25184e-008,1.0640
2.25551e-008,1.0485
2.25918e-008,1.0278
2.26285e-008,0.9969
2.26651e-008,0.9481
2.27018e-008,0.8765
2.27385e-008,0.7839
2.27752e-008,0.6782
2.28119e-008,0.5711
2.28485e-008,0.4749
2.28852e-008,0.3995
2.29219e-008,0.3509
2.29586e-008,0.3310
2.29952e-008,0.3368
2.30319e-008,0.3597
2.30686e-008,0.3873
2.31052e-008,0.4082
2.31419e-008,0.4152
2.31786e-008,0.4078
2.32153e-008,0.3904
2.32519e-008,0.3692
2.32886e-008,0.3493
2.33253e-008,0.3349
2.33620e-008,0.3289
2.33987e-008,0.3338
2.34353e-008,0.3509
2.34720e-008,0.3803
2.35087e-008,0.4213
2.35454e-008,0.4733
2.35820e-008,0.5378
2.36187e-008,0.6168
2.36554e-008,0.7087
2.36920e-008,0.8060
2.37287e-008,0.8986
2.37654e-008,0.9762
2.38021e-008,1.0320
2.38387e-008,1.0637
2.38754e-008,1.0726
2.39121e-008,1.0627
2.39488e-008,1.0410
2.39855e-008,1.0176
2.40221e-008,1.0022
2.40588e-008,1.0010
2.40955e-008,1.0135
2.41322e-008,1.0341
2.41688e-008,1.0557
2.42055e-008,1.0731
2.42422e-008,1.0839
2.42788e-008,1.0875
2.43155e-008,1.0845
2.43522e-008,1.0771
2.43889e-008,1.0694
2.44255e-008,1.0658
2.44622e-008,1.0688
2.44989e-008,1.0774
2.45356e-008,1.0878
2.45723e-008,1.0957
2.46089e-008,1.0992
2.46456e-008,1.0988
2.46823e-008,1.0959
2.47190e-008,1.0919
2.47556e-008,1.0878
2.47923e-008,1.0852
2.48290e-008,1.0856
2.48657e-008,1.0894
2.49023e-008,1.0955
2.49390e-008,1.1012
2.49757e-008,1.1044
2.50123e-008,1.1042
2.50490e-008,1.1018
2.50857e-008,1.0986
2.51224e-008,1.0958
2.51590e-008,1.0936
2.51957e-008,1.0924
2.52324e-008,1.0925
2.52691e-008,1.0932
2.53058e-008,1.0925
2.53424e-008,1.0865
2.53791e-008,1.0701
2.54158e-008,1.0399
2.54525e-008,0.9936
2.54891e-008,0.9296
2.55258e-008,0.8487
2.55625e-008,0.7546
2.55991e-008,0.6543
2.56358e-008,0.5568
2.56725e-008,0.4719
2.57092e-008,0.4068
2.57458e-008,0.3648
2.57825e-008,0.3456
2.58192e-008,0.3457
2.58559e-008,0.3586
2.58926e-008,0.3759
2.59292e-008,0.3896
2.59659e-008,0.3942
2.60026e-008,0.3886
2.60393e-008,0.3752
2.60759e-008,0.3587
2.61126e-008,0.3434
2.61493e-008,0.3326
2.61859e-008,0.3278
2.62226e-008,0.3290
2.62593e-008,0.3345
2.62960e-008,0.3412
2.63326e-008,0.3456
2.63693e-008,0.3458
2.64060e-008,0.3419
2.64427e-008,0.3362
2.64794e-008,0.3312
2.65160e-008,0.3284
2.65527e-008,0.3280
2.65894e-008,0.3295
2.66261e-008,0.3317
2.66627e-008,0.3335
2.66994e-008,0.3336
2.67361e-008,0.3312
2.67727e-008,0.3264
2.68094e-008,0.3204
2.68461e-008,0.3156
2.68828e-008,0.3135
2.69194e-008,0.3147
2.69561e-008,0.3182
2.69928e-008,0.3226
2.70295e-008,0.3265
2.70662e-008,0.3290
2.71028e-008,0.3297
2.71395e-008,0.3289
2.71762e-008,0.3270
2.72129e-008,0.3253
2.72495e-008,0.3249
2.72862e-008,0.3265
2.73229e-008,0.3299
2.73595e-008,0.3341
2.73962e-008,0.3375
2.74329e-008,0.3393
2.74696e-008,0.3389
2.75062e-008,0.3367
2.75429e-008,0.3334
2.75796e-008,0.3298
2.76163e-008,0.3268
2.76530e-008,0.3252
2.76896e-008,0.3252
2.77263e-008,0.3267
2.77630e-008,0.3290
2.77997e-008,0.3312
2.78363e-008,0.3327
2.78730e-008,0.3332
2.79097e-008,0.3328
2.79463e-008,0.3318
2.79830e-008,0.3307
2.80197e-008,0.3296
2.80564e-008,0.3290
2.80930e-008,0.3288
2.81297e-008,0.3290
2.81664e-008,0.3294
2.82031e-008,0.3299
2.82398e-008,0.3303
2.82764e-008,0.3305
