.HEADER
..NAMES
Time,V U3.L2
.DATA
1.83008e-008,0.4488
1.83375e-008,0.4400
1.83742e-008,0.4170
1.84108e-008,0.3840
1.84475e-008,0.3482
1.84842e-008,0.3180
1.85209e-008,0.2998
1.85576e-008,0.2974
1.85942e-008,0.3118
1.86309e-008,0.3417
1.86676e-008,0.3856
1.87043e-008,0.4415
1.87409e-008,0.5068
1.87776e-008,0.5787
1.88143e-008,0.6559
1.88509e-008,0.7373
1.88876e-008,0.8179
1.89243e-008,0.8903
1.89610e-008,0.9478
1.89976e-008,0.9861
1.90343e-008,1.0032
1.90710e-008,1.0017
1.91077e-008,0.9892
1.91444e-008,0.9751
1.91810e-008,0.9676
1.92177e-008,0.9720
1.92544e-008,0.9898
1.92911e-008,1.0184
1.93277e-008,1.0523
1.93644e-008,1.0843
1.94011e-008,1.1069
1.94377e-008,1.1150
1.94744e-008,1.1086
1.95111e-008,1.0921
1.95478e-008,1.0720
1.95844e-008,1.0532
1.96211e-008,1.0359
1.96578e-008,1.0151
1.96945e-008,0.9853
1.97312e-008,0.9410
1.97678e-008,0.8773
1.98045e-008,0.7932
1.98412e-008,0.6953
1.98779e-008,0.5948
1.99145e-008,0.5037
1.99512e-008,0.4338
1.99879e-008,0.3939
2.00245e-008,0.3853
2.00612e-008,0.4008
2.00979e-008,0.4282
2.01346e-008,0.4535
2.01712e-008,0.4647
2.02079e-008,0.4561
2.02446e-008,0.4289
2.02813e-008,0.3891
2.03179e-008,0.3466
2.03546e-008,0.3123
2.03913e-008,0.2934
2.04280e-008,0.2929
2.04647e-008,0.3099
2.05013e-008,0.3412
2.05380e-008,0.3834
2.05747e-008,0.4344
2.06114e-008,0.4923
2.06480e-008,0.5560
2.06847e-008,0.6263
2.07214e-008,0.7046
2.07580e-008,0.7876
2.07947e-008,0.8677
2.08314e-008,0.9360
2.08681e-008,0.9856
2.09047e-008,1.0115
2.09414e-008,1.0143
2.09781e-008,1.0008
2.10148e-008,0.9816
