.HEADER
..NAMES
Time,V U2.T8
.DATA
1.83375e-008,0.3351
1.83742e-008,0.3469
1.84108e-008,0.3664
1.84475e-008,0.3874
1.84842e-008,0.4042
1.85209e-008,0.4121
1.85576e-008,0.4091
1.85942e-008,0.3961
1.86309e-008,0.3761
1.86676e-008,0.3531
1.87043e-008,0.3314
1.87409e-008,0.3155
1.87776e-008,0.3076
1.88143e-008,0.3074
1.88509e-008,0.3132
1.88876e-008,0.3233
1.89243e-008,0.3351
1.89610e-008,0.3455
1.89976e-008,0.3517
1.90343e-008,0.3522
1.90710e-008,0.3470
1.91077e-008,0.3380
1.91444e-008,0.3280
1.91810e-008,0.3194
1.92177e-008,0.3137
1.92544e-008,0.3114
1.92911e-008,0.3120
1.93277e-008,0.3145
1.93644e-008,0.3176
1.94011e-008,0.3203
1.94377e-008,0.3220
1.94744e-008,0.3224
1.95111e-008,0.3213
1.95478e-008,0.3195
1.95844e-008,0.3179
1.96211e-008,0.3176
1.96578e-008,0.3189
1.96945e-008,0.3222
1.97312e-008,0.3270
1.97678e-008,0.3322
1.98045e-008,0.3365
1.98412e-008,0.3388
1.98779e-008,0.3389
1.99145e-008,0.3369
1.99512e-008,0.3338
1.99879e-008,0.3304
2.00245e-008,0.3276
2.00612e-008,0.3258
2.00979e-008,0.3254
2.01346e-008,0.3262
2.01712e-008,0.3276
2.02079e-008,0.3294
2.02446e-008,0.3308
2.02813e-008,0.3315
2.03179e-008,0.3311
2.03546e-008,0.3297
2.03913e-008,0.3279
2.04280e-008,0.3263
2.04647e-008,0.3256
2.05013e-008,0.3263
2.05380e-008,0.3292
2.05747e-008,0.3356
2.06114e-008,0.3477
2.06480e-008,0.3677
2.06847e-008,0.3971
2.07214e-008,0.4365
2.07580e-008,0.4871
2.07947e-008,0.5505
2.08314e-008,0.6264
2.08681e-008,0.7105
2.09047e-008,0.7956
2.09414e-008,0.8760
2.09781e-008,0.9475
2.10148e-008,1.0058
2.10515e-008,1.0468
2.10881e-008,1.0690
2.11248e-008,1.0746
2.11615e-008,1.0678
2.11982e-008,1.0537
2.12348e-008,1.0381
2.12715e-008,1.0261
2.13082e-008,1.0213
2.13448e-008,1.0256
2.13815e-008,1.0381
2.14182e-008,1.0559
2.14549e-008,1.0752
2.14915e-008,1.0923
2.15282e-008,1.1028
2.15649e-008,1.1021
2.16016e-008,1.0867
2.16383e-008,1.0562
2.16749e-008,1.0127
2.17116e-008,0.9569
2.17483e-008,0.8870
2.17850e-008,0.8041
2.18216e-008,0.7151
2.18583e-008,0.6278
2.18950e-008,0.5461
2.19316e-008,0.4727
2.19683e-008,0.4119
2.20050e-008,0.3683
2.20417e-008,0.3434
2.20783e-008,0.3359
2.21150e-008,0.3428
2.21517e-008,0.3592
2.21884e-008,0.3793
2.22251e-008,0.3973
2.22617e-008,0.4084
2.22984e-008,0.4095
2.23351e-008,0.4005
2.23718e-008,0.3835
2.24084e-008,0.3620
2.24451e-008,0.3400
2.24818e-008,0.3218
2.25184e-008,0.3106
2.25551e-008,0.3071
2.25918e-008,0.3101
2.26285e-008,0.3183
2.26651e-008,0.3295
