.HEADER
..NAMES
Time,V U5.F7
.DATA
2.49966e-008,0.8716
2.50352e-008,0.9467
2.50737e-008,1.0059
2.51123e-008,1.0491
2.51509e-008,1.0796
2.51895e-008,1.1022
2.52281e-008,1.1195
2.52666e-008,1.1297
2.53052e-008,1.1376
2.53438e-008,1.1464
2.53824e-008,1.1558
2.54209e-008,1.1639
2.54595e-008,1.1704
2.54981e-008,1.1745
2.55367e-008,1.1746
2.55752e-008,1.1740
2.56138e-008,1.1756
2.56524e-008,1.1800
2.56909e-008,1.1784
2.57295e-008,1.1620
2.57681e-008,1.1132
2.58067e-008,1.0261
2.58452e-008,0.9209
2.58838e-008,0.8090
2.59224e-008,0.6956
2.59610e-008,0.5933
2.59995e-008,0.5101
2.60381e-008,0.4506
2.60767e-008,0.4071
2.61153e-008,0.3731
2.61539e-008,0.3702
2.61924e-008,0.3930
2.62310e-008,0.4496
2.62696e-008,0.5372
2.63082e-008,0.6454
2.63467e-008,0.7456
2.63853e-008,0.8356
2.64239e-008,0.9165
2.64625e-008,0.9839
2.65010e-008,1.0340
2.65396e-008,1.0721
2.65782e-008,1.1180
2.66167e-008,1.1398
2.66553e-008,1.1476
2.66939e-008,1.1278
2.67325e-008,1.0701
2.67710e-008,0.9807
2.68096e-008,0.8742
2.68482e-008,0.7577
2.68868e-008,0.6468
2.69254e-008,0.5501
2.69639e-008,0.4758
2.70025e-008,0.4262
2.70411e-008,0.3931
2.70797e-008,0.3712
2.71182e-008,0.3585
2.71568e-008,0.3542
2.71954e-008,0.3490
2.72340e-008,0.3429
2.72725e-008,0.3365
2.73111e-008,0.3285
2.73497e-008,0.3215
2.73882e-008,0.3170
2.74268e-008,0.3146
2.74654e-008,0.3151
2.75040e-008,0.3190
2.75425e-008,0.3318
2.75811e-008,0.3630
2.76197e-008,0.4228
2.76583e-008,0.5121
2.76968e-008,0.6247
2.77354e-008,0.7357
2.77740e-008,0.8295
2.78126e-008,0.9113
2.78512e-008,0.9783
2.78897e-008,1.0287
2.79283e-008,1.0643
2.79669e-008,1.1035
2.80055e-008,1.1369
2.80440e-008,1.1464
2.80826e-008,1.1404
2.81212e-008,1.0991
2.81598e-008,1.0201
2.81983e-008,0.9206
2.82369e-008,0.8076
2.82755e-008,0.6934
2.83140e-008,0.5895
2.83526e-008,0.5041
2.83912e-008,0.4442
2.84298e-008,0.4046
2.84683e-008,0.3786
2.85069e-008,0.3618
2.85455e-008,0.3553
2.85841e-008,0.3518
2.86226e-008,0.3451
2.86612e-008,0.3393
2.86998e-008,0.3321
2.87384e-008,0.3241
2.87770e-008,0.3186
2.88155e-008,0.3153
2.88541e-008,0.3146
2.88927e-008,0.3165
2.89313e-008,0.3239
2.89698e-008,0.3451
2.90084e-008,0.3903
2.90470e-008,0.4663
2.90855e-008,0.5690
2.91241e-008,0.6854
2.91627e-008,0.7863
2.92013e-008,0.8739
2.92398e-008,0.9483
2.92784e-008,1.0068
2.93170e-008,1.0489
2.93556e-008,1.0832
2.93941e-008,1.1272
2.94327e-008,1.1427
2.94713e-008,1.1471
2.95099e-008,1.1241
2.95485e-008,1.0614
2.95870e-008,0.9696
2.96256e-008,0.8624
2.96642e-008,0.7467
2.97028e-008,0.6372
2.97413e-008,0.5417
2.97799e-008,0.4693
2.98185e-008,0.4204
2.98570e-008,0.3809
2.98956e-008,0.3680
2.99342e-008,0.3813
2.99728e-008,0.4290
3.00113e-008,0.5054
3.00499e-008,0.6092
3.00885e-008,0.7146
3.01271e-008,0.8083
3.01657e-008,0.8927
3.02042e-008,0.9639
3.02428e-008,1.0188
3.02814e-008,1.0582
3.03199e-008,1.0863
3.03585e-008,1.1074
3.03971e-008,1.1231
3.04357e-008,1.1320
3.04743e-008,1.1399
3.05128e-008,1.1490
3.05514e-008,1.1583
3.05900e-008,1.1658
3.06285e-008,1.1720
3.06671e-008,1.1750
3.07057e-008,1.1746
3.07443e-008,1.1742
3.07829e-008,1.1772
3.08214e-008,1.1805
3.08600e-008,1.1764
3.08986e-008,1.1533
3.09372e-008,1.0938
3.09757e-008,0.9996
3.10143e-008,0.8926
3.10529e-008,0.7791
3.10914e-008,0.6677
3.11300e-008,0.5696
3.11686e-008,0.4923
3.12072e-008,0.4388
3.12458e-008,0.4020
3.12843e-008,0.3771
3.13229e-008,0.3624
3.13615e-008,0.3554
3.14000e-008,0.3508
3.14386e-008,0.3456
3.14772e-008,0.3393
3.15158e-008,0.3310
3.15544e-008,0.3225
3.15929e-008,0.3180
3.16315e-008,0.3163
3.16701e-008,0.3161
3.17087e-008,0.3175
3.17472e-008,0.3201
3.17858e-008,0.3233
3.18244e-008,0.3254
3.18629e-008,0.3258
3.19015e-008,0.3258
3.19401e-008,0.3259
3.19787e-008,0.3254
3.20173e-008,0.3239
3.20558e-008,0.3228
3.20944e-008,0.3222
3.21330e-008,0.3219
3.21715e-008,0.3223
3.22101e-008,0.3228
3.22487e-008,0.3231
3.22873e-008,0.3232
3.23259e-008,0.3232
3.23644e-008,0.3232
3.24030e-008,0.3230
3.24416e-008,0.3226
3.24801e-008,0.3224
3.25187e-008,0.3225
3.25573e-008,0.3224
3.25959e-008,0.3223
3.26344e-008,0.3222
3.26730e-008,0.3224
3.27116e-008,0.3225
3.27502e-008,0.3225
3.27888e-008,0.3225
3.28273e-008,0.3225
3.28659e-008,0.3224
3.29045e-008,0.3223
3.29430e-008,0.3223
3.29816e-008,0.3223
3.30202e-008,0.3222
3.30588e-008,0.3222
3.30974e-008,0.3223
3.31359e-008,0.3222
3.31745e-008,0.3222
3.32131e-008,0.3222
3.32516e-008,0.3222
3.32902e-008,0.3222
3.33288e-008,0.3222
3.33674e-008,0.3221
3.34060e-008,0.3221
