.HEADER
..NAMES
Time,V U3.N8
.DATA
1.85576e-008,0.3220
1.85942e-008,0.3228
1.86309e-008,0.3328
1.86676e-008,0.3579
1.87043e-008,0.4022
1.87409e-008,0.4662
1.87776e-008,0.5469
1.88143e-008,0.6385
1.88509e-008,0.7323
1.88876e-008,0.8171
1.89243e-008,0.8832
1.89610e-008,0.9258
1.89976e-008,0.9468
1.90343e-008,0.9518
1.90710e-008,0.9478
1.91077e-008,0.9432
1.91444e-008,0.9456
1.91810e-008,0.9590
1.92177e-008,0.9825
1.92544e-008,1.0112
1.92911e-008,1.0389
1.93277e-008,1.0606
1.93644e-008,1.0738
1.94011e-008,1.0785
1.94377e-008,1.0766
1.94744e-008,1.0721
1.95111e-008,1.0697
1.95478e-008,1.0715
1.95844e-008,1.0751
1.96211e-008,1.0733
1.96578e-008,1.0572
1.96945e-008,1.0202
1.97312e-008,0.9592
1.97678e-008,0.8747
1.98045e-008,0.7727
1.98412e-008,0.6664
1.98779e-008,0.5723
1.99145e-008,0.5022
1.99512e-008,0.4603
1.99879e-008,0.4454
2.00245e-008,0.4514
2.00612e-008,0.4676
2.00979e-008,0.4818
2.01346e-008,0.4844
2.01712e-008,0.4719
2.02079e-008,0.4467
2.02446e-008,0.4155
2.02813e-008,0.3860
2.03179e-008,0.3637
2.03546e-008,0.3516
2.03913e-008,0.3499
2.04280e-008,0.3551
2.04647e-008,0.3611
2.05013e-008,0.3627
2.05380e-008,0.3578
2.05747e-008,0.3473
2.06114e-008,0.3340
2.06480e-008,0.3218
2.06847e-008,0.3146
2.07214e-008,0.3144
2.07580e-008,0.3208
2.07947e-008,0.3305
2.08314e-008,0.3395
2.08681e-008,0.3442
2.09047e-008,0.3431
2.09414e-008,0.3367
2.09781e-008,0.3270
2.10148e-008,0.3170
2.10515e-008,0.3096
2.10881e-008,0.3070
2.11248e-008,0.3094
2.11615e-008,0.3149
2.11982e-008,0.3210
2.12348e-008,0.3256
2.12715e-008,0.3273
2.13082e-008,0.3259
2.13448e-008,0.3223
2.13815e-008,0.3181
2.14182e-008,0.3152
2.14549e-008,0.3152
2.14915e-008,0.3184
2.15282e-008,0.3241
2.15649e-008,0.3309
2.16016e-008,0.3372
2.16383e-008,0.3416
2.16749e-008,0.3432
2.17116e-008,0.3418
2.17483e-008,0.3380
2.17850e-008,0.3333
2.18216e-008,0.3292
2.18583e-008,0.3263
2.18950e-008,0.3251
2.19316e-008,0.3257
2.19683e-008,0.3279
2.20050e-008,0.3308
2.20417e-008,0.3334
2.20783e-008,0.3351
2.21150e-008,0.3355
2.21517e-008,0.3348
2.21884e-008,0.3334
2.22251e-008,0.3317
2.22617e-008,0.3301
2.22984e-008,0.3291
2.23351e-008,0.3290
2.23718e-008,0.3297
2.24084e-008,0.3307
2.24451e-008,0.3316
2.24818e-008,0.3321
2.25184e-008,0.3320
2.25551e-008,0.3313
2.25918e-008,0.3302
2.26285e-008,0.3292
2.26651e-008,0.3285
2.27018e-008,0.3286
2.27385e-008,0.3293
2.27752e-008,0.3304
2.28119e-008,0.3315
2.28485e-008,0.3322
2.28852e-008,0.3324
2.29219e-008,0.3319
2.29586e-008,0.3308
2.29952e-008,0.3296
2.30319e-008,0.3285
2.30686e-008,0.3281
2.31052e-008,0.3282
2.31419e-008,0.3289
2.31786e-008,0.3298
2.32153e-008,0.3309
2.32519e-008,0.3324
2.32886e-008,0.3359
2.33253e-008,0.3447
2.33620e-008,0.3636
2.33987e-008,0.3972
2.34353e-008,0.4483
2.34720e-008,0.5164
2.35087e-008,0.5984
2.35454e-008,0.6882
2.35820e-008,0.7762
2.36187e-008,0.8518
2.36554e-008,0.9074
2.36920e-008,0.9415
2.37287e-008,0.9566
2.37654e-008,0.9582
2.38021e-008,0.9537
2.38387e-008,0.9513
2.38754e-008,0.9570
2.39121e-008,0.9729
2.39488e-008,0.9965
2.39855e-008,1.0230
2.40221e-008,1.0469
2.40588e-008,1.0646
2.40955e-008,1.0746
2.41322e-008,1.0771
2.41688e-008,1.0746
2.42055e-008,1.0712
2.42422e-008,1.0702
2.42788e-008,1.0731
2.43155e-008,1.0792
2.43522e-008,1.0866
2.43889e-008,1.0930
2.44255e-008,1.0962
2.44622e-008,1.0956
2.44989e-008,1.0918
2.45356e-008,1.0871
2.45723e-008,1.0839
2.46089e-008,1.0839
2.46456e-008,1.0875
2.46823e-008,1.0938
2.47190e-008,1.1009
2.47556e-008,1.1068
2.47923e-008,1.1101
2.48290e-008,1.1099
2.48657e-008,1.1069
2.49023e-008,1.1028
2.49390e-008,1.0992
2.49757e-008,1.0975
2.50123e-008,1.0981
2.50490e-008,1.1006
2.50857e-008,1.1038
2.51224e-008,1.1064
2.51590e-008,1.1071
2.51957e-008,1.1057
2.52324e-008,1.1025
2.52691e-008,1.0985
2.53058e-008,1.0949
2.53424e-008,1.0927
2.53791e-008,1.0922
2.54158e-008,1.0934
2.54525e-008,1.0953
2.54891e-008,1.0970
2.55258e-008,1.0976
2.55625e-008,1.0971
2.55991e-008,1.0955
2.56358e-008,1.0935
2.56725e-008,1.0919
2.57092e-008,1.0913
2.57458e-008,1.0918
2.57825e-008,1.0931
2.58192e-008,1.0944
2.58559e-008,1.0953
2.58926e-008,1.0954
2.59292e-008,1.0946
2.59659e-008,1.0931
2.60026e-008,1.0916
2.60393e-008,1.0909
2.60759e-008,1.0912
2.61126e-008,1.0921
2.61493e-008,1.0914
2.61859e-008,1.0846
2.62226e-008,1.0660
2.62593e-008,1.0307
2.62960e-008,0.9761
2.63326e-008,0.9020
2.63693e-008,0.8118
2.64060e-008,0.7140
2.64427e-008,0.6206
2.64794e-008,0.5420
2.65160e-008,0.4852
2.65527e-008,0.4526
2.65894e-008,0.4421
2.66261e-008,0.4465
2.66627e-008,0.4562
2.66994e-008,0.4622
2.67361e-008,0.4587
2.67727e-008,0.4437
2.68094e-008,0.4199
2.68461e-008,0.3926
2.68828e-008,0.3676
2.69194e-008,0.3493
2.69561e-008,0.3400
2.69928e-008,0.3394
2.70295e-008,0.3457
2.70662e-008,0.3580
2.71028e-008,0.3783
2.71395e-008,0.4105
2.71762e-008,0.4584
2.72129e-008,0.5233
2.72495e-008,0.6044
2.72862e-008,0.6971
2.73229e-008,0.7919
2.73595e-008,0.8752
2.73962e-008,0.9357
2.74329e-008,0.9694
2.74696e-008,0.9785
2.75062e-008,0.9696
2.75429e-008,0.9525
2.75796e-008,0.9386
2.76163e-008,0.9371
2.76530e-008,0.9515
2.76896e-008,0.9791
2.77263e-008,1.0123
2.77630e-008,1.0429
2.77997e-008,1.0646
2.78363e-008,1.0747
2.78730e-008,1.0737
2.79097e-008,1.0657
2.79463e-008,1.0569
2.79830e-008,1.0530
2.80197e-008,1.0554
2.80564e-008,1.0590
2.80930e-008,1.0549
2.81297e-008,1.0341
2.81664e-008,0.9901
2.82031e-008,0.9199
2.82398e-008,0.8261
2.82764e-008,0.7192
2.83131e-008,0.6156
2.83498e-008,0.5304
2.83865e-008,0.4723
2.84231e-008,0.4436
2.84598e-008,0.4407
2.84965e-008,0.4543
2.85331e-008,0.4720
2.85698e-008,0.4822
2.86065e-008,0.4783
2.86432e-008,0.4596
2.86798e-008,0.4310
2.87165e-008,0.4002
2.87532e-008,0.3739
2.87899e-008,0.3566
2.88266e-008,0.3499
2.88632e-008,0.3522
2.88999e-008,0.3594
2.89366e-008,0.3683
2.89733e-008,0.3800
2.90099e-008,0.3997
2.90466e-008,0.4335
2.90833e-008,0.4858
2.91199e-008,0.5579
2.91566e-008,0.6477
2.91933e-008,0.7468
2.92300e-008,0.8410
2.92666e-008,0.9156
2.93033e-008,0.9627
2.93400e-008,0.9820
2.93767e-008,0.9787
2.94133e-008,0.9619
2.94500e-008,0.9436
2.94867e-008,0.9351
2.95234e-008,0.9426
2.95601e-008,0.9657
2.95967e-008,0.9982
2.96334e-008,1.0311
2.96701e-008,1.0569
2.97068e-008,1.0716
2.97434e-008,1.0747
2.97801e-008,1.0687
2.98168e-008,1.0596
2.98534e-008,1.0537
2.98901e-008,1.0541
2.99268e-008,1.0574
2.99635e-008,1.0555
3.00002e-008,1.0391
3.00368e-008,1.0011
3.00735e-008,0.9374
3.01102e-008,0.8488
3.01469e-008,0.7436
3.01835e-008,0.6374
3.02202e-008,0.5463
3.02569e-008,0.4809
3.02935e-008,0.4451
3.03302e-008,0.4367
3.03669e-008,0.4479
3.04036e-008,0.4666
3.04403e-008,0.4807
3.04769e-008,0.4817
3.05136e-008,0.4671
3.05503e-008,0.4406
3.05869e-008,0.4095
3.06236e-008,0.3809
3.06603e-008,0.3602
3.06970e-008,0.3501
3.07336e-008,0.3499
3.07703e-008,0.3562
3.08070e-008,0.3653
3.08437e-008,0.3769
3.08804e-008,0.3949
3.09170e-008,0.4254
3.09537e-008,0.4729
3.09904e-008,0.5396
3.10270e-008,0.6245
3.10637e-008,0.7214
3.11004e-008,0.8176
3.11371e-008,0.8980
3.11738e-008,0.9527
3.12104e-008,0.9795
3.12471e-008,0.9820
3.12838e-008,0.9681
3.13205e-008,0.9489
3.13571e-008,0.9363
3.13938e-008,0.9383
3.14305e-008,0.9566
3.14671e-008,0.9867
3.15038e-008,1.0200
3.15405e-008,1.0487
3.15772e-008,1.0674
3.16139e-008,1.0744
3.16505e-008,1.0711
3.16872e-008,1.0621
3.17239e-008,1.0539
3.17605e-008,1.0518
3.17972e-008,1.0573
3.18339e-008,1.0688
3.18706e-008,1.0829
3.19072e-008,1.0956
3.19439e-008,1.1034
3.19806e-008,1.1049
3.20173e-008,1.1008
3.20540e-008,1.0939
3.20906e-008,1.0879
3.21273e-008,1.0854
3.21640e-008,1.0873
3.22006e-008,1.0925
3.22373e-008,1.0992
3.22740e-008,1.1053
3.23107e-008,1.1091
3.23474e-008,1.1096
3.23840e-008,1.1073
3.24207e-008,1.1039
3.24574e-008,1.1010
3.24941e-008,1.0999
3.25307e-008,1.1007
3.25674e-008,1.1029
3.26041e-008,1.1053
3.26407e-008,1.1067
3.26774e-008,1.1062
3.27141e-008,1.1034
3.27508e-008,1.0988
3.27875e-008,1.0933
3.28241e-008,1.0881
3.28608e-008,1.0841
3.28975e-008,1.0820
3.29341e-008,1.0820
3.29708e-008,1.0839
3.30075e-008,1.0871
3.30442e-008,1.0904
3.30808e-008,1.0930
3.31175e-008,1.0947
3.31542e-008,1.0954
3.31909e-008,1.0948
3.32276e-008,1.0932
3.32642e-008,1.0909
3.33009e-008,1.0888
3.33376e-008,1.0873
3.33742e-008,1.0867
3.34109e-008,1.0869
3.34476e-008,1.0878
3.34843e-008,1.0892
3.35210e-008,1.0908
3.35576e-008,1.0921
3.35943e-008,1.0926
3.36310e-008,1.0923
3.36677e-008,1.0915
3.37043e-008,1.0905
3.37410e-008,1.0896
3.37777e-008,1.0892
3.38143e-008,1.0893
3.38510e-008,1.0899
3.38877e-008,1.0908
3.39244e-008,1.0914
3.39611e-008,1.0917
3.39977e-008,1.0915
3.40344e-008,1.0910
3.40711e-008,1.0904
3.41077e-008,1.0898
3.41444e-008,1.0897
3.41811e-008,1.0899
3.42178e-008,1.0906
3.42545e-008,1.0914
3.42911e-008,1.0920
3.43278e-008,1.0922
3.43645e-008,1.0921
3.44012e-008,1.0917
3.44378e-008,1.0911
3.44745e-008,1.0906
3.45112e-008,1.0904
3.45478e-008,1.0905
3.45845e-008,1.0910
