.HEADER
..NAMES
Time,V U5.A3
.DATA
2.25278e-008,1.1567
2.25664e-008,1.1643
2.26050e-008,1.1702
2.26435e-008,1.1716
2.26821e-008,1.1701
2.27207e-008,1.1690
2.27593e-008,1.1693
2.27978e-008,1.1708
2.28364e-008,1.1727
2.28750e-008,1.1738
2.29136e-008,1.1743
2.29521e-008,1.1749
2.29907e-008,1.1753
2.30293e-008,1.1754
2.30678e-008,1.1760
2.31064e-008,1.1769
2.31450e-008,1.1772
2.31836e-008,1.1769
2.32221e-008,1.1768
2.32607e-008,1.1774
2.32993e-008,1.1801
2.33379e-008,1.1835
2.33764e-008,1.1786
2.34150e-008,1.1485
2.34536e-008,1.0758
2.34922e-008,0.9647
2.35308e-008,0.8427
2.35693e-008,0.7296
2.36079e-008,0.6288
2.36465e-008,0.5436
2.36851e-008,0.4785
2.37236e-008,0.4315
2.37622e-008,0.3937
2.38008e-008,0.3699
2.38394e-008,0.3732
2.38779e-008,0.4161
2.39165e-008,0.4987
2.39551e-008,0.6135
2.39936e-008,0.7327
2.40322e-008,0.8321
2.40708e-008,0.9099
2.41094e-008,0.9729
2.41479e-008,1.0229
2.41865e-008,1.0640
2.42251e-008,1.1092
2.42637e-008,1.1487
2.43023e-008,1.1674
2.43408e-008,1.1549
2.43794e-008,1.1055
2.44180e-008,1.0080
2.44566e-008,0.8858
2.44951e-008,0.7654
2.45337e-008,0.6548
2.45723e-008,0.5609
2.46109e-008,0.4914
2.46494e-008,0.4405
2.46880e-008,0.4042
2.47266e-008,0.3804
2.47651e-008,0.3615
2.48037e-008,0.3458
2.48423e-008,0.3358
2.48809e-008,0.3288
2.49194e-008,0.3215
2.49580e-008,0.3174
2.49966e-008,0.3176
2.50352e-008,0.3198
2.50737e-008,0.3221
2.51123e-008,0.3242
2.51509e-008,0.3256
2.51895e-008,0.3298
2.52281e-008,0.3458
2.52666e-008,0.3858
2.53052e-008,0.4614
2.53438e-008,0.5724
2.53824e-008,0.6967
2.54209e-008,0.8028
2.54595e-008,0.8809
2.54981e-008,0.9425
2.55367e-008,0.9958
2.55752e-008,1.0407
2.56138e-008,1.0822
2.56524e-008,1.1275
2.56909e-008,1.1597
2.57295e-008,1.1624
2.57681e-008,1.1316
2.58067e-008,1.0541
2.58452e-008,0.9398
2.58838e-008,0.8176
2.59224e-008,0.7039
2.59610e-008,0.6005
2.59995e-008,0.5200
2.60381e-008,0.4620
2.60767e-008,0.4186
2.61153e-008,0.3836
2.61539e-008,0.3665
2.61924e-008,0.3768
2.62310e-008,0.4246
2.62696e-008,0.5133
2.63082e-008,0.6321
2.63467e-008,0.7514
2.63853e-008,0.8484
2.64239e-008,0.9237
2.64625e-008,0.9831
2.65010e-008,1.0314
2.65396e-008,1.0706
2.65782e-008,1.0999
2.66167e-008,1.1193
2.66553e-008,1.1341
2.66939e-008,1.1453
2.67325e-008,1.1532
2.67710e-008,1.1605
2.68096e-008,1.1677
2.68482e-008,1.1715
2.68868e-008,1.1712
2.69254e-008,1.1693
2.69639e-008,1.1685
2.70025e-008,1.1696
2.70411e-008,1.1717
2.70797e-008,1.1731
2.71182e-008,1.1738
2.71568e-008,1.1744
2.71954e-008,1.1750
2.72340e-008,1.1751
2.72725e-008,1.1754
2.73111e-008,1.1763
2.73497e-008,1.1770
2.73882e-008,1.1769
2.74268e-008,1.1766
2.74654e-008,1.1766
2.75040e-008,1.1771
2.75425e-008,1.1775
2.75811e-008,1.1776
2.76197e-008,1.1774
2.76583e-008,1.1774
2.76968e-008,1.1774
2.77354e-008,1.1773
2.77740e-008,1.1773
2.78126e-008,1.1774
2.78512e-008,1.1776
2.78897e-008,1.1775
2.79283e-008,1.1774
2.79669e-008,1.1774
2.80055e-008,1.1775
2.80440e-008,1.1776
2.80826e-008,1.1775
2.81212e-008,1.1775
2.81598e-008,1.1775
2.81983e-008,1.1775
2.82369e-008,1.1775
2.82755e-008,1.1775
2.83140e-008,1.1775
2.83526e-008,1.1776
2.83912e-008,1.1776
2.84298e-008,1.1776
2.84683e-008,1.1776
2.85069e-008,1.1776
2.85455e-008,1.1776
2.85841e-008,1.1776
2.86226e-008,1.1776
2.86612e-008,1.1776
2.86998e-008,1.1776
2.87384e-008,1.1776
2.87770e-008,1.1776
2.88155e-008,1.1776
2.88541e-008,1.1777
2.88927e-008,1.1777
2.89313e-008,1.1777
2.89698e-008,1.1777
2.90084e-008,1.1777
2.90470e-008,1.1777
2.90855e-008,1.1777
2.91241e-008,1.1777
2.91627e-008,1.1777
2.92013e-008,1.1777
2.92398e-008,1.1777
2.92784e-008,1.1777
2.93170e-008,1.1777
2.93556e-008,1.1777
2.93941e-008,1.1777
2.94327e-008,1.1777
2.94713e-008,1.1777
2.95099e-008,1.1777
2.95485e-008,1.1777
2.95870e-008,1.1777
2.96256e-008,1.1777
2.96642e-008,1.1777
2.97028e-008,1.1777
2.97413e-008,1.1777
