.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
3.02814e-008,0.8004
3.03199e-008,0.8940
3.03585e-008,0.9737
3.03971e-008,1.0356
3.04357e-008,1.0794
3.04743e-008,1.1162
3.05128e-008,1.1446
3.05514e-008,1.1568
3.05900e-008,1.1521
3.06285e-008,1.1143
3.06671e-008,1.0337
3.07057e-008,0.9273
3.07443e-008,0.8080
3.07829e-008,0.6861
3.08214e-008,0.5773
3.08600e-008,0.4899
3.08986e-008,0.4268
3.09372e-008,0.3829
3.09757e-008,0.3592
3.10143e-008,0.3629
3.10529e-008,0.3945
3.10914e-008,0.4584
3.11300e-008,0.5539
3.11686e-008,0.6641
3.12072e-008,0.7688
3.12458e-008,0.8657
3.12843e-008,0.9502
3.13229e-008,1.0181
3.13615e-008,1.0672
3.14000e-008,1.1046
3.14386e-008,1.1379
3.14772e-008,1.1545
3.15158e-008,1.1563
3.15544e-008,1.1311
3.15929e-008,1.0632
3.16315e-008,0.9626
3.16701e-008,0.8467
3.17087e-008,0.7238
3.17472e-008,0.6096
3.17858e-008,0.5150
3.18244e-008,0.4441
3.18629e-008,0.3951
3.19015e-008,0.3636
3.19401e-008,0.3587
3.19787e-008,0.3812
3.20173e-008,0.4345
3.20558e-008,0.5208
3.20944e-008,0.6294
3.21330e-008,0.7364
3.21715e-008,0.8361
3.22101e-008,0.9252
3.22487e-008,0.9986
3.22873e-008,1.0536
3.23259e-008,1.0930
3.23644e-008,1.1293
3.24030e-008,1.1508
3.24416e-008,1.1578
3.24801e-008,1.1433
3.25187e-008,1.0894
3.25573e-008,0.9965
3.25959e-008,0.8847
3.26344e-008,0.7625
3.26730e-008,0.6439
3.27116e-008,0.5424
3.27502e-008,0.4638
3.27888e-008,0.4088
3.28273e-008,0.3708
3.28659e-008,0.3573
3.29045e-008,0.3709
3.29430e-008,0.4139
3.29816e-008,0.4901
3.30202e-008,0.5942
3.30588e-008,0.7034
3.30974e-008,0.8055
3.31359e-008,0.8985
3.31745e-008,0.9773
3.32131e-008,1.0383
3.32516e-008,1.0814
3.32902e-008,1.1189
3.33288e-008,1.1459
3.33674e-008,1.1572
3.34060e-008,1.1514
3.34445e-008,1.1114
3.34831e-008,1.0288
3.35217e-008,0.9216
3.35603e-008,0.8015
3.35988e-008,0.6800
3.36374e-008,0.5722
3.36760e-008,0.4860
3.37145e-008,0.4242
3.37531e-008,0.3815
3.37917e-008,0.3590
3.38303e-008,0.3640
3.38689e-008,0.3971
3.39074e-008,0.4627
3.39460e-008,0.5595
3.39846e-008,0.6696
3.40231e-008,0.7739
3.40617e-008,0.8703
3.41003e-008,0.9541
3.41389e-008,1.0211
3.41775e-008,1.0693
3.42160e-008,1.1074
3.42546e-008,1.1397
3.42932e-008,1.1552
3.43318e-008,1.1560
3.43703e-008,1.1289
3.44089e-008,1.0588
3.44475e-008,0.9571
3.44860e-008,0.8404
3.45246e-008,0.7175
3.45632e-008,0.6042
3.46018e-008,0.5108
3.46404e-008,0.4412
3.46789e-008,0.3933
3.47175e-008,0.3630
3.47561e-008,0.3594
3.47946e-008,0.3833
3.48332e-008,0.4383
3.48718e-008,0.5261
3.49104e-008,0.6351
3.49490e-008,0.7417
3.49875e-008,0.8410
3.50261e-008,0.9293
3.50647e-008,1.0019
3.51032e-008,1.0560
3.51418e-008,1.0954
3.51804e-008,1.1316
3.52190e-008,1.1518
3.52575e-008,1.1578
3.52961e-008,1.1419
3.53347e-008,1.0856
3.53733e-008,0.9912
3.54119e-008,0.8786
3.54504e-008,0.7561
3.54890e-008,0.6382
3.55276e-008,0.5379
3.55661e-008,0.4606
3.56047e-008,0.4067
3.56433e-008,0.3698
3.56819e-008,0.3576
3.57205e-008,0.3726
3.57590e-008,0.4172
3.57976e-008,0.4950
3.58362e-008,0.5999
3.58747e-008,0.7087
3.59133e-008,0.8105
3.59519e-008,0.9029
3.59905e-008,0.9809
3.60290e-008,1.0409
3.60676e-008,1.0831
3.61062e-008,1.1199
3.61448e-008,1.1465
3.61834e-008,1.1572
3.62219e-008,1.1501
3.62605e-008,1.1080
3.62991e-008,1.0236
3.63376e-008,0.9157
3.63762e-008,0.7954
3.64148e-008,0.6741
3.64534e-008,0.5673
3.64920e-008,0.4823
3.65305e-008,0.4216
3.65691e-008,0.3793
3.66077e-008,0.3583
3.66462e-008,0.3648
3.66848e-008,0.3995
3.67234e-008,0.4669
3.67620e-008,0.5650
3.68006e-008,0.6751
3.68391e-008,0.7791
3.68777e-008,0.8750
3.69163e-008,0.9580
3.69549e-008,1.0239
3.69934e-008,1.0712
3.70320e-008,1.1085
3.70706e-008,1.1403
3.71091e-008,1.1554
3.71477e-008,1.1553
3.71863e-008,1.1262
3.72249e-008,1.0540
3.72635e-008,0.9513
3.73020e-008,0.8342
3.73406e-008,0.7115
3.73792e-008,0.5989
3.74177e-008,0.5066
3.74563e-008,0.4383
3.74949e-008,0.3909
3.75335e-008,0.3619
3.75721e-008,0.3598
3.76106e-008,0.3851
3.76492e-008,0.4419
3.76878e-008,0.5313
3.77263e-008,0.6407
3.77649e-008,0.7470
3.78035e-008,0.8458
3.78421e-008,0.9335
3.78806e-008,1.0051
3.79192e-008,1.0582
3.79578e-008,1.0968
3.79964e-008,1.1323
3.80350e-008,1.1522
3.80735e-008,1.1575
3.81121e-008,1.1399
3.81507e-008,1.0813
3.81892e-008,0.9857
3.82278e-008,0.8725
3.82664e-008,0.7499
3.83050e-008,0.6326
3.83436e-008,0.5333
3.83821e-008,0.4572
3.84207e-008,0.4042
3.84593e-008,0.3682
3.84978e-008,0.3575
3.85364e-008,0.3739
3.85750e-008,0.4202
3.86136e-008,0.4997
3.86521e-008,0.6056
3.86907e-008,0.7141
3.87293e-008,0.8156
3.87679e-008,0.9073
3.88065e-008,0.9844
3.88450e-008,1.0435
3.88836e-008,1.0852
3.89222e-008,1.1225
3.89607e-008,1.1477
3.89993e-008,1.1576
3.90379e-008,1.1493
3.90765e-008,1.1048
3.91151e-008,1.0186
3.91536e-008,0.9098
3.91922e-008,0.7889
3.92308e-008,0.6681
3.92693e-008,0.5623
3.93079e-008,0.4786
3.93465e-008,0.4191
3.93851e-008,0.3781
3.94237e-008,0.3583
3.94622e-008,0.3660
3.95008e-008,0.4023
3.95394e-008,0.4713
3.95780e-008,0.5706
3.96165e-008,0.6806
3.96551e-008,0.7842
3.96937e-008,0.8796
3.97322e-008,0.9618
3.97708e-008,1.0269
3.98094e-008,1.0734
3.98480e-008,1.1112
3.98866e-008,1.1419
3.99251e-008,1.1560
3.99637e-008,1.1549
4.00023e-008,1.1238
4.00408e-008,1.0495
4.00794e-008,0.9457
4.01180e-008,0.8279
4.01566e-008,0.7052
4.01952e-008,0.5936
4.02337e-008,0.5026
4.02723e-008,0.4355
4.03109e-008,0.3893
4.03494e-008,0.3614
4.03880e-008,0.3606
4.04266e-008,0.3874
4.04652e-008,0.4458
4.05037e-008,0.5367
4.05423e-008,0.6464
4.05809e-008,0.7522
4.06195e-008,0.8506
4.06581e-008,0.9376
4.06966e-008,1.0083
4.07352e-008,1.0604
4.07738e-008,1.0993
4.08123e-008,1.1344
4.08509e-008,1.1531
4.08895e-008,1.1575
4.09281e-008,1.1382
4.09667e-008,1.0774
4.10052e-008,0.9804
4.10438e-008,0.8663
4.10824e-008,0.7435
4.11209e-008,0.6270
4.11595e-008,0.5289
4.11981e-008,0.4540
