.HEADER
..NAMES
Time,V U5.B8
.DATA
3.52961e-008,1.1692
3.53347e-008,1.1741
3.53733e-008,1.1745
3.54119e-008,1.1719
3.54504e-008,1.1701
3.54890e-008,1.1740
3.55276e-008,1.1802
3.55661e-008,1.1798
3.56047e-008,1.1586
3.56433e-008,1.0961
3.56819e-008,0.9852
3.57205e-008,0.8542
3.57590e-008,0.7343
3.57976e-008,0.6322
3.58362e-008,0.5450
3.58747e-008,0.4792
3.59133e-008,0.4373
3.59519e-008,0.4051
3.59905e-008,0.3775
3.60290e-008,0.3724
3.60676e-008,0.4081
3.61062e-008,0.4861
3.61448e-008,0.5981
3.61834e-008,0.7216
3.62219e-008,0.8244
3.62605e-008,0.8988
3.62991e-008,0.9585
3.63376e-008,1.0116
3.63762e-008,1.0511
3.64148e-008,1.0898
3.64534e-008,1.1342
3.64920e-008,1.1659
3.65305e-008,1.1610
3.65691e-008,1.1155
3.66077e-008,1.0296
3.66462e-008,0.9108
3.66848e-008,0.7849
3.67234e-008,0.6717
3.67620e-008,0.5765
3.68006e-008,0.4986
3.68391e-008,0.4467
3.68777e-008,0.4127
3.69163e-008,0.3841
3.69549e-008,0.3689
3.69934e-008,0.3917
3.70320e-008,0.4568
3.70706e-008,0.5541
3.71091e-008,0.6739
3.71477e-008,0.7892
3.71863e-008,0.8765
3.72249e-008,0.9391
3.72635e-008,0.9934
3.73020e-008,1.0384
3.73406e-008,1.0718
3.73792e-008,1.0967
3.74177e-008,1.1193
3.74563e-008,1.1348
3.74949e-008,1.1415
3.75335e-008,1.1465
3.75721e-008,1.1551
3.76106e-008,1.1639
3.76492e-008,1.1706
3.76878e-008,1.1747
3.77263e-008,1.1742
3.77649e-008,1.1713
3.78035e-008,1.1704
3.78421e-008,1.1753
3.78806e-008,1.1810
3.79192e-008,1.1779
3.79578e-008,1.1496
3.79964e-008,1.0766
3.80350e-008,0.9582
3.80735e-008,0.8276
3.81121e-008,0.7116
3.81507e-008,0.6127
3.81892e-008,0.5292
3.82278e-008,0.4688
3.82664e-008,0.4306
3.83050e-008,0.3981
3.83436e-008,0.3727
3.83821e-008,0.3758
3.84207e-008,0.4216
3.84593e-008,0.5068
3.84978e-008,0.6243
3.85364e-008,0.7457
3.85750e-008,0.8422
3.86136e-008,0.9117
3.86521e-008,0.9704
3.86907e-008,1.0211
3.87293e-008,1.0581
3.87679e-008,1.0986
3.88065e-008,1.1436
3.88450e-008,1.1687
3.88836e-008,1.1546
3.89222e-008,1.1015
3.89607e-008,1.0067
3.89993e-008,0.8841
3.90379e-008,0.7597
3.90765e-008,0.6506
3.91151e-008,0.5585
3.91536e-008,0.4857
3.91922e-008,0.4387
3.92308e-008,0.4104
3.92693e-008,0.3873
3.93079e-008,0.3660
3.93465e-008,0.3545
3.93851e-008,0.3484
3.94237e-008,0.3410
3.94622e-008,0.3322
3.95008e-008,0.3260
3.95394e-008,0.3214
3.95780e-008,0.3192
3.96165e-008,0.3196
3.96551e-008,0.3216
3.96937e-008,0.3237
3.97322e-008,0.3297
3.97708e-008,0.3478
3.98094e-008,0.3890
3.98480e-008,0.4651
3.98866e-008,0.5790
3.99251e-008,0.7101
3.99637e-008,0.8208
4.00023e-008,0.8972
4.00408e-008,0.9535
4.00794e-008,1.0033
4.01180e-008,1.0433
4.01566e-008,1.0730
4.01952e-008,1.0966
