.HEADER
..NAMES
Time,V U4.M3
.DATA
2.99268e-008,0.9392
2.99635e-008,0.8386
3.00002e-008,0.7295
3.00368e-008,0.6284
3.00735e-008,0.5496
3.01102e-008,0.4984
3.01469e-008,0.4727
3.01835e-008,0.4653
3.02202e-008,0.4668
3.02569e-008,0.4685
3.02935e-008,0.4660
3.03302e-008,0.4598
3.03669e-008,0.4529
3.04036e-008,0.4480
3.04403e-008,0.4469
3.04769e-008,0.4488
3.05136e-008,0.4505
3.05503e-008,0.4483
3.05869e-008,0.4394
3.06236e-008,0.4233
3.06603e-008,0.4020
3.06970e-008,0.3809
3.07336e-008,0.3700
3.07703e-008,0.3821
3.08070e-008,0.4273
3.08437e-008,0.5077
3.08804e-008,0.6134
3.09170e-008,0.7265
3.09537e-008,0.8269
3.09904e-008,0.8988
3.10270e-008,0.9371
3.10637e-008,0.9479
3.11004e-008,0.9434
3.11371e-008,0.9359
3.11738e-008,0.9347
3.12104e-008,0.9430
3.12471e-008,0.9573
3.12838e-008,0.9712
3.13205e-008,0.9794
3.13571e-008,0.9799
3.13938e-008,0.9748
3.14305e-008,0.9692
3.14671e-008,0.9686
3.15038e-008,0.9769
3.15405e-008,0.9942
3.15772e-008,1.0179
3.16139e-008,1.0436
3.16505e-008,1.0665
3.16872e-008,1.0821
3.17239e-008,1.0882
3.17605e-008,1.0857
3.17972e-008,1.0782
3.18339e-008,1.0708
3.18706e-008,1.0682
3.19072e-008,1.0723
3.19439e-008,1.0817
3.19806e-008,1.0924
3.20173e-008,1.1004
3.20540e-008,1.1030
3.20906e-008,1.1002
3.21273e-008,1.0944
3.21640e-008,1.0889
3.22006e-008,1.0866
3.22373e-008,1.0886
3.22740e-008,1.0939
3.23107e-008,1.1004
3.23474e-008,1.1053
3.23840e-008,1.1071
3.24207e-008,1.1055
3.24574e-008,1.1018
3.24941e-008,1.0976
3.25307e-008,1.0944
3.25674e-008,1.0926
3.26041e-008,1.0920
3.26407e-008,1.0921
3.26774e-008,1.0923
3.27141e-008,1.0921
3.27508e-008,1.0912
3.27875e-008,1.0898
3.28241e-008,1.0884
3.28608e-008,1.0876
3.28975e-008,1.0879
3.29341e-008,1.0894
3.29708e-008,1.0917
3.30075e-008,1.0939
3.30442e-008,1.0952
3.30808e-008,1.0952
3.31175e-008,1.0939
3.31542e-008,1.0919
3.31909e-008,1.0902
3.32276e-008,1.0893
3.32642e-008,1.0895
3.33009e-008,1.0905
3.33376e-008,1.0916
3.33742e-008,1.0921
3.34109e-008,1.0916
3.34476e-008,1.0905
3.34843e-008,1.0891
3.35210e-008,1.0883
3.35576e-008,1.0883
3.35943e-008,1.0892
3.36310e-008,1.0904
3.36677e-008,1.0914
3.37043e-008,1.0918
3.37410e-008,1.0915
3.37777e-008,1.0907
3.38143e-008,1.0898
3.38510e-008,1.0890
3.38877e-008,1.0887
3.39244e-008,1.0889
3.39611e-008,1.0895
3.39977e-008,1.0903
3.40344e-008,1.0909
3.40711e-008,1.0911
3.41077e-008,1.0908
3.41444e-008,1.0902
3.41811e-008,1.0895
3.42178e-008,1.0891
3.42545e-008,1.0890
3.42911e-008,1.0894
3.43278e-008,1.0902
3.43645e-008,1.0912
3.44012e-008,1.0925
3.44378e-008,1.0939
3.44745e-008,1.0941
3.45112e-008,1.0893
3.45478e-008,1.0722
3.45845e-008,1.0342
3.46212e-008,0.9703
3.46579e-008,0.8819
3.46946e-008,0.7773
3.47312e-008,0.6709
3.47679e-008,0.5784
3.48046e-008,0.5108
3.48412e-008,0.4714
3.48779e-008,0.4565
3.49146e-008,0.4573
3.49513e-008,0.4629
3.49879e-008,0.4656
3.50246e-008,0.4623
3.50613e-008,0.4539
3.50980e-008,0.4441
3.51347e-008,0.4366
3.51713e-008,0.4334
3.52080e-008,0.4333
3.52447e-008,0.4332
3.52813e-008,0.4294
3.53180e-008,0.4194
3.53547e-008,0.4029
3.53914e-008,0.3816
3.54281e-008,0.3595
3.54647e-008,0.3410
3.55014e-008,0.3299
3.55381e-008,0.3276
3.55748e-008,0.3328
3.56114e-008,0.3415
3.56481e-008,0.3488
3.56848e-008,0.3509
3.57214e-008,0.3466
3.57581e-008,0.3375
3.57948e-008,0.3270
3.58315e-008,0.3189
3.58682e-008,0.3155
3.59048e-008,0.3170
3.59415e-008,0.3216
3.59782e-008,0.3262
3.60148e-008,0.3285
3.60515e-008,0.3273
3.60882e-008,0.3233
3.61249e-008,0.3182
3.61615e-008,0.3143
3.61982e-008,0.3129
3.62349e-008,0.3145
3.62716e-008,0.3182
3.63083e-008,0.3226
3.63449e-008,0.3265
3.63816e-008,0.3289
3.64183e-008,0.3297
3.64549e-008,0.3292
3.64916e-008,0.3283
3.65283e-008,0.3277
3.65650e-008,0.3279
3.66017e-008,0.3289
3.66383e-008,0.3302
3.66750e-008,0.3312
3.67117e-008,0.3311
3.67484e-008,0.3298
3.67850e-008,0.3277
3.68217e-008,0.3255
3.68584e-008,0.3241
3.68950e-008,0.3239
3.69317e-008,0.3250
3.69684e-008,0.3268
3.70051e-008,0.3286
3.70418e-008,0.3296
3.70784e-008,0.3297
3.71151e-008,0.3289
3.71518e-008,0.3280
3.71884e-008,0.3276
3.72251e-008,0.3289
3.72618e-008,0.3344
3.72985e-008,0.3487
3.73351e-008,0.3783
3.73718e-008,0.4291
3.74085e-008,0.5027
3.74452e-008,0.5934
3.74819e-008,0.6902
3.75185e-008,0.7802
3.75552e-008,0.8520
3.75919e-008,0.9003
3.76285e-008,0.9266
3.76652e-008,0.9378
3.77019e-008,0.9414
3.77386e-008,0.9444
3.77753e-008,0.9505
3.78119e-008,0.9599
3.78486e-008,0.9698
3.78853e-008,0.9777
3.79220e-008,0.9821
3.79586e-008,0.9835
3.79953e-008,0.9844
3.80320e-008,0.9879
3.80686e-008,0.9965
3.81053e-008,1.0107
3.81420e-008,1.0296
3.81787e-008,1.0507
3.82154e-008,1.0696
3.82520e-008,1.0792
3.82887e-008,1.0693
3.83254e-008,1.0305
3.83620e-008,0.9596
3.83987e-008,0.8625
3.84354e-008,0.7519
3.84721e-008,0.6452
3.85088e-008,0.5588
3.85454e-008,0.5011
3.85821e-008,0.4714
3.86188e-008,0.4630
3.86555e-008,0.4658
3.86921e-008,0.4698
3.87288e-008,0.4689
3.87655e-008,0.4628
3.88021e-008,0.4545
3.88388e-008,0.4477
3.88755e-008,0.4448
3.89122e-008,0.4461
3.89489e-008,0.4489
3.89855e-008,0.4488
3.90222e-008,0.4424
3.90589e-008,0.4285
3.90955e-008,0.4079
3.91322e-008,0.3833
3.91689e-008,0.3589
3.92056e-008,0.3395
