.HEADER
..NAMES
Time,V U3.K3
.DATA
2.63693e-008,0.8411
2.64060e-008,0.7339
2.64427e-008,0.6313
2.64794e-008,0.5472
2.65160e-008,0.4901
2.65527e-008,0.4618
2.65894e-008,0.4566
2.66261e-008,0.4636
2.66627e-008,0.4715
2.66994e-008,0.4719
2.67361e-008,0.4615
2.67727e-008,0.4420
2.68094e-008,0.4187
2.68461e-008,0.3974
2.68828e-008,0.3819
2.69194e-008,0.3733
2.69561e-008,0.3702
2.69928e-008,0.3697
2.70295e-008,0.3692
2.70662e-008,0.3680
2.71028e-008,0.3690
2.71395e-008,0.3781
2.71762e-008,0.4039
2.72129e-008,0.4535
2.72495e-008,0.5287
2.72862e-008,0.6239
2.73229e-008,0.7273
2.73595e-008,0.8232
2.73962e-008,0.8978
2.74329e-008,0.9439
2.74696e-008,0.9619
2.75062e-008,0.9592
2.75429e-008,0.9481
2.75796e-008,0.9406
2.76163e-008,0.9445
2.76530e-008,0.9611
2.76896e-008,0.9865
2.77263e-008,1.0135
2.77630e-008,1.0351
2.77997e-008,1.0476
2.78363e-008,1.0512
2.78730e-008,1.0492
2.79097e-008,1.0461
2.79463e-008,1.0458
2.79830e-008,1.0503
2.80197e-008,1.0588
2.80564e-008,1.0694
2.80930e-008,1.0795
2.81297e-008,1.0866
2.81664e-008,1.0897
2.82031e-008,1.0892
2.82398e-008,1.0866
2.82764e-008,1.0841
2.83131e-008,1.0835
2.83498e-008,1.0856
2.83865e-008,1.0898
2.84231e-008,1.0945
2.84598e-008,1.0983
2.84965e-008,1.1001
2.85331e-008,1.0997
2.85698e-008,1.0977
2.86065e-008,1.0954
2.86432e-008,1.0943
2.86798e-008,1.0951
2.87165e-008,1.0975
2.87532e-008,1.1006
2.87899e-008,1.1030
2.88266e-008,1.1038
2.88632e-008,1.1028
2.88999e-008,1.1004
2.89366e-008,1.0978
2.89733e-008,1.0956
2.90099e-008,1.0944
2.90466e-008,1.0939
2.90833e-008,1.0934
2.91199e-008,1.0926
2.91566e-008,1.0913
2.91933e-008,1.0898
2.92300e-008,1.0885
2.92666e-008,1.0879
2.93033e-008,1.0883
2.93400e-008,1.0896
2.93767e-008,1.0913
2.94133e-008,1.0927
2.94500e-008,1.0935
2.94867e-008,1.0933
2.95234e-008,1.0923
2.95601e-008,1.0910
2.95967e-008,1.0899
2.96334e-008,1.0893
2.96701e-008,1.0892
2.97068e-008,1.0898
2.97434e-008,1.0907
2.97801e-008,1.0916
2.98168e-008,1.0925
2.98534e-008,1.0932
2.98901e-008,1.0936
2.99268e-008,1.0920
2.99635e-008,1.0846
3.00002e-008,1.0652
3.00368e-008,1.0271
3.00735e-008,0.9662
3.01102e-008,0.8830
3.01469e-008,0.7841
3.01835e-008,0.6814
3.02202e-008,0.5884
3.02569e-008,0.5166
3.02935e-008,0.4720
3.03302e-008,0.4536
3.03669e-008,0.4539
3.04036e-008,0.4618
3.04403e-008,0.4671
3.04769e-008,0.4629
