.HEADER
..NAMES
Time,V U3.A7
.DATA
3.35988e-008,0.3239
3.36374e-008,0.3175
3.36760e-008,0.3161
3.37145e-008,0.3169
3.37531e-008,0.3189
3.37917e-008,0.3211
3.38303e-008,0.3230
3.38689e-008,0.3244
3.39074e-008,0.3242
3.39460e-008,0.3231
3.39846e-008,0.3228
3.40231e-008,0.3222
3.40617e-008,0.3209
3.41003e-008,0.3205
3.41389e-008,0.3210
3.41775e-008,0.3212
3.42160e-008,0.3212
3.42546e-008,0.3212
3.42932e-008,0.3210
3.43318e-008,0.3229
3.43703e-008,0.3325
3.44089e-008,0.3608
3.44475e-008,0.4237
3.44860e-008,0.5238
3.45246e-008,0.6467
3.45632e-008,0.7619
3.46018e-008,0.8469
3.46404e-008,0.9190
3.46789e-008,0.9822
3.47175e-008,1.0334
3.47561e-008,1.0693
3.47946e-008,1.0940
3.48332e-008,1.1113
3.48718e-008,1.1244
3.49104e-008,1.1377
3.49490e-008,1.1513
3.49875e-008,1.1635
3.50261e-008,1.1697
3.50647e-008,1.1689
3.51032e-008,1.1677
3.51418e-008,1.1694
3.51804e-008,1.1716
3.52190e-008,1.1724
3.52575e-008,1.1745
3.52961e-008,1.1809
3.53347e-008,1.1810
3.53733e-008,1.1628
3.54119e-008,1.1058
3.54504e-008,1.0024
3.54890e-008,0.8834
3.55276e-008,0.7712
3.55661e-008,0.6635
3.56047e-008,0.5688
3.56433e-008,0.4942
3.56819e-008,0.4415
3.57205e-008,0.4058
3.57590e-008,0.3816
3.57976e-008,0.3652
3.58362e-008,0.3538
3.58747e-008,0.3431
3.59133e-008,0.3302
3.59519e-008,0.3211
3.59905e-008,0.3187
3.60290e-008,0.3186
3.60676e-008,0.3185
3.61062e-008,0.3194
3.61448e-008,0.3216
3.61834e-008,0.3233
3.62219e-008,0.3241
3.62605e-008,0.3240
3.62991e-008,0.3237
3.63376e-008,0.3229
3.63762e-008,0.3213
3.64148e-008,0.3205
3.64534e-008,0.3211
3.64920e-008,0.3216
3.65305e-008,0.3212
3.65691e-008,0.3210
