.HEADER
..NAMES
Time,V U3.G2
.DATA
2.08691e-008,0.3235
2.09077e-008,0.3232
2.09462e-008,0.3232
2.09848e-008,0.3229
2.10234e-008,0.3223
2.10620e-008,0.3221
2.11005e-008,0.3221
2.11391e-008,0.3215
2.11777e-008,0.3211
2.12163e-008,0.3211
2.12548e-008,0.3211
2.12934e-008,0.3211
2.13320e-008,0.3212
2.13705e-008,0.3211
2.14091e-008,0.3212
2.14477e-008,0.3212
2.14863e-008,0.3210
2.15248e-008,0.3210
2.15634e-008,0.3211
2.16020e-008,0.3210
2.16406e-008,0.3210
2.16791e-008,0.3210
2.17177e-008,0.3209
2.17563e-008,0.3210
2.17949e-008,0.3210
2.18335e-008,0.3209
2.18720e-008,0.3209
2.19106e-008,0.3209
2.19492e-008,0.3209
2.19878e-008,0.3209
2.20263e-008,0.3209
2.20649e-008,0.3208
2.21035e-008,0.3209
2.21420e-008,0.3208
2.21806e-008,0.3208
2.22192e-008,0.3208
2.22578e-008,0.3208
2.22963e-008,0.3208
2.23349e-008,0.3208
2.23735e-008,0.3208
2.24121e-008,0.3208
2.24506e-008,0.3208
2.24892e-008,0.3208
2.25278e-008,0.3208
2.25664e-008,0.3209
2.26050e-008,0.3229
2.26435e-008,0.3318
2.26821e-008,0.3578
2.27207e-008,0.4148
2.27593e-008,0.5083
2.27978e-008,0.6284
2.28364e-008,0.7458
2.28750e-008,0.8385
2.29136e-008,0.9080
2.29521e-008,0.9665
2.29907e-008,1.0181
2.30293e-008,1.0606
2.30678e-008,1.0922
2.31064e-008,1.1141
2.31450e-008,1.1310
2.31836e-008,1.1434
2.32221e-008,1.1516
2.32607e-008,1.1590
2.32993e-008,1.1654
2.33379e-008,1.1681
2.33764e-008,1.1673
2.34150e-008,1.1661
2.34536e-008,1.1671
2.34922e-008,1.1702
2.35308e-008,1.1727
2.35693e-008,1.1732
2.36079e-008,1.1734
2.36465e-008,1.1741
2.36851e-008,1.1746
2.37236e-008,1.1749
2.37622e-008,1.1754
2.38008e-008,1.1762
2.38394e-008,1.1769
2.38779e-008,1.1768
2.39165e-008,1.1766
2.39551e-008,1.1770
2.39936e-008,1.1786
2.40322e-008,1.1817
2.40708e-008,1.1829
2.41094e-008,1.1707
2.41479e-008,1.1262
2.41865e-008,1.0376
2.42251e-008,0.9205
2.42637e-008,0.8014
2.43023e-008,0.6932
2.43408e-008,0.5982
2.43794e-008,0.5196
2.44180e-008,0.4590
2.44566e-008,0.4175
2.44951e-008,0.3886
2.45337e-008,0.3652
2.45723e-008,0.3480
2.46109e-008,0.3376
2.46494e-008,0.3298
2.46880e-008,0.3230
2.47266e-008,0.3191
2.47651e-008,0.3193
2.48037e-008,0.3227
2.48423e-008,0.3253
2.48809e-008,0.3254
2.49194e-008,0.3255
2.49580e-008,0.3285
2.49966e-008,0.3396
2.50352e-008,0.3705
2.50737e-008,0.4352
2.51123e-008,0.5366
2.51509e-008,0.6591
2.51895e-008,0.7715
2.52281e-008,0.8569
2.52666e-008,0.9228
2.53052e-008,0.9796
2.53438e-008,1.0292
2.53824e-008,1.0689
2.54209e-008,1.0978
2.54595e-008,1.1185
