.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
2.48809e-008,0.3589
2.49194e-008,0.3654
2.49580e-008,0.3999
2.49966e-008,0.4671
2.50352e-008,0.5655
2.50737e-008,0.6755
2.51123e-008,0.7792
2.51509e-008,0.8750
2.51895e-008,0.9580
2.52281e-008,1.0242
2.52666e-008,1.0716
2.53052e-008,1.1095
2.53438e-008,1.1419
2.53824e-008,1.1569
2.54209e-008,1.1565
2.54595e-008,1.1272
2.54981e-008,1.0544
2.55367e-008,0.9512
2.55752e-008,0.8338
2.56138e-008,0.7111
2.56524e-008,0.5986
2.56909e-008,0.5063
2.57295e-008,0.4385
2.57681e-008,0.3921
2.58067e-008,0.3625
2.58452e-008,0.3604
2.58838e-008,0.3857
2.59224e-008,0.4421
2.59610e-008,0.5317
2.59995e-008,0.6411
2.60381e-008,0.7472
2.60767e-008,0.8459
2.61153e-008,0.9334
2.61539e-008,1.0052
2.61924e-008,1.0585
2.62310e-008,1.0975
2.62696e-008,1.1339
2.63082e-008,1.1537
2.63467e-008,1.1588
2.63853e-008,1.1410
2.64239e-008,1.0819
2.64625e-008,0.9857
2.65010e-008,0.8722
2.65396e-008,0.7495
2.65782e-008,0.6322
2.66167e-008,0.5330
2.66553e-008,0.4572
2.66939e-008,0.4051
2.67325e-008,0.3690
2.67710e-008,0.3581
2.68096e-008,0.3745
2.68482e-008,0.4205
2.68868e-008,0.5001
2.69254e-008,0.6061
2.69639e-008,0.7144
2.70025e-008,0.8156
2.70411e-008,0.9073
2.70797e-008,0.9844
2.71182e-008,1.0437
2.71568e-008,1.0852
2.71954e-008,1.1221
2.72340e-008,1.1486
2.72725e-008,1.1585
2.73111e-008,1.1500
2.73497e-008,1.1052
2.73882e-008,1.0185
2.74268e-008,0.9095
2.74654e-008,0.7887
2.75040e-008,0.6679
2.75425e-008,0.5620
2.75811e-008,0.4784
2.76197e-008,0.4194
2.76583e-008,0.3783
2.76968e-008,0.3584
2.77354e-008,0.3663
2.77740e-008,0.4024
2.78126e-008,0.4714
2.78512e-008,0.5710
2.78897e-008,0.6810
2.79283e-008,0.7844
2.79669e-008,0.8796
2.80055e-008,0.9618
2.80440e-008,1.0270
2.80826e-008,1.0735
2.81212e-008,1.1106
2.81598e-008,1.1425
2.81983e-008,1.1570
2.82369e-008,1.1557
2.82755e-008,1.1243
2.83140e-008,1.0494
2.83526e-008,0.9454
2.83912e-008,0.8277
2.84298e-008,0.7050
2.84683e-008,0.5933
2.85069e-008,0.5022
2.85455e-008,0.4356
2.85841e-008,0.3897
2.86226e-008,0.3615
2.86612e-008,0.3608
2.86998e-008,0.3875
2.87384e-008,0.4458
2.87770e-008,0.5370
2.88155e-008,0.6467
2.88541e-008,0.7524
2.88927e-008,0.8507
2.89313e-008,0.9375
2.89698e-008,1.0084
2.90084e-008,1.0607
2.90470e-008,1.0988
2.90855e-008,1.1346
2.91241e-008,1.1540
2.91627e-008,1.1584
2.92013e-008,1.1389
2.92398e-008,1.0775
2.92784e-008,0.9801
2.93170e-008,0.8661
2.93556e-008,0.7433
2.93941e-008,0.6267
2.94327e-008,0.5284
2.94713e-008,0.4539
2.95099e-008,0.4026
2.95485e-008,0.3674
2.95870e-008,0.3580
2.96256e-008,0.3759
2.96642e-008,0.4236
2.97028e-008,0.5049
2.97413e-008,0.6117
2.97799e-008,0.7198
2.98185e-008,0.8206
2.98570e-008,0.9116
2.98956e-008,0.9879
2.99342e-008,1.0462
2.99728e-008,1.0873
3.00113e-008,1.1248
3.00499e-008,1.1497
3.00885e-008,1.1589
3.01271e-008,1.1490
3.01657e-008,1.1019
3.02042e-008,1.0134
3.02428e-008,0.9036
3.02814e-008,0.7823
3.03199e-008,0.6620
3.03585e-008,0.5571
3.03971e-008,0.4747
3.04357e-008,0.4171
3.04743e-008,0.3771
3.05128e-008,0.3584
3.05514e-008,0.3676
3.05900e-008,0.4052
3.06285e-008,0.4759
3.06671e-008,0.5767
3.07057e-008,0.6865
3.07443e-008,0.7895
3.07829e-008,0.8842
3.08214e-008,0.9656
3.08600e-008,1.0299
3.08986e-008,1.0756
3.09372e-008,1.1134
3.09757e-008,1.1441
3.10143e-008,1.1576
3.10529e-008,1.1552
3.10914e-008,1.1218
3.11300e-008,1.0448
3.11686e-008,0.9398
3.12072e-008,0.8213
3.12458e-008,0.6988
3.12843e-008,0.5881
3.13229e-008,0.4982
3.13615e-008,0.4329
3.14000e-008,0.3881
3.14386e-008,0.3610
3.14772e-008,0.3617
3.15158e-008,0.3899
3.15544e-008,0.4498
3.15929e-008,0.5424
3.16315e-008,0.6523
3.16701e-008,0.7576
3.17087e-008,0.8554
3.17472e-008,0.9416
3.17858e-008,1.0116
3.18244e-008,1.0629
3.18629e-008,1.1014
3.19015e-008,1.1367
3.19401e-008,1.1549
3.19787e-008,1.1583
3.20173e-008,1.1370
3.20558e-008,1.0734
3.20944e-008,0.9747
3.21330e-008,0.8599
3.21715e-008,0.7369
3.22101e-008,0.6211
3.22487e-008,0.5241
3.22873e-008,0.4508
3.23259e-008,0.4007
3.23644e-008,0.3666
3.24030e-008,0.3585
3.24416e-008,0.3778
3.24801e-008,0.4271
3.25187e-008,0.5100
3.25573e-008,0.6175
3.25959e-008,0.7251
3.26344e-008,0.8255
3.26730e-008,0.9159
3.27116e-008,0.9914
3.27502e-008,1.0487
3.27888e-008,1.0895
3.28273e-008,1.1273
3.28659e-008,1.1508
3.29045e-008,1.1591
3.29430e-008,1.1478
3.29816e-008,1.0984
3.30202e-008,1.0082
3.30588e-008,0.8976
3.30974e-008,0.7758
3.31359e-008,0.6561
3.31745e-008,0.5524
3.32131e-008,0.4713
3.32516e-008,0.4147
3.32902e-008,0.3750
3.33288e-008,0.3580
3.33674e-008,0.3687
