.HEADER
..NAMES
Time,V U3.H8
.DATA
2.35308e-008,1.1048
2.35693e-008,1.1442
2.36079e-008,1.1653
2.36465e-008,1.1562
2.36851e-008,1.1062
2.37236e-008,1.0101
2.37622e-008,0.8903
2.38008e-008,0.7716
2.38394e-008,0.6613
2.38779e-008,0.5691
2.39165e-008,0.4973
2.39551e-008,0.4421
2.39936e-008,0.4004
2.40322e-008,0.3721
2.40708e-008,0.3628
2.41094e-008,0.3881
2.41479e-008,0.4541
2.41865e-008,0.5595
2.42251e-008,0.6845
2.42637e-008,0.7976
2.43023e-008,0.8856
2.43408e-008,0.9544
2.43794e-008,1.0097
2.44180e-008,1.0547
2.44566e-008,1.0975
2.44951e-008,1.1378
2.45337e-008,1.1649
2.45723e-008,1.1652
2.46109e-008,1.1317
2.46494e-008,1.0493
2.46880e-008,0.9330
2.47266e-008,0.8109
2.47651e-008,0.6956
2.48037e-008,0.5959
2.48423e-008,0.5173
2.48809e-008,0.4568
2.49194e-008,0.4140
2.49580e-008,0.3861
2.49966e-008,0.3638
2.50352e-008,0.3460
2.50737e-008,0.3348
2.51123e-008,0.3263
2.51509e-008,0.3198
2.51895e-008,0.3174
2.52281e-008,0.3181
2.52666e-008,0.3209
2.53052e-008,0.3242
2.53438e-008,0.3255
2.53824e-008,0.3255
2.54209e-008,0.3257
2.54595e-008,0.3253
2.54981e-008,0.3242
2.55367e-008,0.3235
2.55752e-008,0.3232
2.56138e-008,0.3230
2.56524e-008,0.3229
2.56909e-008,0.3226
2.57295e-008,0.3221
2.57681e-008,0.3220
2.58067e-008,0.3217
2.58452e-008,0.3212
2.58838e-008,0.3209
2.59224e-008,0.3209
2.59610e-008,0.3209
2.59995e-008,0.3210
2.60381e-008,0.3210
2.60767e-008,0.3210
2.61153e-008,0.3210
2.61539e-008,0.3210
2.61924e-008,0.3209
2.62310e-008,0.3209
2.62696e-008,0.3209
2.63082e-008,0.3210
2.63467e-008,0.3225
2.63853e-008,0.3297
2.64239e-008,0.3518
2.64625e-008,0.4018
2.65010e-008,0.4872
2.65396e-008,0.6014
2.65782e-008,0.7193
2.66167e-008,0.8175
2.66553e-008,0.8927
2.66939e-008,0.9555
2.67325e-008,1.0098
2.67710e-008,1.0545
2.68096e-008,1.0998
2.68482e-008,1.1404
2.68868e-008,1.1643
2.69254e-008,1.1583
2.69639e-008,1.1138
2.70025e-008,1.0219
2.70411e-008,0.9032
2.70797e-008,0.7839
2.71182e-008,0.6722
2.71568e-008,0.5778
2.71954e-008,0.5040
2.72340e-008,0.4471
2.72725e-008,0.4076
2.73111e-008,0.3812
2.73497e-008,0.3594
