.HEADER
..NAMES
Time,V U5.E3
.DATA
3.91922e-008,1.1742
3.92308e-008,1.1735
3.92693e-008,1.1731
3.93079e-008,1.1735
3.93465e-008,1.1738
3.93851e-008,1.1741
3.94237e-008,1.1747
3.94622e-008,1.1756
3.95008e-008,1.1763
3.95394e-008,1.1768
3.95780e-008,1.1770
3.96165e-008,1.1765
3.96551e-008,1.1761
3.96937e-008,1.1763
3.97322e-008,1.1765
3.97708e-008,1.1766
3.98094e-008,1.1766
3.98480e-008,1.1768
3.98866e-008,1.1769
3.99251e-008,1.1768
3.99637e-008,1.1769
4.00023e-008,1.1769
4.00408e-008,1.1769
4.00794e-008,1.1769
4.01180e-008,1.1769
4.01566e-008,1.1768
4.01952e-008,1.1768
4.02337e-008,1.1769
4.02723e-008,1.1769
4.03109e-008,1.1769
4.03494e-008,1.1769
4.03880e-008,1.1769
4.04266e-008,1.1769
4.04652e-008,1.1769
4.05037e-008,1.1769
4.05423e-008,1.1770
4.05809e-008,1.1770
4.06195e-008,1.1778
4.06581e-008,1.1813
4.06966e-008,1.1818
4.07352e-008,1.1683
4.07738e-008,1.1233
4.08123e-008,1.0380
4.08509e-008,0.9321
4.08895e-008,0.8207
4.09281e-008,0.7065
4.09667e-008,0.6024
4.10052e-008,0.5183
4.10438e-008,0.4573
4.10824e-008,0.4127
4.11209e-008,0.3770
4.11595e-008,0.3705
4.11981e-008,0.3896
4.12367e-008,0.4410
