.HEADER
..NAMES
Time,V U1.AD24
.DATA
3.16315e-008,1.1560
3.16701e-008,1.1641
3.17087e-008,1.1742
3.17472e-008,1.1776
3.17858e-008,1.1569
3.18244e-008,1.0824
3.18629e-008,0.9503
3.19015e-008,0.8022
3.19401e-008,0.6603
3.19787e-008,0.5334
3.20173e-008,0.4324
3.20558e-008,0.3635
3.20944e-008,0.3244
3.21330e-008,0.2979
3.21715e-008,0.2805
3.22101e-008,0.2932
3.22487e-008,0.3384
3.22873e-008,0.4262
3.23259e-008,0.5584
3.23644e-008,0.7153
3.24030e-008,0.8529
3.24416e-008,0.9718
3.24801e-008,1.0689
3.25187e-008,1.1383
3.25573e-008,1.1815
3.25959e-008,1.2124
3.26344e-008,1.2557
3.26730e-008,1.2640
3.27116e-008,1.2501
3.27502e-008,1.2001
3.27888e-008,1.0898
3.28273e-008,0.9327
3.28659e-008,0.7632
3.29045e-008,0.5981
3.29430e-008,0.4584
3.29816e-008,0.3616
3.30202e-008,0.3103
3.30588e-008,0.2882
3.30974e-008,0.2775
3.31359e-008,0.2717
3.31745e-008,0.2685
3.32131e-008,0.2629
3.32516e-008,0.2601
3.32902e-008,0.2637
3.33288e-008,0.2740
3.33674e-008,0.2910
3.34060e-008,0.3125
3.34445e-008,0.3324
3.34831e-008,0.3466
3.35217e-008,0.3533
3.35603e-008,0.3535
3.35988e-008,0.3479
3.36374e-008,0.3385
3.36760e-008,0.3286
3.37145e-008,0.3219
3.37531e-008,0.3183
3.37917e-008,0.3159
3.38303e-008,0.3150
3.38689e-008,0.3153
3.39074e-008,0.3163
3.39460e-008,0.3172
3.39846e-008,0.3175
3.40231e-008,0.3169
3.40617e-008,0.3157
3.41003e-008,0.3143
3.41389e-008,0.3133
3.41775e-008,0.3127
3.42160e-008,0.3124
3.42546e-008,0.3126
3.42932e-008,0.3135
3.43318e-008,0.3141
3.43703e-008,0.3143
3.44089e-008,0.3144
3.44475e-008,0.3146
3.44860e-008,0.3146
3.45246e-008,0.3145
3.45632e-008,0.3142
3.46018e-008,0.3141
3.46404e-008,0.3140
3.46789e-008,0.3140
3.47175e-008,0.3141
3.47561e-008,0.3142
3.47946e-008,0.3143
3.48332e-008,0.3144
3.48718e-008,0.3144
3.49104e-008,0.3144
3.49490e-008,0.3155
3.49875e-008,0.3227
3.50261e-008,0.3474
3.50647e-008,0.4084
3.51032e-008,0.5171
3.51418e-008,0.6639
3.51804e-008,0.8168
3.52190e-008,0.9316
3.52575e-008,1.0135
3.52961e-008,1.0721
3.53347e-008,1.1147
3.53733e-008,1.1454
3.54119e-008,1.1678
3.54504e-008,1.1843
3.54890e-008,1.1962
3.55276e-008,1.2044
3.55661e-008,1.2089
3.56047e-008,1.2091
3.56433e-008,1.2032
3.56819e-008,1.1905
3.57205e-008,1.1735
3.57590e-008,1.1576
3.57976e-008,1.1505
3.58362e-008,1.1525
3.58747e-008,1.1585
3.59133e-008,1.1724
3.59519e-008,1.1813
3.59905e-008,1.1739
3.60290e-008,1.1254
3.60676e-008,1.0149
3.61062e-008,0.8674
3.61448e-008,0.7215
3.61834e-008,0.5854
3.62219e-008,0.4722
3.62605e-008,0.3891
3.62991e-008,0.3383
3.63376e-008,0.3113
3.63762e-008,0.2840
3.64148e-008,0.2855
3.64534e-008,0.3155
3.64920e-008,0.3848
3.65305e-008,0.4986
3.65691e-008,0.6509
3.66077e-008,0.7977
3.66462e-008,0.9242
3.66848e-008,1.0312
3.67234e-008,1.1127
3.67620e-008,1.1664
3.68006e-008,1.1982
3.68391e-008,1.2426
3.68777e-008,1.2634
3.69163e-008,1.2593
3.69549e-008,1.2283
3.69934e-008,1.1450
3.70320e-008,1.0027
3.70706e-008,0.8363
3.71091e-008,0.6665
3.71477e-008,0.5137
3.71863e-008,0.3971
3.72249e-008,0.3278
3.72635e-008,0.2959
3.73020e-008,0.2706
3.73406e-008,0.2644
3.73792e-008,0.2865
3.74177e-008,0.3424
3.74563e-008,0.4392
3.74949e-008,0.5818
3.75335e-008,0.7386
3.75721e-008,0.8738
3.76106e-008,0.9879
3.76492e-008,1.0797
3.76878e-008,1.1463
3.77263e-008,1.1884
3.77649e-008,1.2293
3.78035e-008,1.2627
3.78421e-008,1.2657
3.78806e-008,1.2443
3.79192e-008,1.1790
3.79578e-008,1.0533
3.79964e-008,0.8911
3.80350e-008,0.7208
3.80735e-008,0.5606
3.81121e-008,0.4305
3.81507e-008,0.3453
3.81892e-008,0.3029
3.82278e-008,0.2788
3.82664e-008,0.2632
3.83050e-008,0.2764
3.83436e-008,0.3204
3.83821e-008,0.4032
3.84207e-008,0.5318
3.84593e-008,0.6908
3.84978e-008,0.8328
3.85364e-008,0.9539
3.85750e-008,1.0533
3.86136e-008,1.1283
3.86521e-008,1.1775
3.86907e-008,1.2064
3.87293e-008,1.2565
3.87679e-008,1.2672
3.88065e-008,1.2544
3.88450e-008,1.2063
3.88836e-008,1.0992
3.89222e-008,0.9437
3.89607e-008,0.7746
3.89993e-008,0.6089
3.90379e-008,0.4673
3.90765e-008,0.3670
3.91151e-008,0.3126
3.91536e-008,0.2890
3.91922e-008,0.2783
3.92308e-008,0.2725
3.92693e-008,0.2692
3.93079e-008,0.2636
3.93465e-008,0.2603
3.93851e-008,0.2633
3.94237e-008,0.2731
3.94622e-008,0.2899
3.95008e-008,0.3115
3.95394e-008,0.3317
3.95780e-008,0.3463
3.96165e-008,0.3535
3.96551e-008,0.3563
3.96937e-008,0.3650
3.97322e-008,0.3961
3.97708e-008,0.4706
3.98094e-008,0.5908
3.98480e-008,0.7417
3.98866e-008,0.8745
3.99251e-008,0.9713
3.99637e-008,1.0418
4.00023e-008,1.0941
4.00408e-008,1.1325
4.00794e-008,1.1596
4.01180e-008,1.1789
4.01566e-008,1.1918
4.01952e-008,1.2004
4.02337e-008,1.2058
4.02723e-008,1.2078
4.03109e-008,1.2050
4.03494e-008,1.1959
4.03880e-008,1.1819
4.04266e-008,1.1655
4.04652e-008,1.1534
4.05037e-008,1.1510
4.05423e-008,1.1556
4.05809e-008,1.1618
4.06195e-008,1.1672
4.06581e-008,1.1721
4.06966e-008,1.1765
4.07352e-008,1.1795
4.07738e-008,1.1812
4.08123e-008,1.1823
4.08509e-008,1.1831
4.08895e-008,1.1832
4.09281e-008,1.1823
4.09667e-008,1.1817
4.10052e-008,1.1816
4.10438e-008,1.1825
4.10824e-008,1.1843
4.11209e-008,1.1855
4.11595e-008,1.1857
4.11981e-008,1.1853
4.12367e-008,1.1850
