.HEADER
..NAMES
Time,V U1.AD25
.DATA
2.73111e-008,1.0626
2.73497e-008,1.1100
2.73882e-008,1.1437
2.74268e-008,1.1669
2.74654e-008,1.2188
2.75040e-008,1.2399
2.75425e-008,1.2380
2.75811e-008,1.2021
2.76197e-008,1.1074
2.76583e-008,0.9584
2.76968e-008,0.7898
2.77354e-008,0.6208
2.77740e-008,0.4733
2.78126e-008,0.3662
2.78512e-008,0.3077
2.78897e-008,0.2846
2.79283e-008,0.2769
2.79669e-008,0.2726
2.80055e-008,0.2704
2.80440e-008,0.2663
2.80826e-008,0.2613
2.81212e-008,0.2626
2.81598e-008,0.2708
2.81983e-008,0.2861
2.82369e-008,0.3075
2.82755e-008,0.3291
2.83140e-008,0.3461
2.83526e-008,0.3558
2.83912e-008,0.3595
2.84298e-008,0.3666
2.84683e-008,0.3922
2.85069e-008,0.4571
2.85455e-008,0.5683
2.85841e-008,0.7152
2.86226e-008,0.8563
2.86612e-008,0.9594
2.86998e-008,1.0345
2.87384e-008,1.0896
2.87770e-008,1.1295
2.88155e-008,1.1570
2.88541e-008,1.1953
2.88927e-008,1.2327
2.89313e-008,1.2419
2.89698e-008,1.2251
2.90084e-008,1.1604
2.90470e-008,1.0339
2.90855e-008,0.8711
2.91241e-008,0.6998
2.91627e-008,0.5395
2.92013e-008,0.4110
2.92398e-008,0.3298
2.92784e-008,0.2928
2.93170e-008,0.2738
2.93556e-008,0.2617
2.93941e-008,0.2764
2.94327e-008,0.3222
2.94713e-008,0.4064
2.95099e-008,0.5352
2.95485e-008,0.6954
2.95870e-008,0.8386
2.96256e-008,0.9604
2.96642e-008,1.0604
2.97028e-008,1.1353
2.97413e-008,1.1843
2.97799e-008,1.2119
2.98185e-008,1.2265
2.98570e-008,1.2314
2.98956e-008,1.2294
2.99342e-008,1.2262
2.99728e-008,1.2215
3.00113e-008,1.2131
3.00499e-008,1.1991
3.00885e-008,1.1824
3.01271e-008,1.1658
3.01657e-008,1.1542
3.02042e-008,1.1512
3.02428e-008,1.1542
3.02814e-008,1.1664
3.03199e-008,1.1756
3.03585e-008,1.1704
3.03971e-008,1.1280
3.04357e-008,1.0236
3.04743e-008,0.8774
3.05128e-008,0.7306
3.05514e-008,0.5930
3.05900e-008,0.4769
3.06285e-008,0.3905
3.06671e-008,0.3377
3.07057e-008,0.3104
3.07443e-008,0.2966
3.07829e-008,0.2885
3.08214e-008,0.2826
3.08600e-008,0.2767
3.08986e-008,0.2719
3.09372e-008,0.2715
3.09757e-008,0.2779
3.10143e-008,0.2932
3.10529e-008,0.3156
3.10914e-008,0.3366
3.11300e-008,0.3504
3.11686e-008,0.3564
3.12072e-008,0.3561
3.12458e-008,0.3509
3.12843e-008,0.3420
3.13229e-008,0.3322
3.13615e-008,0.3247
3.14000e-008,0.3200
3.14386e-008,0.3171
3.14772e-008,0.3155
3.15158e-008,0.3150
3.15544e-008,0.3160
3.15929e-008,0.3173
3.16315e-008,0.3183
3.16701e-008,0.3179
3.17087e-008,0.3164
3.17472e-008,0.3147
3.17858e-008,0.3135
3.18244e-008,0.3129
3.18629e-008,0.3126
3.19015e-008,0.3127
3.19401e-008,0.3133
3.19787e-008,0.3140
3.20173e-008,0.3144
3.20558e-008,0.3145
3.20944e-008,0.3146
3.21330e-008,0.3148
3.21715e-008,0.3148
3.22101e-008,0.3146
3.22487e-008,0.3143
3.22873e-008,0.3140
3.23259e-008,0.3140
3.23644e-008,0.3141
3.24030e-008,0.3143
3.24416e-008,0.3144
3.24801e-008,0.3144
3.25187e-008,0.3145
3.25573e-008,0.3145
3.25959e-008,0.3145
3.26344e-008,0.3144
3.26730e-008,0.3144
3.27116e-008,0.3144
3.27502e-008,0.3144
3.27888e-008,0.3144
3.28273e-008,0.3144
3.28659e-008,0.3144
3.29045e-008,0.3145
3.29430e-008,0.3145
3.29816e-008,0.3145
3.30202e-008,0.3145
3.30588e-008,0.3145
3.30974e-008,0.3191
3.31359e-008,0.3356
3.31745e-008,0.3809
3.32131e-008,0.4730
3.32516e-008,0.6086
3.32902e-008,0.7679
3.33288e-008,0.8984
3.33674e-008,0.9924
3.34060e-008,1.0586
3.34445e-008,1.1057
3.34831e-008,1.1386
3.35217e-008,1.1617
3.35603e-008,1.1792
3.35988e-008,1.1923
3.36374e-008,1.2020
3.36760e-008,1.2080
3.37145e-008,1.2101
3.37531e-008,1.2067
3.37917e-008,1.1963
3.38303e-008,1.1801
3.38689e-008,1.1622
3.39074e-008,1.1495
3.39460e-008,1.1473
3.39846e-008,1.1522
3.40231e-008,1.1590
3.40617e-008,1.1652
3.41003e-008,1.1709
3.41389e-008,1.1761
3.41775e-008,1.1798
3.42160e-008,1.1818
3.42546e-008,1.1829
3.42932e-008,1.1836
3.43318e-008,1.1834
3.43703e-008,1.1823
3.44089e-008,1.1814
3.44475e-008,1.1813
3.44860e-008,1.1847
3.45246e-008,1.1919
3.45632e-008,1.1922
3.46018e-008,1.1664
