.HEADER
..NAMES
Time,V U1.AE3&AD3
.DATA
2.83526e-008,0.4232
2.83912e-008,0.1320
2.84298e-008,-0.1729
2.84683e-008,-0.4312
2.85069e-008,-0.6081
2.85455e-008,-0.7218
2.85841e-008,-0.7792
2.86226e-008,-0.8157
2.86612e-008,-0.8209
2.86998e-008,-0.7882
2.87384e-008,-0.7311
2.87770e-008,-0.5921
2.88155e-008,-0.4038
2.88541e-008,-0.1796
2.88927e-008,0.0638
2.89313e-008,0.2828
2.89698e-008,0.4640
2.90084e-008,0.6170
2.90470e-008,0.7213
2.90855e-008,0.8075
2.91241e-008,0.8765
2.91627e-008,0.8814
2.92013e-008,0.8556
2.92398e-008,0.7314
2.92784e-008,0.5075
2.93170e-008,0.2276
2.93556e-008,-0.0776
2.93941e-008,-0.3599
2.94327e-008,-0.5588
2.94713e-008,-0.6926
2.95099e-008,-0.7653
2.95485e-008,-0.8028
2.95870e-008,-0.8247
2.96256e-008,-0.7972
2.96642e-008,-0.7590
2.97028e-008,-0.6431
2.97413e-008,-0.4681
2.97799e-008,-0.2533
2.98185e-008,-0.0139
2.98570e-008,0.2194
2.98956e-008,0.4084
2.99342e-008,0.5741
2.99728e-008,0.6927
3.00113e-008,0.7742
3.00499e-008,0.8629
3.00885e-008,0.8852
3.01271e-008,0.8723
3.01657e-008,0.7832
3.02042e-008,0.5867
3.02428e-008,0.3196
3.02814e-008,0.0194
3.03199e-008,-0.2783
3.03585e-008,-0.5039
3.03971e-008,-0.6571
3.04357e-008,-0.7479
3.04743e-008,-0.7913
3.05128e-008,-0.8239
3.05514e-008,-0.8111
3.05900e-008,-0.7790
3.06285e-008,-0.6882
3.06671e-008,-0.5278
3.07057e-008,-0.3245
3.07443e-008,-0.0916
3.07829e-008,0.1502
3.08214e-008,0.3512
3.08600e-008,0.5258
3.08986e-008,0.6604
3.09372e-008,0.7514
3.09757e-008,0.8429
3.10143e-008,0.8844
3.10529e-008,0.8809
