.HEADER
..NAMES
Time,V U1.AE13
.DATA
2.20417e-008,0.4188
2.20783e-008,0.3854
2.21150e-008,0.3630
2.21517e-008,0.3459
2.21884e-008,0.3295
2.22251e-008,0.3134
2.22617e-008,0.2990
2.22984e-008,0.2889
2.23351e-008,0.2842
2.23718e-008,0.2845
2.24084e-008,0.2881
2.24451e-008,0.2926
2.24818e-008,0.2960
2.25184e-008,0.2978
2.25551e-008,0.2983
2.25918e-008,0.2980
2.26285e-008,0.2993
2.26651e-008,0.3138
2.27018e-008,0.3570
2.27385e-008,0.4518
2.27752e-008,0.5985
2.28119e-008,0.7707
2.28485e-008,0.9174
2.28852e-008,1.0047
2.29219e-008,1.0478
2.29586e-008,1.0708
2.29952e-008,1.0920
2.30319e-008,1.1192
2.30686e-008,1.1485
2.31052e-008,1.1739
2.31419e-008,1.1917
2.31786e-008,1.2011
2.32153e-008,1.2036
2.32519e-008,1.2025
2.32886e-008,1.2007
2.33253e-008,1.2001
2.33620e-008,1.2013
2.33987e-008,1.2037
2.34353e-008,1.2056
2.34720e-008,1.2054
2.35087e-008,1.2031
2.35454e-008,1.1980
2.35820e-008,1.1909
2.36187e-008,1.1779
2.36554e-008,1.1476
2.36920e-008,1.0866
2.37287e-008,0.9759
2.37654e-008,0.8281
2.38021e-008,0.6849
2.38387e-008,0.5674
2.38754e-008,0.4768
2.39121e-008,0.4050
2.39488e-008,0.3451
2.39855e-008,0.2945
2.40221e-008,0.2579
2.40588e-008,0.2366
2.40955e-008,0.2297
2.41322e-008,0.2316
2.41688e-008,0.2355
2.42055e-008,0.2366
2.42422e-008,0.2325
2.42788e-008,0.2238
2.43155e-008,0.2132
2.43522e-008,0.2041
2.43889e-008,0.2001
2.44255e-008,0.2026
2.44622e-008,0.2099
2.44989e-008,0.2188
2.45356e-008,0.2284
2.45723e-008,0.2423
2.46089e-008,0.2663
2.46456e-008,0.3005
2.46823e-008,0.3373
2.47190e-008,0.3664
2.47556e-008,0.3811
2.47923e-008,0.3813
2.48290e-008,0.3757
2.48657e-008,0.3738
2.49023e-008,0.3804
2.49390e-008,0.3931
2.49757e-008,0.4052
2.50123e-008,0.4107
2.50490e-008,0.4076
2.50857e-008,0.3989
2.51224e-008,0.3900
2.51590e-008,0.3855
2.51957e-008,0.3874
2.52324e-008,0.3949
2.52691e-008,0.4049
2.53058e-008,0.4136
2.53424e-008,0.4178
2.53791e-008,0.4166
2.54158e-008,0.4117
2.54525e-008,0.4064
2.54891e-008,0.4034
2.55258e-008,0.4029
2.55625e-008,0.4025
2.55991e-008,0.3994
2.56358e-008,0.3920
2.56725e-008,0.3809
2.57092e-008,0.3683
2.57458e-008,0.3566
2.57825e-008,0.3467
2.58192e-008,0.3384
2.58559e-008,0.3310
2.58926e-008,0.3251
2.59292e-008,0.3220
2.59659e-008,0.3231
2.60026e-008,0.3276
2.60393e-008,0.3333
2.60759e-008,0.3376
2.61126e-008,0.3383
2.61493e-008,0.3350
2.61859e-008,0.3291
2.62226e-008,0.3228
2.62593e-008,0.3187
2.62960e-008,0.3180
2.63326e-008,0.3206
2.63693e-008,0.3256
2.64060e-008,0.3357
2.64427e-008,0.3586
2.64794e-008,0.4098
2.65160e-008,0.4972
2.65527e-008,0.6100
2.65894e-008,0.7301
2.66261e-008,0.8245
2.66627e-008,0.8960
2.66994e-008,0.9515
2.67361e-008,0.9959
2.67727e-008,1.0311
2.68094e-008,1.0584
2.68461e-008,1.0776
2.68828e-008,1.0904
2.69194e-008,1.0988
2.69561e-008,1.1044
2.69928e-008,1.1083
2.70295e-008,1.1116
2.70662e-008,1.1149
2.71028e-008,1.1183
2.71395e-008,1.1211
2.71762e-008,1.1217
2.72129e-008,1.1196
2.72495e-008,1.1147
2.72862e-008,1.1076
2.73229e-008,1.0979
2.73595e-008,1.0839
2.73962e-008,1.0646
2.74329e-008,1.0429
2.74696e-008,1.0248
2.75062e-008,1.0160
2.75429e-008,1.0172
2.75796e-008,1.0240
2.76163e-008,1.0298
2.76530e-008,1.0300
2.76896e-008,1.0239
2.77263e-008,1.0152
2.77630e-008,1.0083
2.77997e-008,1.0058
2.78363e-008,1.0076
2.78730e-008,1.0119
2.79097e-008,1.0160
2.79463e-008,1.0180
2.79830e-008,1.0172
2.80197e-008,1.0142
2.80564e-008,1.0102
2.80930e-008,1.0065
2.81297e-008,1.0045
2.81664e-008,1.0054
2.82031e-008,1.0087
2.82398e-008,1.0132
2.82764e-008,1.0202
2.83131e-008,1.0255
2.83498e-008,1.0179
2.83865e-008,0.9802
2.84231e-008,0.8928
2.84598e-008,0.7719
2.84965e-008,0.6523
2.85331e-008,0.5500
2.85698e-008,0.4719
2.86065e-008,0.4186
2.86432e-008,0.3846
2.86798e-008,0.3610
2.87165e-008,0.3432
2.87532e-008,0.3274
2.87899e-008,0.3134
2.88266e-008,0.3022
2.88632e-008,0.2947
2.88999e-008,0.2913
2.89366e-008,0.2909
2.89733e-008,0.2921
2.90099e-008,0.2937
2.90466e-008,0.2950
2.90833e-008,0.2962
2.91199e-008,0.2977
2.91566e-008,0.2996
2.91933e-008,0.3029
2.92300e-008,0.3183
2.92666e-008,0.3607
2.93033e-008,0.4531
2.93400e-008,0.5967
2.93767e-008,0.7662
2.94133e-008,0.9126
2.94500e-008,1.0010
2.94867e-008,1.0457
2.95234e-008,1.0704
2.95601e-008,1.0927
2.95967e-008,1.1204
2.96334e-008,1.1499
2.96701e-008,1.1753
2.97068e-008,1.1928
2.97434e-008,1.2017
2.97801e-008,1.2036
2.98168e-008,1.2020
2.98534e-008,1.2002
2.98901e-008,1.2000
2.99268e-008,1.2021
2.99635e-008,1.2054
3.00002e-008,1.2077
3.00368e-008,1.2073
3.00735e-008,1.2044
3.01102e-008,1.1984
3.01469e-008,1.1905
3.01835e-008,1.1775
3.02202e-008,1.1482
3.02569e-008,1.0894
3.02935e-008,0.9817
3.03302e-008,0.8359
3.03669e-008,0.6927
3.04036e-008,0.5735
3.04403e-008,0.4808
3.04769e-008,0.4071
3.05136e-008,0.3462
3.05503e-008,0.2955
3.05869e-008,0.2589
3.06236e-008,0.2377
3.06603e-008,0.2308
3.06970e-008,0.2325
3.07336e-008,0.2364
3.07703e-008,0.2374
3.08070e-008,0.2332
3.08437e-008,0.2244
3.08804e-008,0.2137
3.09170e-008,0.2045
3.09537e-008,0.2003
3.09904e-008,0.2028
3.10270e-008,0.2102
3.10637e-008,0.2182
3.11004e-008,0.2315
3.11371e-008,0.2622
3.11738e-008,0.3329
3.12104e-008,0.4593
3.12471e-008,0.6290
3.12838e-008,0.8003
3.13205e-008,0.9220
3.13571e-008,0.9938
3.13938e-008,1.0346
3.14305e-008,1.0663
3.14671e-008,1.1008
3.15038e-008,1.1370
3.15405e-008,1.1664
3.15772e-008,1.1839
3.16139e-008,1.1891
3.16505e-008,1.1863
3.16872e-008,1.1818
3.17239e-008,1.1806
3.17605e-008,1.1847
3.17972e-008,1.1934
3.18339e-008,1.2034
3.18706e-008,1.2102
3.19072e-008,1.2110
3.19439e-008,1.2052
3.19806e-008,1.1951
3.20173e-008,1.1830
3.20540e-008,1.1683
3.20906e-008,1.1482
3.21273e-008,1.1222
3.21640e-008,1.0955
3.22006e-008,1.0753
3.22373e-008,1.0653
3.22740e-008,1.0637
3.23107e-008,1.0642
3.23474e-008,1.0595
3.23840e-008,1.0466
3.24207e-008,1.0287
3.24574e-008,1.0125
3.24941e-008,1.0043
3.25307e-008,1.0064
3.25674e-008,1.0162
3.26041e-008,1.0279
3.26407e-008,1.0357
3.26774e-008,1.0365
3.27141e-008,1.0301
3.27508e-008,1.0195
3.27875e-008,1.0088
3.28241e-008,1.0019
3.28608e-008,1.0011
3.28975e-008,1.0055
3.29341e-008,1.0123
3.29708e-008,1.0184
3.30075e-008,1.0222
3.30442e-008,1.0246
3.30808e-008,1.0280
3.31175e-008,1.0338
3.31542e-008,1.0424
3.31909e-008,1.0526
3.32276e-008,1.0629
3.32642e-008,1.0724
3.33009e-008,1.0808
3.33376e-008,1.0881
3.33742e-008,1.0937
3.34109e-008,1.0961
3.34476e-008,1.0947
3.34843e-008,1.0899
3.35210e-008,1.0842
3.35576e-008,1.0801
3.35943e-008,1.0794
3.36310e-008,1.0825
3.36677e-008,1.0882
3.37043e-008,1.0946
3.37410e-008,1.0991
3.37777e-008,1.1003
3.38143e-008,1.0980
3.38510e-008,1.0938
3.38877e-008,1.0900
3.39244e-008,1.0884
3.39611e-008,1.0899
3.39977e-008,1.0936
3.40344e-008,1.0980
3.40711e-008,1.1013
3.41077e-008,1.1024
3.41444e-008,1.1013
3.41811e-008,1.0989
3.42178e-008,1.0963
3.42545e-008,1.0946
3.42911e-008,1.0940
3.43278e-008,1.0946
3.43645e-008,1.0960
3.44012e-008,1.0978
3.44378e-008,1.0995
3.44745e-008,1.1008
3.45112e-008,1.1012
3.45478e-008,1.1006
3.45845e-008,1.0991
3.46212e-008,1.0972
3.46579e-008,1.0956
3.46946e-008,1.0951
3.47312e-008,1.0958
3.47679e-008,1.0983
3.48046e-008,1.1014
3.48412e-008,1.1062
3.48779e-008,1.1097
3.49146e-008,1.1017
3.49513e-008,1.0668
3.49879e-008,0.9840
3.50246e-008,0.8614
3.50613e-008,0.7299
3.50980e-008,0.6105
3.51347e-008,0.5158
3.51713e-008,0.4491
3.52080e-008,0.4052
3.52447e-008,0.3742
3.52813e-008,0.3521
3.53180e-008,0.3349
3.53547e-008,0.3222
3.53914e-008,0.3130
3.54281e-008,0.3067
3.54647e-008,0.3026
3.55014e-008,0.2997
3.55381e-008,0.2975
3.55748e-008,0.2959
3.56114e-008,0.2949
3.56481e-008,0.2951
3.56848e-008,0.2968
3.57214e-008,0.2996
3.57581e-008,0.3033
3.57948e-008,0.3091
3.58315e-008,0.3204
3.58682e-008,0.3399
3.59048e-008,0.3659
3.59415e-008,0.3918
3.59782e-008,0.4101
3.60148e-008,0.4159
3.60515e-008,0.4096
3.60882e-008,0.3984
3.61249e-008,0.3901
3.61615e-008,0.3893
3.61982e-008,0.3957
3.62349e-008,0.4054
3.62716e-008,0.4134
3.63083e-008,0.4163
3.63449e-008,0.4138
3.63816e-008,0.4083
3.64183e-008,0.4030
3.64549e-008,0.4004
3.64916e-008,0.4015
3.65283e-008,0.4055
3.65650e-008,0.4107
3.66017e-008,0.4149
3.66383e-008,0.4167
3.66750e-008,0.4166
3.67117e-008,0.4209
3.67484e-008,0.4389
3.67850e-008,0.4865
3.68217e-008,0.5785
3.68584e-008,0.6964
3.68950e-008,0.8184
3.69317e-008,0.9066
3.69684e-008,0.9605
3.70051e-008,0.9960
3.70418e-008,1.0232
3.70784e-008,1.0467
3.71151e-008,1.0656
3.71518e-008,1.0796
3.71884e-008,1.0903
3.72251e-008,1.0999
3.72618e-008,1.1094
3.72985e-008,1.1187
3.73351e-008,1.1263
3.73718e-008,1.1309
3.74085e-008,1.1317
3.74452e-008,1.1288
3.74819e-008,1.1231
3.75185e-008,1.1164
3.75552e-008,1.1102
3.75919e-008,1.1052
3.76285e-008,1.0997
3.76652e-008,1.0895
3.77019e-008,1.0710
3.77386e-008,1.0464
3.77753e-008,1.0227
3.78119e-008,1.0091
3.78486e-008,1.0087
3.78853e-008,1.0175
3.79220e-008,1.0275
3.79586e-008,1.0315
3.79953e-008,1.0271
3.80320e-008,1.0178
3.80686e-008,1.0092
3.81053e-008,1.0051
3.81420e-008,1.0063
3.81787e-008,1.0103
3.82154e-008,1.0141
3.82520e-008,1.0154
3.82887e-008,1.0139
3.83254e-008,1.0104
3.83620e-008,1.0067
3.83987e-008,1.0043
3.84354e-008,1.0038
3.84721e-008,1.0053
3.85088e-008,1.0085
3.85454e-008,1.0118
3.85821e-008,1.0162
3.86188e-008,1.0221
3.86555e-008,1.0204
3.86921e-008,0.9972
3.87288e-008,0.9305
3.87655e-008,0.8208
3.88021e-008,0.7010
3.88388e-008,0.5918
3.88755e-008,0.5025
3.89122e-008,0.4381
3.89489e-008,0.3957
3.89855e-008,0.3682
3.90222e-008,0.3479
3.90589e-008,0.3314
3.90955e-008,0.3164
3.91322e-008,0.3040
3.91689e-008,0.2956
3.92056e-008,0.2916
