.HEADER
..NAMES
Time,V U1.AE3&AD3
.DATA
3.41003e-008,0.3949
3.41389e-008,0.3153
3.41775e-008,0.2831
3.42160e-008,0.2842
3.42546e-008,0.2829
3.42932e-008,0.2943
3.43318e-008,0.3286
3.43703e-008,0.4020
3.44089e-008,0.5293
3.44475e-008,0.7034
3.44860e-008,0.8824
3.45246e-008,1.0257
3.45632e-008,1.1237
3.46018e-008,1.1808
3.46404e-008,1.2048
3.46789e-008,1.2052
3.47175e-008,1.2151
3.47561e-008,1.2326
3.47946e-008,1.2278
3.48332e-008,1.1953
3.48718e-008,1.1041
3.49104e-008,0.9436
3.49490e-008,0.7554
3.49875e-008,0.5739
3.50261e-008,0.4300
3.50647e-008,0.3350
3.51032e-008,0.2885
3.51418e-008,0.2823
3.51804e-008,0.2853
3.52190e-008,0.2881
3.52575e-008,0.3149
3.52961e-008,0.3732
3.53347e-008,0.4832
3.53733e-008,0.6443
3.54119e-008,0.8289
3.54504e-008,0.9849
3.54890e-008,1.0975
3.55276e-008,1.1667
3.55661e-008,1.2003
3.56047e-008,1.2071
3.56433e-008,1.2001
3.56819e-008,1.2304
3.57205e-008,1.2315
3.57590e-008,1.2101
3.57976e-008,1.1411
3.58362e-008,1.0000
3.58747e-008,0.8151
3.59133e-008,0.6285
3.59519e-008,0.4702
3.59905e-008,0.3597
3.60290e-008,0.2980
3.60676e-008,0.2811
3.61062e-008,0.2881
3.61448e-008,0.2839
3.61834e-008,0.3039
3.62219e-008,0.3497
3.62605e-008,0.4423
3.62991e-008,0.5886
3.63376e-008,0.7722
3.63762e-008,0.9399
3.64148e-008,1.0669
3.64534e-008,1.1489
3.64920e-008,1.1929
3.65305e-008,1.2071
3.65691e-008,1.2028
3.66077e-008,1.2262
3.66462e-008,1.2332
3.66848e-008,1.2203
3.67234e-008,1.1704
3.67620e-008,1.0518
3.68006e-008,0.8749
3.68391e-008,0.6861
3.68777e-008,0.5154
3.69163e-008,0.3894
3.69549e-008,0.3124
3.69934e-008,0.2826
3.70320e-008,0.2849
3.70706e-008,0.2821
3.71091e-008,0.2953
3.71477e-008,0.3312
3.71863e-008,0.4071
3.72249e-008,0.5371
3.72635e-008,0.7129
3.73020e-008,0.8907
3.73406e-008,1.0318
3.73792e-008,1.1275
3.74177e-008,1.1827
3.74563e-008,1.2053
3.74949e-008,1.2050
3.75335e-008,1.2190
3.75721e-008,1.2333
3.76106e-008,1.2271
3.76492e-008,1.1924
3.76878e-008,1.0973
3.77263e-008,0.9341
3.77649e-008,0.7453
3.78035e-008,0.5652
3.78421e-008,0.4240
3.78806e-008,0.3314
3.79192e-008,0.2873
3.79578e-008,0.2826
3.79964e-008,0.2859
3.80350e-008,0.2893
3.80735e-008,0.3169
3.81121e-008,0.3774
3.81507e-008,0.4903
3.81892e-008,0.6536
3.82278e-008,0.8377
3.82664e-008,0.9918
3.83050e-008,1.1021
3.83436e-008,1.1693
3.83821e-008,1.2013
3.84207e-008,1.2068
3.84593e-008,1.2061
3.84978e-008,1.2316
3.85364e-008,1.2312
3.85750e-008,1.2081
3.86136e-008,1.1358
3.86521e-008,0.9912
3.86907e-008,0.8053
3.87293e-008,0.6191
3.87679e-008,0.4635
3.88065e-008,0.3555
3.88450e-008,0.2963
3.88836e-008,0.2809
3.89222e-008,0.2883
3.89607e-008,0.2849
3.89993e-008,0.3056
3.90379e-008,0.3531
3.90765e-008,0.4486
3.91151e-008,0.5974
3.91536e-008,0.7815
3.91922e-008,0.9474
3.92308e-008,1.0723
3.92693e-008,1.1522
3.93079e-008,1.1944
3.93465e-008,1.2071
3.93851e-008,1.2022
3.94237e-008,1.2282
3.94622e-008,1.2332
3.95008e-008,1.2190
3.95394e-008,1.1663
3.95780e-008,1.0439
3.96165e-008,0.8653
3.96551e-008,0.6763
3.96937e-008,0.5077
3.97322e-008,0.3844
3.97708e-008,0.3100
3.98094e-008,0.2822
3.98480e-008,0.2852
3.98866e-008,0.2829
3.99251e-008,0.2967
3.99637e-008,0.3338
4.00023e-008,0.4124
4.00408e-008,0.5453
4.00794e-008,0.7226
4.01180e-008,0.8989
4.01566e-008,1.0378
4.01952e-008,1.1314
4.02337e-008,1.1847
4.02723e-008,1.2058
4.03109e-008,1.2046
4.03494e-008,1.2220
4.03880e-008,1.2337
4.04266e-008,1.2263
4.04652e-008,1.1893
4.05037e-008,1.0905
4.05423e-008,0.9247
4.05809e-008,0.7354
4.06195e-008,0.5568
4.06581e-008,0.4183
4.06966e-008,0.3281
4.07352e-008,0.2863
4.07738e-008,0.2827
4.08123e-008,0.2839
4.08509e-008,0.2899
4.08895e-008,0.3188
4.09281e-008,0.3818
4.09667e-008,0.4976
4.10052e-008,0.6633
4.10438e-008,0.8466
4.10824e-008,0.9988
4.11209e-008,1.1065
4.11595e-008,1.1717
4.11981e-008,1.2020
