.HEADER
..NAMES
Time,V U1.AE10
.DATA
2.46494e-008,1.1780
2.46880e-008,1.1873
2.47266e-008,1.1820
2.47651e-008,1.1414
2.48037e-008,1.0405
2.48423e-008,0.8950
2.48809e-008,0.7479
2.49194e-008,0.6115
2.49580e-008,0.4979
2.49966e-008,0.4121
2.50352e-008,0.3546
2.50737e-008,0.3215
2.51123e-008,0.2905
2.51509e-008,0.2839
2.51895e-008,0.3085
2.52281e-008,0.3774
2.52666e-008,0.5028
2.53052e-008,0.6817
2.53438e-008,0.8593
2.53824e-008,0.9918
2.54209e-008,1.0803
2.54595e-008,1.1358
2.54981e-008,1.1678
2.55367e-008,1.1841
2.55752e-008,1.2148
2.56138e-008,1.2400
2.56524e-008,1.2388
2.56909e-008,1.2064
2.57295e-008,1.1166
2.57681e-008,0.9609
2.58067e-008,0.7824
2.58452e-008,0.6172
2.58838e-008,0.4863
2.59224e-008,0.3956
2.59610e-008,0.3392
2.59995e-008,0.3097
2.60381e-008,0.2870
2.60767e-008,0.2719
2.61153e-008,0.2860
2.61539e-008,0.3398
2.61924e-008,0.4467
2.62310e-008,0.6103
2.62696e-008,0.7986
2.63082e-008,0.9511
2.63467e-008,1.0581
2.63853e-008,1.1254
2.64239e-008,1.1633
2.64625e-008,1.1821
2.65010e-008,1.1977
2.65396e-008,1.2349
2.65782e-008,1.2410
2.66167e-008,1.2212
2.66553e-008,1.1536
2.66939e-008,1.0163
2.67325e-008,0.8391
2.67710e-008,0.6676
2.68096e-008,0.5240
2.68482e-008,0.4200
2.68868e-008,0.3530
2.69254e-008,0.3156
2.69639e-008,0.2986
2.70025e-008,0.2731
2.70411e-008,0.2780
2.70797e-008,0.3177
2.71182e-008,0.4070
2.71568e-008,0.5532
2.71954e-008,0.7414
2.72340e-008,0.9077
2.72725e-008,1.0291
2.73111e-008,1.1076
2.73497e-008,1.1538
2.73882e-008,1.1776
2.74268e-008,1.1887
2.74654e-008,1.1951
2.75040e-008,1.1981
2.75425e-008,1.1964
2.75811e-008,1.1891
2.76197e-008,1.1767
2.76583e-008,1.1604
2.76968e-008,1.1450
2.77354e-008,1.1382
2.77740e-008,1.1408
2.78126e-008,1.1482
2.78512e-008,1.1565
2.78897e-008,1.1644
2.79283e-008,1.1764
2.79669e-008,1.1868
2.80055e-008,1.1839
2.80440e-008,1.1486
2.80826e-008,1.0544
2.81212e-008,0.9111
2.81598e-008,0.7633
2.81983e-008,0.6253
2.82369e-008,0.5088
2.82755e-008,0.4197
2.83140e-008,0.3593
2.83526e-008,0.3241
2.83912e-008,0.3049
2.84298e-008,0.2929
2.84683e-008,0.2861
2.85069e-008,0.2854
2.85455e-008,0.2934
2.85841e-008,0.3117
2.86226e-008,0.3336
2.86612e-008,0.3502
2.86998e-008,0.3587
2.87384e-008,0.3601
2.87770e-008,0.3556
2.88155e-008,0.3469
2.88541e-008,0.3369
2.88927e-008,0.3284
2.89313e-008,0.3230
2.89698e-008,0.3203
2.90084e-008,0.3196
2.90470e-008,0.3202
2.90855e-008,0.3205
2.91241e-008,0.3193
2.91627e-008,0.3169
2.92013e-008,0.3151
2.92398e-008,0.3141
2.92784e-008,0.3136
2.93170e-008,0.3143
2.93556e-008,0.3212
2.93941e-008,0.3440
2.94327e-008,0.4008
2.94713e-008,0.5049
2.95099e-008,0.6480
2.95485e-008,0.8018
2.95870e-008,0.9183
2.96256e-008,1.0015
2.96642e-008,1.0617
2.97028e-008,1.1066
2.97413e-008,1.1399
2.97799e-008,1.1635
2.98185e-008,1.2183
2.98570e-008,1.2314
2.98956e-008,1.2168
2.99342e-008,1.1549
2.99728e-008,1.0221
3.00113e-008,0.8455
3.00499e-008,0.6774
3.00885e-008,0.5371
3.01271e-008,0.4341
3.01657e-008,0.3643
3.02042e-008,0.3230
3.02428e-008,0.3025
3.02814e-008,0.2888
3.03199e-008,0.2782
3.03585e-008,0.2757
3.03971e-008,0.2806
3.04357e-008,0.2935
3.04743e-008,0.3152
3.05128e-008,0.3393
3.05514e-008,0.3565
3.05900e-008,0.3637
3.06285e-008,0.3620
3.06671e-008,0.3540
3.07057e-008,0.3433
3.07443e-008,0.3329
3.07829e-008,0.3250
3.08214e-008,0.3212
3.08600e-008,0.3201
3.08986e-008,0.3200
3.09372e-008,0.3205
3.09757e-008,0.3207
3.10143e-008,0.3192
3.10529e-008,0.3165
3.10914e-008,0.3146
3.11300e-008,0.3136
3.11686e-008,0.3133
3.12072e-008,0.3159
3.12458e-008,0.3269
3.12843e-008,0.3600
3.13229e-008,0.4342
3.13615e-008,0.5541
3.14000e-008,0.7068
3.14386e-008,0.8493
3.14772e-008,0.9525
3.15158e-008,1.0258
3.15544e-008,1.0797
3.15929e-008,1.1200
3.16315e-008,1.1495
3.16701e-008,1.1705
3.17087e-008,1.1828
3.17472e-008,1.1876
3.17858e-008,1.1849
3.18244e-008,1.1746
3.18629e-008,1.1594
3.19015e-008,1.1447
3.19401e-008,1.1383
3.19787e-008,1.1417
3.20173e-008,1.1498
3.20558e-008,1.1577
3.20944e-008,1.1645
3.21330e-008,1.1702
3.21715e-008,1.1743
3.22101e-008,1.1769
3.22487e-008,1.1782
3.22873e-008,1.1785
3.23259e-008,1.1785
3.23644e-008,1.1790
3.24030e-008,1.1806
3.24416e-008,1.1831
3.24801e-008,1.1845
3.25187e-008,1.1846
3.25573e-008,1.1841
3.25959e-008,1.1839
3.26344e-008,1.1892
3.26730e-008,1.1919
3.27116e-008,1.1775
3.27502e-008,1.1202
3.27888e-008,1.0024
3.28273e-008,0.8541
3.28659e-008,0.7094
3.29045e-008,0.5769
3.29430e-008,0.4686
3.29816e-008,0.3901
3.30202e-008,0.3409
3.30588e-008,0.3141
3.30974e-008,0.2992
3.31359e-008,0.2900
3.31745e-008,0.2857
3.32131e-008,0.2881
3.32516e-008,0.3003
3.32902e-008,0.3211
3.33288e-008,0.3413
3.33674e-008,0.3544
3.34060e-008,0.3598
3.34445e-008,0.3589
3.34831e-008,0.3527
3.35217e-008,0.3430
3.35603e-008,0.3357
3.35988e-008,0.3421
3.36374e-008,0.3775
3.36760e-008,0.4602
3.37145e-008,0.5890
3.37531e-008,0.7466
3.37917e-008,0.8809
3.38303e-008,0.9751
3.38689e-008,1.0408
3.39074e-008,1.0894
3.39460e-008,1.1258
3.39846e-008,1.1528
3.40231e-008,1.2026
3.40617e-008,1.2284
3.41003e-008,1.2268
3.41389e-008,1.1891
3.41775e-008,1.0872
3.42160e-008,0.9217
3.42546e-008,0.7464
3.42932e-008,0.5918
3.43318e-008,0.4729
3.43703e-008,0.3899
3.44089e-008,0.3375
3.44475e-008,0.3096
3.44860e-008,0.2848
3.45246e-008,0.2718
3.45632e-008,0.2906
3.46018e-008,0.3524
3.46404e-008,0.4683
3.46789e-008,0.6400
3.47175e-008,0.8261
3.47561e-008,0.9722
3.47946e-008,1.0719
3.48332e-008,1.1328
3.48718e-008,1.1664
3.49104e-008,1.1830
3.49490e-008,1.1915
3.49875e-008,1.1965
3.50261e-008,1.1980
3.50647e-008,1.1941
3.51032e-008,1.1843
3.51418e-008,1.1696
3.51804e-008,1.1527
3.52190e-008,1.1406
3.52575e-008,1.1384
3.52961e-008,1.1438
3.53347e-008,1.1521
3.53733e-008,1.1605
3.54119e-008,1.1691
3.54504e-008,1.1823
3.54890e-008,1.1882
3.55276e-008,1.1734
3.55661e-008,1.1125
3.56047e-008,0.9905
3.56433e-008,0.8407
3.56819e-008,0.6965
3.57205e-008,0.5674
3.57590e-008,0.4633
3.57976e-008,0.3879
3.58362e-008,0.3402
3.58747e-008,0.3139
3.59133e-008,0.2842
3.59519e-008,0.2889
3.59905e-008,0.3275
3.60290e-008,0.4159
3.60676e-008,0.5626
3.61062e-008,0.7507
3.61448e-008,0.9130
3.61834e-008,1.0288
3.62219e-008,1.1037
3.62605e-008,1.1498
3.62991e-008,1.1753
3.63376e-008,1.1879
3.63762e-008,1.2290
3.64148e-008,1.2426
3.64534e-008,1.2318
3.64920e-008,1.1820
3.65305e-008,1.0666
3.65691e-008,0.8958
3.66077e-008,0.7199
3.66462e-008,0.5650
3.66848e-008,0.4490
3.67234e-008,0.3718
3.67620e-008,0.3259
3.68006e-008,0.3035
3.68391e-008,0.2789
3.68777e-008,0.2736
3.69163e-008,0.3001
3.69549e-008,0.3723
3.69934e-008,0.5001
3.70320e-008,0.6802
3.70706e-008,0.8592
3.71091e-008,0.9953
3.71477e-008,1.0867
3.71863e-008,1.1422
3.72249e-008,1.1719
3.72635e-008,1.1859
3.73020e-008,1.1930
3.73406e-008,1.1974
3.73792e-008,1.1976
3.74177e-008,1.1923
3.74563e-008,1.1813
3.74949e-008,1.1660
3.75335e-008,1.1494
3.75721e-008,1.1393
3.76106e-008,1.1392
3.76492e-008,1.1457
3.76878e-008,1.1539
3.77263e-008,1.1620
3.77649e-008,1.1725
3.78035e-008,1.1843
3.78421e-008,1.1873
3.78806e-008,1.1654
3.79192e-008,1.0915
3.79578e-008,0.9597
3.79964e-008,0.8098
3.80350e-008,0.6678
3.80735e-008,0.5433
3.81121e-008,0.4451
3.81507e-008,0.3756
3.81892e-008,0.3334
3.82278e-008,0.3100
3.82664e-008,0.2962
