.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
2.80440e-008,1.1054
2.80826e-008,1.1233
2.81212e-008,1.1392
2.81598e-008,1.1796
2.81983e-008,1.1912
2.82369e-008,1.1741
2.82755e-008,1.1231
2.83140e-008,0.9977
2.83526e-008,0.8231
2.83912e-008,0.6657
2.84298e-008,0.5451
2.84683e-008,0.4658
2.85069e-008,0.4141
2.85455e-008,0.3794
2.85841e-008,0.3562
2.86226e-008,0.3290
2.86612e-008,0.3251
2.86998e-008,0.3596
2.87384e-008,0.4395
2.87770e-008,0.5846
2.88155e-008,0.7714
2.88541e-008,0.9333
2.88927e-008,1.0299
2.89313e-008,1.0783
2.89698e-008,1.1000
2.90084e-008,1.1172
2.90470e-008,1.1347
2.90855e-008,1.1609
2.91241e-008,1.1903
2.91627e-008,1.1818
2.92013e-008,1.1453
2.92398e-008,1.0461
2.92784e-008,0.8793
2.93170e-008,0.7110
2.93556e-008,0.5788
2.93941e-008,0.4868
2.94327e-008,0.4287
2.94713e-008,0.3890
2.95099e-008,0.3628
2.95485e-008,0.3406
2.95870e-008,0.3215
2.96256e-008,0.3447
2.96642e-008,0.4078
2.97028e-008,0.5317
2.97413e-008,0.7104
2.97799e-008,0.8896
2.98185e-008,1.0054
2.98570e-008,1.0671
2.98956e-008,1.0947
2.99342e-008,1.1116
2.99728e-008,1.1297
3.00113e-008,1.1433
3.00499e-008,1.1870
3.00885e-008,1.1874
3.01271e-008,1.1609
3.01657e-008,1.0866
3.02042e-008,0.9358
3.02428e-008,0.7605
3.02814e-008,0.6168
3.03199e-008,0.5112
3.03585e-008,0.4446
3.03971e-008,0.3997
3.04357e-008,0.3699
3.04743e-008,0.3496
3.05128e-008,0.3218
3.05514e-008,0.3334
3.05900e-008,0.3822
3.06285e-008,0.4851
3.06671e-008,0.6508
3.07057e-008,0.8384
3.07443e-008,0.9754
3.07829e-008,1.0524
3.08214e-008,1.0882
3.08600e-008,1.1062
3.08986e-008,1.1242
3.09372e-008,1.1400
3.09757e-008,1.1796
3.10143e-008,1.1905
3.10529e-008,1.1724
3.10914e-008,1.1187
3.11300e-008,0.9895
3.11686e-008,0.8139
3.12072e-008,0.6585
3.12458e-008,0.5400
3.12843e-008,0.4627
3.13229e-008,0.4121
3.13615e-008,0.3778
3.14000e-008,0.3553
3.14386e-008,0.3266
3.14772e-008,0.3256
3.15158e-008,0.3623
3.15544e-008,0.4452
3.15929e-008,0.5934
3.16315e-008,0.7808
3.16701e-008,0.9397
3.17087e-008,1.0333
3.17472e-008,1.0799
3.17858e-008,1.1009
3.18244e-008,1.1182
3.18629e-008,1.1355
3.19015e-008,1.1668
3.19401e-008,1.1911
3.19787e-008,1.1809
3.20173e-008,1.1422
3.20558e-008,1.0382
3.20944e-008,0.8701
3.21330e-008,0.7035
3.21715e-008,0.5731
3.22101e-008,0.4832
3.22487e-008,0.4261
3.22873e-008,0.3871
3.23259e-008,0.3618
3.23644e-008,0.3400
3.24030e-008,0.3222
3.24416e-008,0.3470
3.24801e-008,0.4124
3.25187e-008,0.5398
3.25573e-008,0.7203
3.25959e-008,0.8974
3.26344e-008,1.0097
3.26730e-008,1.0692
3.27116e-008,1.0955
3.27502e-008,1.1126
3.27888e-008,1.1306
3.28273e-008,1.1436
3.28659e-008,1.1888
3.29045e-008,1.1870
3.29430e-008,1.1588
