.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
1.83231e-008,-0.7528
1.83617e-008,-0.7581
1.84003e-008,-0.7222
1.84389e-008,-0.6192
1.84774e-008,-0.4410
1.85160e-008,-0.2172
1.85546e-008,0.0184
1.85932e-008,0.2286
1.86317e-008,0.3973
1.86703e-008,0.5435
1.87089e-008,0.6606
1.87474e-008,0.7300
1.87860e-008,0.7962
1.88246e-008,0.8117
1.88632e-008,0.7902
1.89017e-008,0.7069
1.89403e-008,0.5242
1.89789e-008,0.2719
1.90175e-008,-0.0049
1.90560e-008,-0.2698
1.90946e-008,-0.4635
1.91332e-008,-0.5955
1.91718e-008,-0.6787
1.92104e-008,-0.7167
1.92489e-008,-0.7483
1.92875e-008,-0.7498
1.93261e-008,-0.7403
1.93647e-008,-0.6609
1.94032e-008,-0.5037
1.94418e-008,-0.2925
1.94804e-008,-0.0547
1.95190e-008,0.1670
1.95575e-008,0.3471
1.95961e-008,0.4995
1.96347e-008,0.6282
1.96732e-008,0.7130
1.97118e-008,0.7795
1.97504e-008,0.8106
1.97890e-008,0.8036
1.98275e-008,0.7426
1.98661e-008,0.5925
1.99047e-008,0.3563
1.99433e-008,0.0836
1.99819e-008,-0.1922
2.00204e-008,-0.4100
2.00590e-008,-0.5594
2.00976e-008,-0.6578
2.01362e-008,-0.7081
2.01747e-008,-0.7391
2.02133e-008,-0.7538
2.02519e-008,-0.7531
2.02905e-008,-0.6942
2.03290e-008,-0.5609
2.03676e-008,-0.3649
2.04062e-008,-0.1292
2.04447e-008,0.1009
2.04833e-008,0.2944
2.05219e-008,0.4532
2.05605e-008,0.5913
2.05990e-008,0.6918
2.06376e-008,0.7526
2.06762e-008,0.8077
2.07148e-008,0.8120
2.07533e-008,0.7687
2.07919e-008,0.6513
2.08305e-008,0.4365
2.08691e-008,0.1715
2.09077e-008,-0.1079
2.09462e-008,-0.3496
2.09848e-008,-0.5181
2.10234e-008,-0.6319
2.10620e-008,-0.6971
2.11005e-008,-0.7243
2.11391e-008,-0.7526
2.11777e-008,-0.7560
2.12163e-008,-0.7178
2.12548e-008,-0.6115
2.12934e-008,-0.4302
2.13320e-008,-0.2051
2.13705e-008,0.0297
2.14091e-008,0.2383
2.14477e-008,0.4052
2.14863e-008,0.5502
2.15248e-008,0.6652
2.15634e-008,0.7321
2.16020e-008,0.7995
2.16406e-008,0.8142
2.16791e-008,0.7882
2.17177e-008,0.7002
2.17563e-008,0.5124
2.17949e-008,0.2581
2.18335e-008,-0.0194
2.18720e-008,-0.2816
2.19106e-008,-0.4715
2.19492e-008,-0.6011
2.19878e-008,-0.6816
2.20263e-008,-0.7180
2.20649e-008,-0.7486
2.21035e-008,-0.7485
2.21420e-008,-0.7369
2.21806e-008,-0.6543
2.22192e-008,-0.4937
2.22578e-008,-0.2804
2.22963e-008,-0.0432
2.23349e-008,0.1772
2.23735e-008,0.3556
2.24121e-008,0.5067
2.24506e-008,0.6337
2.24892e-008,0.7159
2.25278e-008,0.7848
2.25664e-008,0.8113
2.26050e-008,0.8024
2.26435e-008,0.7379
2.26821e-008,0.5819
2.27207e-008,0.3430
2.27593e-008,0.0692
2.27978e-008,-0.2054
2.28364e-008,-0.4189
2.28750e-008,-0.5660
2.29136e-008,-0.6615
2.29521e-008,-0.7097
2.29907e-008,-0.7397
2.30293e-008,-0.7530
2.30678e-008,-0.7504
2.31064e-008,-0.6886
2.31450e-008,-0.5519
2.31836e-008,-0.3531
2.32221e-008,-0.1175
2.32607e-008,0.1117
2.32993e-008,0.3034
2.33379e-008,0.4607
2.33764e-008,0.5973
2.34150e-008,0.6954
2.34536e-008,0.7549
2.34922e-008,0.8079
2.35308e-008,0.8103
2.35693e-008,0.7646
2.36079e-008,0.6428
2.36465e-008,0.4234
2.36851e-008,0.1573
2.37236e-008,-0.1217
2.37622e-008,-0.3599
2.38008e-008,-0.5251
2.38394e-008,-0.6361
2.38779e-008,-0.6992
2.39165e-008,-0.7252
2.39551e-008,-0.7536
2.39936e-008,-0.7578
2.40322e-008,-0.7151
2.40708e-008,-0.6041
2.41094e-008,-0.4202
2.41479e-008,-0.1927
2.41865e-008,0.0416
2.42251e-008,0.2475
2.42637e-008,0.4129
2.43023e-008,0.5571
2.43408e-008,0.6699
2.43794e-008,0.7345
2.44180e-008,0.7999
2.44566e-008,0.8128
2.44951e-008,0.7848
2.45337e-008,0.6930
2.45723e-008,0.5003
2.46109e-008,0.2440
2.46494e-008,-0.0337
2.46880e-008,-0.2932
2.47266e-008,-0.4795
2.47651e-008,-0.6064
2.48037e-008,-0.6844
2.48423e-008,-0.7190
2.48809e-008,-0.7505
2.49194e-008,-0.7530
2.49580e-008,-0.7352
2.49966e-008,-0.6484
2.50352e-008,-0.4840
2.50737e-008,-0.2684
2.51123e-008,-0.0309
2.51509e-008,0.1874
2.51895e-008,0.3635
2.52281e-008,0.5140
2.52666e-008,0.6394
2.53052e-008,0.7188
2.53438e-008,0.7860
2.53824e-008,0.8105
2.54209e-008,0.7998
2.54595e-008,0.7322
2.54981e-008,0.5712
2.55367e-008,0.3293
2.55752e-008,0.0549
2.56138e-008,-0.2182
2.56524e-008,-0.4280
2.56909e-008,-0.5721
2.57295e-008,-0.6652
2.57681e-008,-0.7111
2.58067e-008,-0.7427
2.58452e-008,-0.7530
2.58838e-008,-0.7497
2.59224e-008,-0.6844
2.59610e-008,-0.5432
2.59995e-008,-0.3420
2.60381e-008,-0.1050
2.60767e-008,0.1227
2.61153e-008,0.3117
2.61539e-008,0.4683
2.61924e-008,0.6036
2.62310e-008,0.6989
2.62696e-008,0.7634
2.63082e-008,0.8092
2.63467e-008,0.8099
2.63853e-008,0.7611
2.64239e-008,0.6334
2.64625e-008,0.4110
2.65010e-008,0.1430
2.65396e-008,-0.1360
2.65782e-008,-0.3700
2.66167e-008,-0.5322
2.66553e-008,-0.6408
2.66939e-008,-0.7011
