.HEADER
..NAMES
Time,V U1.AA9
.DATA
2.37236e-008,1.1647
2.37622e-008,1.1655
2.38008e-008,1.1539
2.38394e-008,1.1375
2.38779e-008,1.1225
2.39165e-008,1.1141
2.39551e-008,1.1158
2.39936e-008,1.1261
2.40322e-008,1.1396
2.40708e-008,1.1520
2.41094e-008,1.1606
2.41479e-008,1.1657
2.41865e-008,1.1764
2.42251e-008,1.1831
2.42637e-008,1.1739
2.43023e-008,1.1245
2.43408e-008,1.0126
2.43794e-008,0.8648
2.44180e-008,0.7240
2.44566e-008,0.6021
2.44951e-008,0.5061
2.45337e-008,0.4279
2.45723e-008,0.3722
2.46109e-008,0.3380
2.46494e-008,0.3157
2.46880e-008,0.3046
2.47266e-008,0.3054
2.47651e-008,0.3166
2.48037e-008,0.3370
2.48423e-008,0.3599
2.48809e-008,0.3767
2.49194e-008,0.3836
2.49580e-008,0.3802
2.49966e-008,0.3693
2.50352e-008,0.3561
2.50737e-008,0.3437
2.51123e-008,0.3355
2.51509e-008,0.3409
2.51895e-008,0.3734
2.52281e-008,0.4514
2.52666e-008,0.5759
2.53052e-008,0.7284
2.53438e-008,0.8594
2.53824e-008,0.9444
2.54209e-008,1.0005
2.54595e-008,1.0465
2.54981e-008,1.0936
2.55367e-008,1.1329
2.55752e-008,1.1574
2.56138e-008,1.1672
2.56524e-008,1.1625
2.56909e-008,1.1480
2.57295e-008,1.1311
2.57681e-008,1.1178
2.58067e-008,1.1133
2.58452e-008,1.1193
2.58838e-008,1.1317
2.59224e-008,1.1452
2.59610e-008,1.1562
2.59995e-008,1.1630
2.60381e-008,1.1670
2.60767e-008,1.1699
2.61153e-008,1.1722
2.61539e-008,1.1743
2.61924e-008,1.1766
2.62310e-008,1.1789
2.62696e-008,1.1810
2.63082e-008,1.1827
2.63467e-008,1.1838
2.63853e-008,1.1836
2.64239e-008,1.1829
2.64625e-008,1.1823
2.65010e-008,1.1827
2.65396e-008,1.1882
2.65782e-008,1.1910
2.66167e-008,1.1752
2.66553e-008,1.1132
2.66939e-008,0.9887
2.67325e-008,0.8376
2.67710e-008,0.6968
2.68096e-008,0.5785
2.68482e-008,0.4864
2.68868e-008,0.4136
2.69254e-008,0.3641
2.69639e-008,0.3339
2.70025e-008,0.2989
2.70411e-008,0.3051
2.70797e-008,0.3541
2.71182e-008,0.4660
2.71568e-008,0.6367
2.71954e-008,0.8298
2.72340e-008,0.9765
2.72725e-008,1.0614
2.73111e-008,1.1013
2.73497e-008,1.1283
2.73882e-008,1.1546
2.74268e-008,1.1737
2.74654e-008,1.1847
2.75040e-008,1.1839
2.75425e-008,1.1701
2.75811e-008,1.1494
2.76197e-008,1.1280
2.76583e-008,1.1123
2.76968e-008,1.1085
2.77354e-008,1.1165
2.77740e-008,1.1314
2.78126e-008,1.1474
2.78512e-008,1.1595
2.78897e-008,1.1666
2.79283e-008,1.1756
2.79669e-008,1.1834
2.80055e-008,1.1793
2.80440e-008,1.1434
2.80826e-008,1.0474
2.81212e-008,0.9039
2.81598e-008,0.7601
2.81983e-008,0.6322
2.82369e-008,0.5302
2.82755e-008,0.4476
2.83140e-008,0.3846
2.83526e-008,0.3454
2.83912e-008,0.3204
2.84298e-008,0.3060
2.84683e-008,0.3039
2.85069e-008,0.3124
2.85455e-008,0.3309
2.85841e-008,0.3541
2.86226e-008,0.3731
2.86612e-008,0.3827
2.86998e-008,0.3818
2.87384e-008,0.3724
2.87770e-008,0.3594
2.88155e-008,0.3466
2.88541e-008,0.3361
2.88927e-008,0.3291
2.89313e-008,0.3255
2.89698e-008,0.3239
2.90084e-008,0.3227
2.90470e-008,0.3211
2.90855e-008,0.3189
2.91241e-008,0.3165
2.91627e-008,0.3144
2.92013e-008,0.3135
2.92398e-008,0.3137
2.92784e-008,0.3146
2.93170e-008,0.3155
2.93556e-008,0.3160
2.93941e-008,0.3163
2.94327e-008,0.3163
2.94713e-008,0.3160
2.95099e-008,0.3158
2.95485e-008,0.3156
2.95870e-008,0.3156
2.96256e-008,0.3158
2.96642e-008,0.3160
2.97028e-008,0.3160
2.97413e-008,0.3160
2.97799e-008,0.3159
2.98185e-008,0.3158
2.98570e-008,0.3157
2.98956e-008,0.3157
2.99342e-008,0.3157
2.99728e-008,0.3157
3.00113e-008,0.3158
3.00499e-008,0.3158
3.00885e-008,0.3158
3.01271e-008,0.3158
3.01657e-008,0.3158
3.02042e-008,0.3158
3.02428e-008,0.3158
3.02814e-008,0.3158
3.03199e-008,0.3158
3.03585e-008,0.3158
3.03971e-008,0.3158
3.04357e-008,0.3158
3.04743e-008,0.3158
3.05128e-008,0.3158
3.05514e-008,0.3158
3.05900e-008,0.3158
3.06285e-008,0.3159
3.06671e-008,0.3159
3.07057e-008,0.3159
3.07443e-008,0.3159
3.07829e-008,0.3159
3.08214e-008,0.3159
3.08600e-008,0.3159
3.08986e-008,0.3159
3.09372e-008,0.3159
3.09757e-008,0.3159
3.10143e-008,0.3159
3.10529e-008,0.3159
3.10914e-008,0.3159
3.11300e-008,0.3159
3.11686e-008,0.3159
3.12072e-008,0.3182
3.12458e-008,0.3287
3.12843e-008,0.3616
3.13229e-008,0.4365
3.13615e-008,0.5581
3.14000e-008,0.7112
3.14386e-008,0.8487
3.14772e-008,0.9399
3.15158e-008,1.0003
3.15544e-008,1.0471
3.15929e-008,1.0933
3.16315e-008,1.1320
3.16701e-008,1.1565
3.17087e-008,1.1668
3.17472e-008,1.1630
3.17858e-008,1.1492
3.18244e-008,1.1326
3.18629e-008,1.1191
3.19015e-008,1.1136
3.19401e-008,1.1186
3.19787e-008,1.1305
3.20173e-008,1.1440
3.20558e-008,1.1553
3.20944e-008,1.1627
3.21330e-008,1.1670
3.21715e-008,1.1701
3.22101e-008,1.1724
3.22487e-008,1.1745
3.22873e-008,1.1767
3.23259e-008,1.1789
3.23644e-008,1.1810
3.24030e-008,1.1827
3.24416e-008,1.1839
3.24801e-008,1.1838
3.25187e-008,1.1832
3.25573e-008,1.1825
3.25959e-008,1.1822
3.26344e-008,1.1824
3.26730e-008,1.1827
3.27116e-008,1.1830
3.27502e-008,1.1831
3.27888e-008,1.1831
3.28273e-008,1.1831
3.28659e-008,1.1830
3.29045e-008,1.1829
3.29430e-008,1.1828
3.29816e-008,1.1828
3.30202e-008,1.1829
3.30588e-008,1.1830
3.30974e-008,1.1831
3.31359e-008,1.1831
3.31745e-008,1.1831
3.32131e-008,1.1830
3.32516e-008,1.1830
3.32902e-008,1.1830
3.33288e-008,1.1830
3.33674e-008,1.1830
3.34060e-008,1.1830
3.34445e-008,1.1830
3.34831e-008,1.1830
3.35217e-008,1.1830
3.35603e-008,1.1830
3.35988e-008,1.1830
3.36374e-008,1.1829
3.36760e-008,1.1829
3.37145e-008,1.1829
3.37531e-008,1.1829
3.37917e-008,1.1829
3.38303e-008,1.1829
3.38689e-008,1.1829
3.39074e-008,1.1829
3.39460e-008,1.1829
3.39846e-008,1.1829
3.40231e-008,1.1829
3.40617e-008,1.1829
3.41003e-008,1.1829
3.41389e-008,1.1829
3.41775e-008,1.1829
3.42160e-008,1.1829
3.42546e-008,1.1829
3.42932e-008,1.1829
3.43318e-008,1.1829
3.43703e-008,1.1829
3.44089e-008,1.1829
3.44475e-008,1.1828
3.44860e-008,1.1851
3.45246e-008,1.1904
3.45632e-008,1.1892
3.46018e-008,1.1624
3.46404e-008,1.0801
3.46789e-008,0.9417
3.47175e-008,0.7921
3.47561e-008,0.6569
3.47946e-008,0.5477
3.48332e-008,0.4619
3.48718e-008,0.3956
3.49104e-008,0.3535
3.49490e-008,0.3176
3.49875e-008,0.2967
3.50261e-008,0.3148
3.50647e-008,0.3812
3.51032e-008,0.5141
3.51418e-008,0.6970
3.51804e-008,0.8823
3.52190e-008,1.0091
3.52575e-008,1.0769
3.52961e-008,1.1097
3.53347e-008,1.1367
3.53733e-008,1.1614
3.54119e-008,1.1779
3.54504e-008,1.1857
3.54890e-008,1.1808
3.55276e-008,1.1640
3.55661e-008,1.1425
3.56047e-008,1.1220
3.56433e-008,1.1096
3.56819e-008,1.1098
3.57205e-008,1.1206
3.57590e-008,1.1365
3.57976e-008,1.1517
3.58362e-008,1.1622
