.HEADER
..NAMES
Time,V U1.AE3&AD3
.DATA
2.29521e-008,1.0578
2.29907e-008,1.0963
2.30293e-008,1.1127
2.30678e-008,1.1073
2.31064e-008,1.1237
2.31450e-008,1.1079
2.31836e-008,1.0901
2.32221e-008,1.0519
2.32607e-008,0.9611
2.32993e-008,0.8443
2.33379e-008,0.7259
2.33764e-008,0.5984
2.34150e-008,0.4940
2.34536e-008,0.4106
2.34922e-008,0.3584
2.35308e-008,0.3474
2.35693e-008,0.3435
2.36079e-008,0.3797
2.36465e-008,0.4467
2.36851e-008,0.5364
2.37236e-008,0.6550
2.37622e-008,0.7901
2.38008e-008,0.8922
2.38394e-008,0.9760
2.38779e-008,1.0414
2.39165e-008,1.0862
2.39551e-008,1.1102
2.39936e-008,1.1098
2.40322e-008,1.1237
2.40708e-008,1.1145
2.41094e-008,1.0958
2.41479e-008,1.0691
2.41865e-008,0.9954
2.42251e-008,0.8805
2.42637e-008,0.7656
2.43023e-008,0.6369
2.43408e-008,0.5245
2.43794e-008,0.4348
2.44180e-008,0.3706
2.44566e-008,0.3473
2.44951e-008,0.3413
2.45337e-008,0.3634
2.45723e-008,0.4235
2.46109e-008,0.5050
2.46494e-008,0.6146
2.46880e-008,0.7488
2.47266e-008,0.8632
2.47651e-008,0.9509
2.48037e-008,1.0231
2.48423e-008,1.0742
2.48809e-008,1.1051
2.49194e-008,1.1126
2.49580e-008,1.1208
2.49966e-008,1.1203
2.50352e-008,1.1010
2.50737e-008,1.0811
2.51123e-008,1.0249
2.51509e-008,0.9181
2.51895e-008,0.8031
2.52281e-008,0.6775
2.52666e-008,0.5572
2.53052e-008,0.4610
2.53438e-008,0.3869
2.53824e-008,0.3504
2.54209e-008,0.3430
2.54595e-008,0.3512
2.54981e-008,0.4023
2.55367e-008,0.4764
2.55752e-008,0.5767
2.56138e-008,0.7049
2.56524e-008,0.8317
2.56909e-008,0.9245
2.57295e-008,1.0028
2.57681e-008,1.0602
2.58067e-008,1.0977
2.58452e-008,1.1131
2.58838e-008,1.1126
2.59224e-008,1.1239
2.59610e-008,1.1068
2.59995e-008,1.0893
2.60381e-008,1.0488
2.60767e-008,0.9553
2.61153e-008,0.8389
2.61539e-008,0.7187
2.61924e-008,0.5923
2.62310e-008,0.4893
2.62696e-008,0.4071
2.63082e-008,0.3571
2.63467e-008,0.3477
2.63853e-008,0.3437
2.64239e-008,0.3829
2.64625e-008,0.4505
2.65010e-008,0.5416
2.65396e-008,0.6618
2.65782e-008,0.7961
2.66167e-008,0.8970
2.66553e-008,0.9801
2.66939e-008,1.0442
2.67325e-008,1.0881
2.67710e-008,1.1107
2.68096e-008,1.1090
2.68482e-008,1.1228
2.68868e-008,1.1136
2.69254e-008,1.0947
2.69639e-008,1.0665
2.70025e-008,0.9900
2.70411e-008,0.8742
2.70797e-008,0.7597
2.71182e-008,0.6309
2.71568e-008,0.5194
2.71954e-008,0.4309
2.72340e-008,0.3684
2.72725e-008,0.3469
2.73111e-008,0.3407
2.73497e-008,0.3657
2.73882e-008,0.4269
2.74268e-008,0.5099
2.74654e-008,0.6209
2.75040e-008,0.7557
2.75425e-008,0.8681
2.75811e-008,0.9553
2.76197e-008,1.0264
2.76583e-008,1.0764
2.76968e-008,1.1059
2.77354e-008,1.1122
2.77740e-008,1.1197
2.78126e-008,1.1195
2.78512e-008,1.1001
2.78897e-008,1.0793
2.79283e-008,1.0203
2.79669e-008,0.9118
2.80055e-008,0.7973
2.80440e-008,0.6715
2.80826e-008,0.5518
2.81212e-008,0.4565
2.81598e-008,0.3840
2.81983e-008,0.3495
2.82369e-008,0.3412
2.82755e-008,0.3527
2.83140e-008,0.4054
2.83526e-008,0.4808
2.83912e-008,0.5826
2.84298e-008,0.7120
2.84683e-008,0.8370
2.85069e-008,0.9292
2.85455e-008,1.0063
2.85841e-008,1.0627
2.86226e-008,1.0990
2.86612e-008,1.1130
2.86998e-008,1.1119
2.87384e-008,1.1232
2.87770e-008,1.1059
2.88155e-008,1.0880
2.88541e-008,1.0452
2.88927e-008,0.9493
2.89313e-008,0.8329
2.89698e-008,0.7126
2.90084e-008,0.5866
2.90470e-008,0.4846
2.90855e-008,0.4036
2.91241e-008,0.3555
2.91627e-008,0.3478
2.92013e-008,0.3451
2.92398e-008,0.3857
2.92784e-008,0.4547
2.93170e-008,0.5472
2.93556e-008,0.6687
2.93941e-008,0.8024
2.94327e-008,0.9013
2.94713e-008,0.9838
2.95099e-008,1.0469
2.95485e-008,1.0897
2.95870e-008,1.1113
2.96256e-008,1.1084
2.96642e-008,1.1241
2.97028e-008,1.1124
2.97413e-008,1.0941
2.97799e-008,1.0641
2.98185e-008,0.9848
2.98570e-008,0.8687
2.98956e-008,0.7530
2.99342e-008,0.6241
2.99728e-008,0.5145
3.00113e-008,0.4267
3.00499e-008,0.3664
3.00885e-008,0.3471
3.01271e-008,0.3416
3.01657e-008,0.3683
3.02042e-008,0.4307
3.02428e-008,0.5149
3.02814e-008,0.6275
3.03199e-008,0.7626
3.03585e-008,0.8728
3.03971e-008,0.9592
3.04357e-008,1.0293
3.04743e-008,1.0784
3.05128e-008,1.1071
3.05514e-008,1.1120
3.05900e-008,1.1222
3.06285e-008,1.1186
3.06671e-008,1.0993
3.07057e-008,1.0778
3.07443e-008,1.0160
3.07829e-008,0.9058
3.08214e-008,0.7913
3.08600e-008,0.6642
3.08986e-008,0.5464
3.09372e-008,0.4522
3.09757e-008,0.3812
3.10143e-008,0.3490
3.10529e-008,0.3419
3.10914e-008,0.3546
3.11300e-008,0.4090
3.11686e-008,0.4854
3.12072e-008,0.5886
3.12458e-008,0.7193
3.12843e-008,0.8423
3.13229e-008,0.9333
3.13615e-008,1.0096
3.14000e-008,1.0649
3.14386e-008,1.1003
3.14772e-008,1.1132
3.15158e-008,1.1164
3.15544e-008,1.1231
3.15929e-008,1.1048
3.16315e-008,1.0871
3.16701e-008,1.0417
3.17087e-008,0.9434
3.17472e-008,0.8275
3.17858e-008,0.7053
3.18244e-008,0.5806
3.18629e-008,0.4800
3.19015e-008,0.4003
3.19401e-008,0.3545
3.19787e-008,0.3469
3.20173e-008,0.3456
3.20558e-008,0.3890
3.20944e-008,0.4586
3.21330e-008,0.5526
3.21715e-008,0.6756
3.22101e-008,0.8082
3.22487e-008,0.9061
3.22873e-008,0.9877
3.23259e-008,1.0496
3.23644e-008,1.0915
3.24030e-008,1.1118
3.24416e-008,1.1074
3.24801e-008,1.1232
