.HEADER
..NAMES
Time,V U1.AA25&AA24
.DATA
2.65396e-008,-0.1305
2.65782e-008,-0.3984
2.66167e-008,-0.5780
2.66553e-008,-0.6857
2.66939e-008,-0.7414
2.67325e-008,-0.7605
2.67710e-008,-0.7755
2.68096e-008,-0.7436
2.68482e-008,-0.7016
2.68868e-008,-0.5840
2.69254e-008,-0.3944
2.69639e-008,-0.1723
2.70025e-008,0.0683
2.70411e-008,0.2936
2.70797e-008,0.4499
2.71182e-008,0.5733
2.71568e-008,0.6690
2.71954e-008,0.7213
2.72340e-008,0.7906
2.72725e-008,0.8106
2.73111e-008,0.7933
2.73497e-008,0.7068
2.73882e-008,0.5232
2.74268e-008,0.2606
2.74654e-008,-0.0365
2.75040e-008,-0.3220
2.75425e-008,-0.5297
2.75811e-008,-0.6580
2.76197e-008,-0.7286
2.76583e-008,-0.7569
2.76968e-008,-0.7770
2.77354e-008,-0.7584
2.77740e-008,-0.7228
2.78126e-008,-0.6294
2.78512e-008,-0.4592
2.78897e-008,-0.2449
2.79283e-008,-0.0093
2.79669e-008,0.2282
2.80055e-008,0.4073
2.80440e-008,0.5361
2.80826e-008,0.6431
2.81212e-008,0.7091
2.81598e-008,0.7747
2.81983e-008,0.8098
2.82369e-008,0.8052
2.82755e-008,0.7432
2.83140e-008,0.5915
2.83526e-008,0.3493
2.83912e-008,0.0593
2.84298e-008,-0.2368
2.84683e-008,-0.4744
2.85069e-008,-0.6248
2.85455e-008,-0.7116
2.85841e-008,-0.7513
2.86226e-008,-0.7732
2.86612e-008,-0.7691
2.86998e-008,-0.7343
2.87384e-008,-0.6671
2.87770e-008,-0.5204
2.88155e-008,-0.3158
2.88541e-008,-0.0859
2.88927e-008,0.1567
2.89313e-008,0.3594
2.89698e-008,0.4972
2.90084e-008,0.6129
2.90470e-008,0.6928
2.90855e-008,0.7480
2.91241e-008,0.8031
2.91627e-008,0.8050
2.92013e-008,0.7698
2.92398e-008,0.6513
2.92784e-008,0.4330
2.93170e-008,0.1539
2.93556e-008,-0.1453
2.93941e-008,-0.4101
2.94327e-008,-0.5849
2.94713e-008,-0.6892
2.95099e-008,-0.7429
2.95485e-008,-0.7645
2.95870e-008,-0.7755
2.96256e-008,-0.7410
2.96642e-008,-0.6984
2.97028e-008,-0.5755
2.97413e-008,-0.3838
2.97799e-008,-0.1608
2.98185e-008,0.0808
2.98570e-008,0.3034
2.98956e-008,0.4564
2.99342e-008,0.5796
2.99728e-008,0.6727
3.00113e-008,0.7230
3.00499e-008,0.7919
3.00885e-008,0.8102
3.01271e-008,0.7897
3.01657e-008,0.6998
3.02042e-008,0.5111
3.02428e-008,0.2455
3.02814e-008,-0.0513
3.03199e-008,-0.3348
3.03585e-008,-0.5384
3.03971e-008,-0.6628
3.04357e-008,-0.7307
3.04743e-008,-0.7577
3.05128e-008,-0.7776
3.05514e-008,-0.7566
3.05900e-008,-0.7222
3.06285e-008,-0.6229
3.06671e-008,-0.4483
3.07057e-008,-0.2338
3.07443e-008,0.0031
3.07829e-008,0.2393
3.08214e-008,0.4138
3.08600e-008,0.5429
3.08986e-008,0.6480
3.09372e-008,0.7108
3.09757e-008,0.7760
3.10143e-008,0.8102
3.10529e-008,0.8025
